title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic Service Choreography using Context Aware Enterprise Service Bus.,"S Bhattacharya, J Chanda, S Sengupta, A Kanjilal - SEKE, 2011 - pdfs.semanticscholar.org",2011,https://pdfs.semanticscholar.org/d178/36e780b6054c867be780679a77da5d0cbe2a.pdf,https://pdfs.semanticscholar.org/d178/36e780b6054c867be780679a77da5d0cbe2a.pdf,,,1,8,No DOI available
CA-ESB: Context aware enterprise service bus,"J Chanda, S Sengupta, A Kanjilal, K India - International Journal of …, 2011 - Citeseer",2011,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf,,,1,6,No DOI available
A context-aware orchestrating and choreographic test framework for service-oriented applications,"L Mei - 2009 31st International Conference on Software …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5071024/,No PDF available,,,1,8,No DOI available
Manners externalize semantics for on-demand composition of context-aware services,"A Arsanjani, F Curbera, N Mukhi - … International Conference on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1314785/,https://ieeexplore.ieee.org/iel5/9185/29136/01314785.pdf,,,1,14,No DOI available
Context-aware service composition: a methodology and a case study,"L Bastida, FJ Nieto, R Tola - … of the 2nd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1370921,https://www.researchgate.net/profile/Roberto_Tola/publication/228345031_Context-aware_service_composition_a_methodology_and_a_case_study/links/00b7d519e01a4e35f9000000/Context-aware-service-composition-a-methodology-and-a-case-study.pdf,,,1,25,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
Method and system for context aware collaborative tagging,"JE Boyer, EE Kelley, E Lane - US Patent App. 12/046,914, 2009 - Google Patents",2009,https://patents.google.com/patent/US20090235167A1/en,No PDF available,,,1,113,No DOI available
Approaching context-awareness for open intelligent space,"P Roy, B Abdulrazak, Y Belala - … of the 6th International Conference on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1497276,No PDF available,,,1,10,No DOI available
Automated context-aware adaptation of web service executions,"NC Narendra, S Gundugola - IEEE International Conference on …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/Nanjangud_Narendra/publication/221429532_Automated_Context-Aware_Adaptation_of_Web_Service_Executions/links/0912f50b6c3c03ab88000000/Automated-Context-Aware-Adaptation-of-Web-Service-Executions.pdf,https://www.researchgate.net/profile/Nanjangud_Narendra/publication/221429532_Automated_Context-Aware_Adaptation_of_Web_Service_Executions/links/0912f50b6c3c03ab88000000/Automated-Context-Aware-Adaptation-of-Web-Service-Executions.pdf,,,1,19,No DOI available
Modeling of context-aware self-adaptive applications in ubiquitous and service-oriented environments,"K Geihs, R Reichle, M Wagner, MU Khan - Software engineering for self …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02161-9_8,http://www.academia.edu/download/30703907/ebooksclub.org__Software_Engineering_for_Self_Adaptive_Systems__Lecture_Notes_in_Computer_Science___Programming_and_Software_Engineering.pdf#page=155,,,1,53,No DOI available
A development process for requirements based service choreography,"M Autili, D Di Ruscio, P Inverardi… - 2011 Workshop on …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6043925/,https://ieeexplore.ieee.org/iel5/6035843/6043921/06043925.pdf,,,1,8,No DOI available
An ontological framework for context-aware collaborative business process formulation,"HH Hoang, JJ Jung - Computing and Informatics, 2015 - cai.sk",2015,http://www.cai.sk/ojs/index.php/cai/article/viewArticle/2217,http://www.cai.sk/ojs/index.php/cai/article/viewPDFInterstitial/2217/639,,,1,4,No DOI available
Approach and refinement strategies for flexible choreography enactment,"A Weiß, SG Sáez, M Hahn, D Karastoyanova - … Conferences"" On the Move …, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-3-662-45563-0_6,http://129.69.211.79/RUS-data/INPROC-2014-60%20-%20Approach%20and%20Refinement%20Strategies%20for%20Flexible%20Choreography%20Enactment.pdf,,,1,5,No DOI available
A conceptual model for adaptable context-aware services,"M Autili, V Cortellessa, A Di Marco… - … Workshop on Web …, 2006 - neptuno.uca.es",2006,https://neptuno.uca.es/redmine/projects/sources-fm/repository/revisions/1951/raw/trunk/docs/papers/WS-MaTe_Proceedings.pdf#page=21,https://neptuno.uca.es/redmine/projects/sources-fm/repository/revisions/1951/raw/trunk/docs/papers/WS-MaTe_Proceedings.pdf#page=21,,,1,36,No DOI available
Formalizing web service choreography interface,"Y Huang, C Xu, H Wang, Y Xia, J Zhu… - … Workshops (AINAW'07), 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4224165/,https://ieeexplore.ieee.org/iel5/4221005/4224052/04224165.pdf,,,1,13,No DOI available
A new approach for context aware SOA,"SJH Yang, BCW Lan, JY Chung - 2005 IEEE International …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1402337/,No PDF available,,,1,21,No DOI available
Precise steps for choreography modeling for SOA validation and verification,"S Wieczorek, A Roth, A Stefanescu… - 2008 IEEE International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4730478/,https://ieeexplore.ieee.org/iel5/4730444/4730445/04730478.pdf,,,1,23,No DOI available
Context aware service composition.,"M Vukovic, P Robinson - 2007 - researchgate.net",2007,https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf,https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf,,,1,45,No DOI available
Towards context-aware semantic web service discovery through conceptual situation spaces,"S Dietze, A Gugliotta, J Domingue - Proceedings of the 2008 …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1361488,http://www.academia.edu/download/30738986/a6-dietze.pdf,,,1,27,No DOI available
Context aware orchestration meta-model,"F Seyler, C Taconet, G Bernard - … International Conference on …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4437894/,https://ieeexplore.ieee.org/iel5/4437870/4437871/04437894.pdf,,,1,6,No DOI available
A context-aware adaptive web service composition framework,"Z Cao, X Zhang, W Zhang, X Xie… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7078668/,https://ieeexplore.ieee.org/iel7/7076746/7078645/07078668.pdf,,,1,7,No DOI available
