title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A context modeling survey,"T Strang, C Linnhoff-Popien - Workshop Proceedings, 2004 - elib.dlr.de",2004,https://elib.dlr.de/7444/,https://elib.dlr.de/7444/1/Ubicomp2004ContextWSCameraReadyVersion.pdf,,,1,1774,No DOI available
The context toolkit: aiding the development of context-enabled applications,"D Salber, AK Dey, GD Abowd - … of the SIGCHI conference on Human …, 1999 - dl.acm.org",1999,https://dl.acm.org/citation.cfm?id=303126,https://smartech.gatech.edu/bitstream/handle/1853/3481/98-33.pdf,,,1,1384,No DOI available
HiCon: a hierarchical context monitoring and composition framework for next-generation context-aware services,"K Cho, I Hwang, S Kang, B Kim, J Lee, S Lee… - IEEE …, 2008 - koasas.kaist.ac.kr",2008,http://koasas.kaist.ac.kr/bitstream/10203/14440/1/000258031400007.pdf,http://koasas.kaist.ac.kr/bitstream/10203/14440/1/000258031400007.pdf,,,1,63,No DOI available
Context aware service composition.,"M Vukovic, P Robinson - 2007 - researchgate.net",2007,https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf,https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf,,,1,45,No DOI available
Modeling and processing information for context-aware computing: A survey,"C Hoareau, I Satoh - New Generation Computing, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s00354-009-0060-5,https://link.springer.com/content/pdf/10.1007/s00354-009-0060-5.pdf,,,1,71,No DOI available
Semantics-based context-aware dynamic service composition,"K Fujii, T Suda - ACM Transactions on Autonomous and Adaptive …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1516536,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:8tmjxxOaEN0J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=1957941971853208913&oi=lle",,,1,131,No DOI available
Context modelling and management in ambient-aware pervasive environments,"M Strimpakou, I Roussaki, C Pils, M Angermann… - … Symposium on Location …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11426646_2,https://elib.dlr.de/22604/01/iccs-finalpaper-loca.pdf,,,1,63,No DOI available
Latency-aware composition of virtual functions in 5G,"B Martini, F Paganelli, P Cappanera… - Proceedings of the …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7116188/,No PDF available,,,1,60,No DOI available
Architectural Patterns for Context-Aware Services Platforms.,"PD Costa, LF Pires, M van Sinderen - IWUC, 2005 - academia.edu",2005,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,,,1,65,No DOI available
Towards aspect-oriented programming for context-aware systems: A comparative study,"F Dantas, T Batista, N Cacho - … of the 1st International Workshop on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1270345,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273315.pdf,,,1,19,No DOI available
Context-aware composition of mobile services,"S Panagiotakis, A Alonistioti - IT Professional, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1683741/,https://ieeexplore.ieee.org/iel5/6294/35450/01683741.pdf,,,1,21,No DOI available
Reconfigurable service composition and categorization for power-aware mobile computing,"E Park, H Shin - IEEE transactions on Parallel and distributed …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4553702/,https://ieeexplore.ieee.org/iel5/71/4637367/04553702.pdf,,,1,36,No DOI available
A survey of dynamic service composition approaches for ambient systems,"A Urbieta, G Barrutieta, J Parra… - Proceedings of the 2008 …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1413928,No PDF available,,,1,56,No DOI available
Ontology-based context modeling,"R Krummenacher, T Strang - … Third Workshop on Context-Aware …, 2007 - elib.dlr.de",2007,https://elib.dlr.de/47459/01/CAPS07CameraReadyVersion.pdf,https://elib.dlr.de/47459/01/CAPS07CameraReadyVersion.pdf,,,1,97,No DOI available
Automated context-driven composition of pervasive services to alleviate non-functional concerns,"D Preuveneers, Y Berbers - International Journal of Computing and …, 2005 - ijcis.info",2005,http://www.ijcis.info/International%20Journal%20of%20Computing%20and%20Information%20Sciences_files/SP_IWSAC/SPW19_28.pdf,http://www.ijcis.info/International%20Journal%20of%20Computing%20and%20Information%20Sciences_files/SP_IWSAC/SPW19_28.pdf,,,1,32,No DOI available
Genetic algorithm-based optimization of service composition and deployment,"Y Vanrompay, P Rigole, Y Berbers - … of the 3rd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1387313,https://www.researchgate.net/profile/Yolande_Berbers/publication/228621214_Genetic_algorithm-based_optimization_of_service_composition_and_deployment/links/00b7d52bc83d24d9c6000000.pdf,,,1,42,No DOI available
A formalism for context-aware mobile computing,"L Yan, K Sere - … Symposium on Parallel and Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1372043/,No PDF available,,,1,39,No DOI available
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
Context-Aware Composition of E-services,"L Baresi, D Bianchini, V De Antonellis… - … on Technologies for E …, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39406-8_3,https://www.researchgate.net/profile/Meichun_Hsu/publication/242502687_Technologies_for_E-Services_5th_International_Workshop_TES_2004_Toronto_Canada_August_29-30_2004_Revised_Selected_Papers/links/54510f450cf2bf864cba88ad.pdf#page=37,,,1,55,No DOI available
Context-aware dynamic personalised service re-composition in a pervasive service environment,"Y Yang, F Mahon, MH Williams, T Pfeifer - International Conference on …, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/11833529_74,No PDF available,,,1,40,No DOI available
