title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Business collaboration models and their business context-dependent web choreography in BPSS,"B Hofreiter, C Huemer… - International Journal of …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080580000081,https://pdfs.semanticscholar.org/0055/890dbae698416e291e32ff793ef852a2aa19.pdf,,,1,11,No DOI available
"Dancing with the stars: how choreographed bacterial interactions dictate nososymbiocity and give rise to keystone pathogens, accessory pathogens, and pathobionts","G Hajishengallis, RJ Lamont - Trends in microbiology, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0966842X16000470,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4874887/,,,1,85,No DOI available
Lesions of an avian basal ganglia circuit prevent context-dependent changes to song variability,"MH Kao, MS Brainard - Journal of neurophysiology, 2006 - physiology.org",2006,https://www.physiology.org/doi/abs/10.1152/jn.01138.2005,https://pdfs.semanticscholar.org/e7ba/e0b3c031f0abe94e02162e766d4f8d067e00.pdf,,,1,205,No DOI available
Integrating Social Networks for Context Fusion in Mobile Service Platforms.,"JJ Jung - J. UCS, 2010 - jucs.org",2010,http://jucs.org/jucs_16_15/integrating_social_networks_for/jucs_16_15_2099_2110_jung.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.634.6371&rep=rep1&type=pdf,,,1,36,No DOI available
Approaching context-awareness for open intelligent space,"P Roy, B Abdulrazak, Y Belala - … of the 6th International Conference on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1497276,No PDF available,,,1,10,No DOI available
Physiological insights into the social-context-dependent changes in the rhythm of the song motor program,"BG Cooper, F Goller - Journal of neurophysiology, 2006 - physiology.org",2006,https://www.physiology.org/doi/abs/10.1152/jn.01123.2005,https://pdfs.semanticscholar.org/0391/88e770f4d01cd1355abdc5d2053f8b81e4e3.pdf,,,1,52,No DOI available
β-adrenergic control of hippocampal function: subserving the choreography of synaptic information storage and memory,"H Hagena, N Hansen, D Manahan-Vaughan - Cerebral Cortex, 2016 - academic.oup.com",2016,https://academic.oup.com/cercor/article-abstract/26/4/1349/2367404,https://academic.oup.com/cercor/article/26/4/1349/2367404,,,1,40,No DOI available
"Specification, composition and provision of trustworthy context-dependent services",NI Ibrahim - 2012 - spectrum.library.concordia.ca,2012,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,,,1,12,No DOI available
"Choreography of song, dance and beak movements in the zebra finch (Taeniopygia guttata)","H Williams - Journal of Experimental Biology, 2001 - jeb.biologists.org",2001,http://jeb.biologists.org/content/204/20/3497?utm_source=TrendMD&utm_medium=cpc&utm_campaign=J_Exp_Biol_TrendMD_1,http://jeb.biologists.org/content/jexbio/204/20/3497.full.pdf,,,1,89,No DOI available
Multi-modal analysis of dance performances for music-driven choreography synthesis,"F Ofli, E Erzin, Y Yemez… - 2010 IEEE International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5494891/,https://ieeexplore.ieee.org/iel5/5487364/5494886/05494891.pdf,,,1,7,No DOI available
Applications of computers to dance,"T Calvert, W Wilke, R Ryman… - IEEE computer Graphics …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1405947/,https://ieeexplore.ieee.org/iel5/38/30489/01405947.pdf,,,1,113,No DOI available
