title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Enhancing web service composition by means of diagnosis,"L Ardissono, S Bocconi, L Console, R Furnari… - … Conference on Business …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-642-00328-8_47,http://www.di.unito.it/~liliana/EC/qsws08-per-www.pdf,,,1,14,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
Validation of context-dependent aspect-oriented adaptations to components,"T Cottenier, T Elrad - WCOP, Oslo, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,,,1,7,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
"Upper echelons research revisited: Antecedents, elements, and consequences of top management team composition","MA Carpenter, MA Geletkanycz… - Journal of …, 2004 - journals.sagepub.com",2004,https://journals.sagepub.com/doi/abs/10.1016/j.jm.2004.06.001,https://journals.sagepub.com/doi/pdf/10.1016/j.jm.2004.06.001,,,1,1758,No DOI available
RoleDiSCo: A middleware architecture and implementation for coordinated on-demand composition of smart service systems in decentralized environments,"M Wutzler, T Springer, A Schill - 2017 IEEE 2nd International …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/8064094/,https://ieeexplore.ieee.org/iel7/8063634/8064070/08064094.pdf,,,1,2,No DOI available
Engineering mobile agent applications via context-dependent coordination,"G Cabri, L Leonardi… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1049403/,https://ieeexplore.ieee.org/iel5/32/22485/01049403.pdf,,,1,119,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Context-dependent hierarchies in pigeons,"M Nagy, G Vásárhelyi, B Pettit… - Proceedings of the …, 2013 - National Acad Sciences",2013,https://www.pnas.org/content/110/32/13049.short,https://www.pnas.org/content/pnas/110/32/13049.full.pdf,,,1,88,No DOI available
The design of naming-based service composition system for ubiquitous computing applications,"M Minami, H Morikawa… - … on Applications and the …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1268652/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.134.4529&rep=rep1&type=pdf,,,1,49,No DOI available
Decentralized and flexible workflow enactment based on task coordination agents,"G Joeris - 2nd Int'l. Bi-Conference Workshop on Agent-Oriented …, 2000 - books.google.com",2000,https://books.google.de/books?hl=de&lr=&id=ByU0wmVlYq4C&oi=fnd&pg=PA41&dq=context-dependent+AND+decentralized+composition&ots=_sqwdspQR2&sig=jwV0Gw7QVY7c-JuiEjAZanLnrRg,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.32.5341&rep=rep1&type=pdf,,,1,49,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-dependent+AND+decentralized+composition&ots=ja9etKV0Eg&sig=mAOLMZhjU4Az3RJg3uMlA7F1AcM,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
The degree of decentralization and individual decision making in central government human resource management: A European comparative perspective,"RE Meyer, G Hammerschmid - Public Administration, 2010 - Wiley Online Library",2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9299.2009.01798.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-9299.2009.01798.x,,,1,71,No DOI available
"Teachers' trust in role partners, intention to continue in teaching, and schools social composition in Israel","A Addi-Raccah - Urban Education, 2012 - journals.sagepub.com",2012,https://journals.sagepub.com/doi/abs/10.1177/0042085912437795,https://journals.sagepub.com/doi/pdf/10.1177/0042085912437795,,,1,21,No DOI available
Interaction protocol mediation in web service composition,"L Ardissono, R Furnari, G Petrone… - International Journal of …, 2010 - pianeta.di.unito.it",2010,http://pianeta.di.unito.it/~liliana/EC/IJWET10.pdf,http://pianeta.di.unito.it/~liliana/EC/IJWET10.pdf,,,1,12,No DOI available
Context dependent management of field diffusion: an experimental framework.,"F De Paoli, G Vizzari - WOA, 2003 - lia.deis.unibo.it",2003,http://www.lia.deis.unibo.it/books/woa2003/pdf/19.pdf,http://www.lia.deis.unibo.it/books/woa2003/pdf/19.pdf,,,1,20,No DOI available
