title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Transducer composition for context-dependent network expansion,"M Riley, F Pereira, M Mohri - Fifth European Conference on …, 1997 - isca-speech.org",1997,https://www.isca-speech.org/archive/eurospeech_1997/e97_1427.html,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.30.1196&rep=rep1&type=pdf,,,1,49,No DOI available
Automata for context-dependent connectors,"M Bonsangue, D Clarke, A Silva - International Conference on …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02053-7_10,https://repositorium.sdum.uminho.pt/bitstream/1822/37969/1/1738.pdf,,,1,47,No DOI available
Towards aspect-oriented programming for context-aware systems: A comparative study,"F Dantas, T Batista, N Cacho - … of the 1st International Workshop on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1270345,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273315.pdf,,,1,19,No DOI available
Modeling Context-Dependent Aspect Interference Using Default Logics.,"F Sanen, E Truyen, W Joosen - RAM-SE, 2008 - core.ac.uk",2008,https://core.ac.uk/download/pdf/34387924.pdf,https://core.ac.uk/download/pdf/34387924.pdf,,,1,12,No DOI available
Binding and normalization of binary sparse distributed representations by context-dependent thinning,"DA Rachkovskij, EM Kussul - Neural Computation, 2001 - MIT Press",2001,https://www.mitpressjournals.org/doi/abs/10.1162/089976601300014592,http://cogprints.org/1240/1/cdt-1sp.pdf,,,1,119,No DOI available
Modeling and processing information for context-aware computing: A survey,"C Hoareau, I Satoh - New Generation Computing, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s00354-009-0060-5,https://link.springer.com/content/pdf/10.1007/s00354-009-0060-5.pdf,,,1,71,No DOI available
Integrated context-dependent networks in very large vocabulary speech recognition,"M Mohri, M Riley - Sixth European Conference on Speech …, 1999 - isca-speech.org",1999,https://www.isca-speech.org/archive/eurospeech_1999/e99_0811.html,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.36.5035&rep=rep1&type=pdf,,,1,48,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Context-dependent mate choice in relation to social composition in green swordtails Xiphophorus helleri,"NJ Royle, J Lindström, NB Metcalfe - Behavioral Ecology, 2008 - academic.oup.com",2008,https://academic.oup.com/beheco/article-abstract/19/5/998/249804,https://academic.oup.com/beheco/article/19/5/998/249804,,,1,50,No DOI available
Modelling the ancestral sequence distribution and model frequencies in context-dependent models for primate non-coding sequences,"G Baele, Y Van de Peer… - BMC …, 2010 - bmcevolbiol.biomedcentral.com",2010,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-10-244,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-10-244,,,1,19,No DOI available
The context-dependent role model,"J Vallejos, P Ebraert, B Desmet, T Van Cutsem… - … on Distributed …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007/978-3-540-72883-2_1.pdf,,,1,19,No DOI available
Vector-based models of semantic composition,"J Mitchell, M Lapata - proceedings of ACL-08: HLT, 2008 - aclweb.org",2008,https://www.aclweb.org/anthology/P08-1028,https://www.aclweb.org/anthology/P08-1028,,,1,578,No DOI available
Context-dependent associations in linear distributed memories,"E Mizraji - Bulletin of mathematical biology, 1989 - Elsevier",1989,https://www.sciencedirect.com/science/article/pii/S0092824089800679,https://link.springer.com/content/pdf/10.1007/BF02458441.pdf,,,1,41,No DOI available
Improving the development of context-dependent Java applications with ContextJ,"M Appeltauer, R Hirschfeld, H Masuhara - International Workshop on …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1562117,No PDF available,,,1,41,No DOI available
Regularities of context-dependent codon bias in eukaryotic genes,"A Fedorov, S Saxonov, W Gilbert - Nucleic acids research, 2002 - academic.oup.com",2002,https://academic.oup.com/nar/article-abstract/30/5/1192/1016529,https://academic.oup.com/nar/article/30/5/1192/1016529,,,1,120,No DOI available
An architecture for managing and delivering trustworthy context-dependent services,"N Ibrahim, M Mohammad… - 2011 IEEE International …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6009334/,https://ieeexplore.ieee.org/iel5/6009116/6009236/06009334.pdf,,,1,8,No DOI available
