title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Business collaboration models and their business context-dependent web choreography in BPSS,"B Hofreiter, C Huemer… - International Journal of …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080580000081,https://pdfs.semanticscholar.org/0055/890dbae698416e291e32ff793ef852a2aa19.pdf,,,1,11,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
The choreographer's notebook: a video annotation system for dancers and choreographers,"V Singh, C Latulipe, E Carroll, D Lottridge - Proceedings of the 8th ACM …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2069653,https://www.researchgate.net/profile/Erin_Cherry/publication/221629551_The_choreographer%27s_notebook_a_video_annotation_system_for_dancers_and_choreographers/links/00b4951eb58acdef9c000000/The-choreographers-notebook-a-video-annotation-system-for-dancers-and-choreographers.pdf,,,1,50,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
MoMe: a context-sensitive mobile application to research spa-tial perception and behaviour,"MH Miranda, S Hardy, M Knöll - … of Management (Ed.) …, 2015 - stadtspiele.tu-darmstadt.de",2015,http://www.stadtspiele.tu-darmstadt.de/media/stadtspiele/ws15___16/HalblaubMiranda-etal_HumanMobilityCognitionAndGISc_2015.pdf,http://www.stadtspiele.tu-darmstadt.de/media/stadtspiele/ws15___16/HalblaubMiranda-etal_HumanMobilityCognitionAndGISc_2015.pdf,,,1,5,No DOI available
Ontological choreography: agency for women patients in an infertility clinic,"C Cussins - … in medicine: Unraveling practices, techniques, and …, 1998 - books.google.com",1998,https://books.google.de/books?hl=de&lr=&id=VPrhi_Jw6VMC&oi=fnd&pg=PA166&dq=context-sensitive+AND+choreography&ots=6zoEugc6sy&sig=DGwA5llRIYMSDwRqUT7_Mjf4WSk,No PDF available,,,1,183,No DOI available
DMDL for choreography,"H Li, RW Brockett - Proceedings of the 44th IEEE Conference …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1582790/,https://ieeexplore.ieee.org/iel5/10559/33412/01582790.pdf,,,1,4,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
Ontological choreography: Agency through objectification in infertility clinics,"C Cussins - Social studies of science, 1996 - journals.sagepub.com",1996,https://journals.sagepub.com/doi/abs/10.1177/030631296026003004,https://journals.sagepub.com/doi/pdf/10.1177/030631296026003004,,,1,270,No DOI available
Architecture and experiments in networked 3d audio/graphic rendering with virtual choreographer,"C Jacquemin - Proceedings of Sounds and Music Computing, Paris …, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.579.1597&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.579.1597&rep=rep1&type=pdf,,,1,14,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Separating per-client and pan-client views in service specification,"C Atkinson, D Stoll, H Acker, P Dadam… - Proceedings of the …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1138497,http://dbis.eprints.uni-ulm.de/102/1/Atki06.pdf,,,1,13,No DOI available
A modelling framework for ambient assisted living validation,"JC Naranjo, C Fernandez, P Sala… - … on Universal Access in …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02710-9_26,No PDF available,,,1,26,No DOI available
The pragmatic web: Putting rules in context,"H Weigand, A Paschke - International Workshop on Rules and Rule …, 2012 - Springer",2012,https://link.springer.com/chapter/10.1007/978-3-642-32689-9_14,https://pdfs.semanticscholar.org/b8a5/d8708a1b5b4630131d1816e24bf6ecfb93b5.pdf,,,1,14,No DOI available
Mapping the emergent choreography of assistance: The dynamics of dyadic peer helping relations in organizations,"ME Golan, PA Bamberger - Academy of Management Discoveries, 2015 - journals.aom.org",2015,https://journals.aom.org/doi/abs/10.5465/amd.2013.0021,https://www.researchgate.net/profile/Peter_Bamberger/publication/282774084_Mapping_the_emergent_choreography_of_assistance_The_dynamics_of_dyadic_peer_helping_relations_in_organizations/links/567d938c08ae051f9ae49075/Mapping-the-emergent-choreography-of-assistance-The-dynamics-of-dyadic-peer-helping-relations-in-organizations.pdf,,,1,11,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
,"T Cottenier, T Elrad - Proceedings of the International Conference on …, 2005",2005,javascript:void(0),No PDF available,,,1,3,No DOI available
Choosing a sensitive business process modeling formalism for knowledge identification,"MB Hassen, M Turki, F Gargouri - Procedia Computer Science, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S1877050916324413,https://www.sciencedirect.com/science/article/pii/S1877050916324413/pdf?md5=eda405c9d76e2adfff19aced1ff31d9c&pid=1-s2.0-S1877050916324413-main.pdf&_valck=1,,,1,11,No DOI available
From multi-context business collaboration models to context-specific ebXML BPSS,"B Hofreiter, C Huemer - … on e-Technology, e-Commerce and e …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1402271/,http://eprints.cs.univie.ac.at/770/1/final.pdf,,,1,1,No DOI available
Towards a context-adaptive integrated shared work environment,"S Lukosch, D Veiel, JM Haake - 2008 - ub-deposit.fernuni-hagen.de",2008,https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf,https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf,,,1,4,No DOI available
Contemporary Indian dance: new creative choreography in India and the diaspora,K Katrak - 2011 - books.google.com,2011,https://books.google.de/books?hl=de&lr=&id=lxt_DAAAQBAJ&oi=fnd&pg=PP1&dq=context-sensitive+AND+choreography&ots=OD1ed8JnD1&sig=MX3HjufKnI7-wJTYceMqaFQF9I4,No PDF available,,,1,52,No DOI available
"The status of method: flexibility, consistency and coherence","I Holloway, L Todres - Qualitative research, 2003 - journals.sagepub.com",2003,https://journals.sagepub.com/doi/abs/10.1177/1468794103033004,https://journals.sagepub.com/doi/pdf/10.1177/1468794103033004,,,1,846,No DOI available
Actor-oriented design of scientific workflows,"S Bowers, B Ludäscher - International Conference on Conceptual …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11568322_24,https://pdfs.semanticscholar.org/e64b/a778a773a7935176db3d18f2002a48189245.pdf,,,1,175,No DOI available
Algorithmic Reflections on Choreography,"P Ventura, D Bisig - Human technology, 2016 - jyx.jyu.fi",2016,https://jyx.jyu.fi/handle/123456789/52198,https://jyx.jyu.fi/bitstream/handle/123456789/52198/URN%3ANBN%3Afi%3Ajyu-201611174656.pdf?sequence=1,,,1,3,No DOI available
A mashup-based strategy for migration to service-oriented computing,"S Cetin, NI Altintas, H Oguztuzun… - IEEE International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4283910/,http://www.academia.edu/download/6417882/10.1.1.103.4539.pdf,,,1,35,No DOI available
Legacy migration to service-oriented computing with mashups,"S Cetin, NI Altintas, H Oguztuzun… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4299904/,https://ieeexplore.ieee.org/iel5/4299876/4299877/04299904.pdf,,,1,45,No DOI available
"Towards a Component-based Design of Adaptive, Context-sensitive Services for Ubiquitous Systems.","T Ruiz-López, C Rodríguez-Domínguez… - Intelligent …, 2013 - books.google.com",2013,https://books.google.de/books?hl=de&lr=&id=4dfDAQAAQBAJ&oi=fnd&pg=PA57&dq=context-sensitive+AND+choreography&ots=zsfAcoLbp9&sig=IuAnYnkpXd6noy09BsRJHNT2OGM,No PDF available,,,1,1,No DOI available
Wearable computers,"AS Pentland - IEEE Micro, 1999 - computer.org",1999,https://www.computer.org/csdl/mags/mi/1999/06/m6009.pdf,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:iRCy8UxMvzwJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=1746582874058697358&oi=lle",,,1,7,No DOI available
