title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A context modeling survey,"T Strang, C Linnhoff-Popien - Workshop Proceedings, 2004 - elib.dlr.de",2004,https://elib.dlr.de/7444/,https://elib.dlr.de/7444/1/Ubicomp2004ContextWSCameraReadyVersion.pdf,,,1,1774,No DOI available
Apparatus and method for context-sensitive dynamic information service composition via mobile and wireless network communication,"KT Lueng, S Dao, E Shek - US Patent 7,483,693, 2009 - Google Patents",2009,https://patents.google.com/patent/US7483693B2/en,No PDF available,,,1,146,No DOI available
Towards aspect-oriented programming for context-aware systems: A comparative study,"F Dantas, T Batista, N Cacho - … of the 1st International Workshop on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1270345,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273315.pdf,,,1,19,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Vector-based models of semantic composition,"J Mitchell, M Lapata - proceedings of ACL-08: HLT, 2008 - aclweb.org",2008,https://www.aclweb.org/anthology/P08-1028,https://www.aclweb.org/anthology/P08-1028,,,1,578,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
A compositional context sensitive multi-document summarizer: exploring the factors that influence summarization,"A Nenkova, L Vanderwende, K McKeown - Proceedings of the 29th …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1148269,http://ants.iis.sinica.edu.tw/3BkMJ9lTeWXTSrrvNoKNFDxRm3zFwRR/36/Context%20Sensitive.pdf,,,1,188,No DOI available
Context-sensitive resource discovery,"G Chen, D Kotz - 2003 - apps.dtic.mil",2003,https://apps.dtic.mil/docs/citations/ADA445477,https://apps.dtic.mil/dtic/tr/fulltext/u2/a445477.pdf,,,1,87,No DOI available
An approach to dynamic context discovery and composition,"G Thomson, M Richmond, S Terzis… - Proceedings of UbiSys …, 2003 - strathprints.strath.ac.uk",2003,https://strathprints.strath.ac.uk/id/eprint/2447,https://strathprints.strath.ac.uk/2447/1/strathprints002447.pdf,,,1,13,No DOI available
Bodily intention in children's improvisation and composition,"P Burnard - Psychology of Music, 1999 - journals.sagepub.com",1999,https://journals.sagepub.com/doi/abs/10.1177/0305735699272007,https://journals.sagepub.com/doi/pdf/10.1177/0305735699272007,,,1,90,No DOI available
Context-aware communication in ambient networks,"R Giaffreda, A Karmouch, A Jonsson… - Wireless world research …, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.106.9782&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.106.9782&rep=rep1&type=pdf,,,1,14,No DOI available
Automatic web service composition based on graph network analysis metrics,"J Gekas, M Fasli - OTM Confederated International Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575801_39,No PDF available,,,1,44,No DOI available
"A framework for the development of distributed, context-aware adaptive hypermedia applications","L Ardissono, A Goy, G Petrone - International Conference on Adaptive …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-540-70987-9_29,No PDF available,,,1,15,No DOI available
Dynamic and context-sensitive composition in distributed systems,E Truyen - 2004 - lirias.kuleuven.be,2004,https://lirias.kuleuven.be/1653267?limo=0,No PDF available,,,1,25,No DOI available
An interoperable context sensitive model of trust,"I Ray, I Ray, S Chakraborty - Journal of Intelligent Information Systems, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s10844-007-0049-9,https://link.springer.com/article/10.1007/s10844-007-0049-9,,,1,76,No DOI available
