title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Developing web services choreography standards—the case of REST vs. SOAP,"M Zur Muehlen, JV Nickerson, KD Swenson - Decision Support Systems, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S0167923604000612,http://www.academia.edu/download/44150514/RestVsSoap.pdf,,,1,325,No DOI available
Business collaboration models and their business context-dependent web choreography in BPSS,"B Hofreiter, C Huemer… - International Journal of …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080580000081,https://pdfs.semanticscholar.org/0055/890dbae698416e291e32ff793ef852a2aa19.pdf,,,1,11,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Context-specific modeling of collaborative business process,"G Stuhec, D Pentcheva - US Patent 8,280,755, 2012 - Google Patents",2012,https://patents.google.com/patent/US8280755B2/en,No PDF available,,,1,54,No DOI available
Modeling business collaborations in context,"B Hofreiter, C Huemer - … International Conferences"" On the Move to …, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39962-9_82,http://eprints.cs.univie.ac.at/1010/1/ModelingBusinessCollaborationsInContext.pdf,,,1,20,No DOI available
On context-specific substitutability of web services,"J Pathak, S Basu, V Honavar - IEEE International Conference …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4279599/,https://ieeexplore.ieee.org/iel5/4279552/4279553/04279599.pdf,,,1,55,No DOI available
From a UMM business process model to a business environment specific ebXML process,"B Hofreiter, C Huemer - Journal of E-Commerce Research …, 2006 - eprints.cs.univie.ac.at",2006,http://eprints.cs.univie.ac.at/587/1/final.pdf,http://eprints.cs.univie.ac.at/587/1/final.pdf,,,1,7,No DOI available
The effects of leadership style and exercise program choreography on enjoyment and intentions to exercise,"SR Bray, JA Millen, J Eidsness, C Leuzinger - Psychology of Sport and …, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S1469029204000391,No PDF available,,,1,60,No DOI available
The performance in context model: a 21st century tertiary dance teaching pedagogy,"K Stevens, A Huddy - Research in Dance Education, 2016 - Taylor & Francis",2016,https://www.tandfonline.com/doi/abs/10.1080/14647893.2016.1178714,http://eprints.qut.edu.au/94333/3/94333.pdf,,,1,7,No DOI available
Collaborative choreography: A critical inquiry into designing creative interactive systems,"K Carlson, T Schiphorst, S DiPaola - International Conference on …, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-3-319-08189-2_6,No PDF available,,,1,3,No DOI available
A standards framework for value networks in the context of Industry 4.0,"A Mazak, C Huemer - 2015 IEEE International Conference on …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7385866/,https://ieeexplore.ieee.org/iel7/7378213/7385591/07385866.pdf,,,1,10,No DOI available
SOA patterns,"A Rotem-Gal-Oz, E Bruno, U Dahan - 2012 - rgoarchitects.com",2012,http://www.rgoarchitects.com/Files/SOAPatterns/TheKnot.pdf,http://www.rgoarchitects.com/Files/SOAPatterns/TheKnot.pdf,,,1,88,No DOI available
Dancing lessons: A choreography of disability in corporate culture,"K Church, T Luciana - WALL Annual Meeting, Toronto, 2004 - wall.oise.utoronto.ca",2004,http://wall.oise.utoronto.ca/resources/ChurchMay04.pdf,http://wall.oise.utoronto.ca/resources/ChurchMay04.pdf,,,1,13,No DOI available
ADoc-oriented programming,"S Kumaran, P Nandi, T Heath… - 2003 Symposium on …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1183067/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.87.2226&rep=rep1&type=pdf,,,1,77,No DOI available
Concept-context-design: A creative model for the development of interactivity,"A Kerne - Proceedings of the 4th conference on Creativity & …, 2002 - dl.acm.org",2002,https://dl.acm.org/citation.cfm?id=581739,https://www.researchgate.net/profile/Andruid_Kerne/publication/221629418_Concept-context-design_a_creative_model_for_the_development_of_interactivity/links/02bfe5110223975185000000/Concept-context-design-a-creative-model-for-the-development-of-interactivity.pdf,,,1,24,No DOI available
