title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Dynamic adaptive service architecture–towards coordinated service composition,"C Pahl - European Conference on Software Architecture, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf,,,1,11,No DOI available
Framework of integrated semantic web services and ontology development for telecommunication industry,"AN Khan, S Asghar, S Fong - Journal of Emerging …, 2011 - pdfs.semanticscholar.org",2011,https://pdfs.semanticscholar.org/8381/babf555cd0bda861fc431ee745448ce6ba7f.pdf,https://pdfs.semanticscholar.org/8381/babf555cd0bda861fc431ee745448ce6ba7f.pdf,,,1,8,No DOI available
Corruption and decentralization of infrastructure delivery in developing countries,"PK Bardhan, D Mookherjee - 2000 - siteresources.worldbank.org",2000,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,,,1,213,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-specific+AND+decentralized+service+composition&ots=ja9etKVYHc&sig=xeY9CV4EPKvM8lT2uV_HtHKleho,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
Capture and governance at local and national levels,"PK Bardhan, D Mookherjee - American economic review, 2000 - pubs.aeaweb.org",2000,https://pubs.aeaweb.org/doi/pdf/10.1257/aer.90.2.135,https://pdfs.semanticscholar.org/832d/ba269491fa01d05eb1b059b289909ba3289c.pdf,,,1,1130,No DOI available
Policy-based integration of multiprovider digital home services,"R Brennan, D Lewis, J Keeney, Z Etzioni… - IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5350353/,https://ieeexplore.ieee.org/iel5/65/5350341/05350353.pdf,,,1,18,No DOI available
An ontology-based dynamic service composition framework for intelligent houses,"M Popovici, M Muraru, A Agache… - … Decentralized …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/5741297/,https://ieeexplore.ieee.org/iel5/5740651/5741280/05741297.pdf,,,1,9,No DOI available
A framework for semantic web services discovery,"J Pathak, N Koul, D Caragea, VG Honavar - Proceedings of the 7th …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1097057,http://tudr.thapar.edu:8080/jspui/bitstream/10266/1710/3/1710l.pdf,,,1,149,No DOI available
Decentralization reforms,"K Kaiser - … sector downsizing, taxation, decentralization …, 2006 - siteresources.worldbank.org",2006,http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf,http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf,,,1,46,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
Toward trust and reputation based web service selection: A survey,"Y Wang, J Vassileva - International Transactions on Systems …, 2007 - researchgate.net",2007,https://www.researchgate.net/profile/Julita_Vassileva/publication/249902673_Toward_Trust_and_Reputation_Based_Web_Service_Selection_A_Survey/links/53ec76540cf202d087d02606.pdf,https://www.researchgate.net/profile/Julita_Vassileva/publication/249902673_Toward_Trust_and_Reputation_Based_Web_Service_Selection_A_Survey/links/53ec76540cf202d087d02606.pdf,,,1,175,No DOI available
Artificial intelligence in service-oriented software design,"G Rodríguez, Á Soria, M Campo - Engineering Applications of Artificial …, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0952197616300677,http://translateyar.ir/wp-content/uploads/2018/05/Artificial-intelligence-in-service-oriented-software-design.pdf,,,1,16,No DOI available
A perspective on the future of middleware-based software engineering,"V Issarny, M Caporuscio, N Georgantas - 2007 Future of Software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1253532.1254722,https://hal.inria.fr/inria-00415919/document,,,1,158,No DOI available
Dynamic value Webs in mobile environments using adaptive location-based services,"P Ibach, G Tamm, M Horbank - Proceedings of the 38th Annual …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1385664/,https://ieeexplore.ieee.org/iel5/9518/30166/01385664.pdf,,,1,26,No DOI available
Countering service information challenges in the internet of services,"D Oberle, N Bhatti, S Brockmans, M Niemann… - Business & Information …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12599-009-0069-9,https://link.springer.com/article/10.1007/s12599-009-0069-9,,,1,54,No DOI available
Decentralization in Africa,"G Brosio - International Monetary Fund. Washington, DC …, 2000 - Citeseer",2000,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.365.3083&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.365.3083&rep=rep1&type=pdf,,,1,130,No DOI available
Trust as a facilitator in cloud computing: a survey,"SM Habib, S Hauke, S Ries… - Journal of Cloud …, 2012 - biomedcentral.com",2012,https://www.biomedcentral.com/openurl?doi=10.1186/2192-113X-1-19,https://www.biomedcentral.com/openurl?doi=10.1186/2192-113X-1-19,,,1,141,No DOI available
Distributed agents network for ubiquitous monitoring and services exploitation,"R Aversa, S Venticinque - 2009 International Conference on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5284221/,https://ieeexplore.ieee.org/iel5/5282954/5282987/05284221.pdf,,,1,19,No DOI available
"Accountability and coordination in a decentralized context: institutional, fiscal and governance issues","DR Mullins - Washington, DC: American University, 2003 - researchgate.net",2003,https://www.researchgate.net/profile/Daniel_Mullins/publication/239930920_Accountability_and_Coordination_in_a_Decentralized_Context_Institutional_Fiscal_and_Governance_Issues/links/5496f6760cf20f487d3163ed.pdf,https://www.researchgate.net/profile/Daniel_Mullins/publication/239930920_Accountability_and_Coordination_in_a_Decentralized_Context_Institutional_Fiscal_and_Governance_Issues/links/5496f6760cf20f487d3163ed.pdf,,,1,27,No DOI available
An integrated approach for identity and access management in a SOA context,"W Hummer, P Gaubatz, M Strembeck, U Zdun… - Proceedings of the 16th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1998446,https://eprints.cs.univie.ac.at/2836/1/sacmat09t-hummer.pdf,,,1,26,No DOI available
CloudMTD: Using real options to manage technical debt in cloud-based service selection,"E Alzaghoul, R Bahsoon - 2013 4th International Workshop on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6608680/,https://ieeexplore.ieee.org/iel7/6596163/6608667/06608680.pdf,,,1,19,No DOI available
Method and apparatus for context-specific content delivery,"C Marsh - US Patent 9,286,388, 2016 - Google Patents",2016,https://patents.google.com/patent/US9286388B2/en,No PDF available,,,1,619,No DOI available
"Aspect-oriented programming for dynamic web service selection, integration and management","MA Cibrán, B Verheecke, W Vanderperren, D Suvée… - World Wide Web, 2007 - Springer",2007,https://link.springer.com/article/10.1007/s11280-006-0017-2,https://link.springer.com/content/pdf/10.1007/s11280-006-0017-2.pdf,,,1,25,No DOI available
Western European civil service systems: A comparative analysis,"FM Van der Meer, T Steen, A Wille - The Civil Service in the 21st Century, 2007 - Springer",2007,https://link.springer.com/chapter/10.1057/9780230593084_3,No PDF available,,,1,26,No DOI available
Discovering web services over the semantic web,"J Pathak, N Koul, D Caragea, V Honavar - 2005 - lib.dr.iastate.edu",2005,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1231&context=cs_techreports,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1231&context=cs_techreports,,,1,10,No DOI available
DBGlobe: a service-oriented P2P system for global computing,"E Pitoura, S Abiteboul, D Pfoser, G Samaras… - ACM Sigmod …, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=945737,http://cs.uoi.gr/~pitoura/distribution/sr03.pdf,,,1,78,No DOI available
A service-oriented architecture for mass customization—a shoe industry case study,"AJ Dietrich, S Kirn, V Sugumaran - IEEE Transactions on …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4077227/,https://ieeexplore.ieee.org/iel5/17/4077219/04077227.pdf,,,1,96,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
Towards a framework for the development of adaptable service-based applications,"S Lane, Q Gu, P Lago, I Richardson - Service Oriented Computing and …, 2014 - Springer",2014,https://link.springer.com/article/10.1007/s11761-013-0136-4,https://link.springer.com/article/10.1007/s11761-013-0136-4,,,1,11,No DOI available
