title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Context, composition and heterogeneity: using multilevel models in health research","C Duncan, K Jones, G Moon - Social science & medicine, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S0277953697001482,https://pdfs.semanticscholar.org/96a8/a9b20476b2cb5a65e51ba9063c591f0cfde5.pdf,,,1,743,No DOI available
Architectural Patterns for Context-Aware Services Platforms.,"PD Costa, LF Pires, M van Sinderen - IWUC, 2005 - academia.edu",2005,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,,,1,65,No DOI available
"Purifying selection, sequence composition, and context-specific indel mutations shape intraspecific variation in a bacterial endosymbiont","LE Williams, JJ Wernegreen - Genome biology and evolution, 2011 - academic.oup.com",2011,https://academic.oup.com/gbe/article-abstract/4/1/44/538341,https://academic.oup.com/gbe/article/4/1/44/538341,,,1,14,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Supporting distributed private and public user interfaces in urban environments,"S Hosio, M Jurmu, H Kukka, J Riekki… - Proceedings of the …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1734590,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.411.6040&rep=rep1&type=pdf,,,1,55,No DOI available
The protean relationship between boreal forest landscape structure and red squirrel distribution at multiple spatial scales,"JT Fisher, S Boutin, SJ Hannon - Landscape Ecology, 2005 - Springer",2005,https://link.springer.com/article/10.1007/s10980-004-0677-1,https://link.springer.com/content/pdf/10.1007/s10980-004-0677-1.pdf,,,1,40,No DOI available
Automating Infrastructure Composition for Internet Services.,"T Poynor - LISA, 2001 - usenix.org",2001,https://www.usenix.org/events/lisa2001/tech/full_papers/poynor/poynor_html/,https://www.usenix.org/events/lisa2001/tech/full_papers/poynor/poynor_html/,,,1,9,No DOI available
Context-based matching for web service composition,"B Medjahed, Y Atif - Distributed and Parallel Databases, 2007 - Springer",2007,https://link.springer.com/article/10.1007/s10619-006-7003-7,https://link.springer.com/content/pdf/10.1007/s10619-006-7003-7.pdf,,,1,111,No DOI available
"Towards context-specific software process selection, tailoring, and composition","G Rong, B Boehm, M Kuhrmann, E Tian… - Proceedings of the …, 2014 - dl.acm.org",2014,https://dl.acm.org/citation.cfm?id=2600848,https://ulir.ul.ie/bitstream/handle/10344/3859/Rong_2014_towards.pdf?sequence=2,,,1,7,No DOI available
"Bone, fat, and body composition: evolving concepts in the pathogenesis of osteoporosis","CJ Rosen, A Klibanski - The American journal of medicine, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0002934309000503,No PDF available,,,1,209,No DOI available
Campbell's monkeys concatenate vocalizations into context-specific call sequences,"K Ouattara, A Lemasson… - Proceedings of the …, 2009 - National Acad Sciences",2009,https://www.pnas.org/content/106/51/22026.short,https://www.pnas.org/content/pnas/106/51/22026.full.pdf,,,1,263,No DOI available
Towards context-aware web applications,"PH Chang, G Agha - IFIP International Conference on Distributed …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_18,https://link.springer.com/content/pdf/10.1007/978-3-540-72883-2_18.pdf,,,1,21,No DOI available
Rule-based service composition and service-oriented business rule management,"H Weigand, WJ van den Heuvel, M Hiel - Proceedings of the International …, 2008 - Citeseer",2008,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.143.432&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.143.432&rep=rep1&type=pdf,,,1,47,No DOI available
Event-based distributed workflow execution with EVE,"A Geppert, D Tombros - Middleware'98, 1998 - Springer",1998,https://link.springer.com/chapter/10.1007/978-1-4471-1283-9_26,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.46.5479&rep=rep1&type=pdf,,,1,150,No DOI available
Uncovering cis-regulatory sequence requirements for context-specific transcription factor binding,"JO Yáñez-Cuna, HQ Dinh, EZ Kvon… - Genome …, 2012 - genome.cshlp.org",2012,http://genome.cshlp.org/content/22/10/2018.short,http://genome.cshlp.org/content/22/10/2018.full.pdf,,,1,80,No DOI available
On context-specific substitutability of web services,"J Pathak, S Basu, V Honavar - IEEE International Conference …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4279599/,https://ieeexplore.ieee.org/iel5/4279552/4279553/04279599.pdf,,,1,55,No DOI available
Efficacy in technology-mediated distributed teams,"MA Fuller, AM Hardin, RM Davison - Journal of Management …, 2006 - Taylor & Francis",2006,https://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222230308,http://www.academia.edu/download/42944648/FullerHardinDavison2007JMIS.pdf,,,1,161,No DOI available
Sub-ontology evolution for service composition with application to distributed e-learning,"Y Mao, WK Cheung, Z Wu, J Liu - 17th IEEE International …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1563023/,https://www.researchgate.net/profile/Yuxin_Mao3/publication/4205991_Sub-ontology_evolution_for_service_composition_with_application_to_distributed_e-learning/links/562a0b7408ae22b1703164e1.pdf,,,1,3,No DOI available
A dynamic customization model for distributed component-based systems,"E Truyen, B Vanhaute, W Joosen… - … on Distributed …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/918699/,https://ieeexplore.ieee.org/iel5/7338/19870/00918699.pdf,,,1,12,No DOI available
Method and system for cataloging and managing the distribution of distributed digital assets,"D Harple - US Patent App. 10/449,159, 2004 - Google Patents",2004,https://patents.google.com/patent/US20040039754A1/en,No PDF available,,,1,116,No DOI available
"Context-specific calls in wild chimpanzees, Pan troglodytes verus: analysis of barks","C Crockford, C Boesch - Animal Behaviour, 2003 - Elsevier",2003,https://www.sciencedirect.com/science/article/pii/S000334720392166X,http://www.academia.edu/download/3713016/anim_behav_cont_spec.pdf,,,1,178,No DOI available
Improving the development of context-dependent Java applications with ContextJ,"M Appeltauer, R Hirschfeld, H Masuhara - International Workshop on …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1562117,No PDF available,,,1,41,No DOI available
Design and engineering process integration through a multiple view intermediate modeller in a distributed object-oriented system environment,"T De Martino, B Falcidieno, S Haßinger - Computer-Aided Design, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S0010448597000961,No PDF available,,,1,181,No DOI available
"Middleware: Context management in heterogeneous, evolving ubiquitous environments","RCA da Rocha, M Endler - IEEE Distributed Systems Online, 2006 - computer.org",2006,https://www.computer.org/csdl/mags/ds/2006/04/o4001-abs.html,https://www.computer.org/csdl/mags/ds/2006/04/o4001.pdf,,,1,64,No DOI available
Putting events in context: aspects for event-based distributed programming,"A Holzer, L Ziarek, KR Jayaram, P Eugster - Proceedings of the tenth …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1960304,https://www.researchgate.net/profile/Adrian_Holzer/publication/221014899_Putting_events_in_context_Aspects_for_event-based_distributed_programming/links/55d0a8a508aee19936fda0ca/Putting-events-in-context-Aspects-for-event-based-distributed-programming.pdf,,,1,25,No DOI available
QoS-aware middleware for web services composition: a qualitative approach,"H Issa, C Assi, M Debbabi, S Ray - Enterprise Information Systems, 2009 - Taylor & Francis",2009,https://www.tandfonline.com/doi/abs/10.1080/17517570903042754,https://www.tandfonline.com/doi/pdf/10.1080/17517570903042754,,,1,38,No DOI available
Protein threading using context-specific alignment potential,"J Ma, S Wang, F Zhao, J Xu - Bioinformatics, 2013 - academic.oup.com",2013,https://academic.oup.com/bioinformatics/article-abstract/29/13/i257/187813,https://academic.oup.com/bioinformatics/article/29/13/i257/187813,,,1,84,No DOI available
Targeted disruption of cocaine-activated nucleus accumbens neurons prevents context-specific sensitization,"E Koya, SA Golden, BK Harvey, DH Guez-Barber… - Nature …, 2009 - nature.com",2009,https://www.nature.com/neuro/journal/v12/n8/abs/nn.2364.html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752202/,,,1,178,No DOI available
Characteristics of men willing to act as sperm donors in the context of identity-release legislation,"DW Riggs, L Russell - Human reproduction, 2010 - academic.oup.com",2010,https://academic.oup.com/humrep/article-abstract/26/1/266/709093,https://academic.oup.com/humrep/article/26/1/266/709093,,,1,38,No DOI available
Supporting context awareness in smart environments: a scalable approach to information interoperability,"A Toninelli, S Pantsar-Syväniemi, P Bellavista… - Proceedings of the …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1657134,No PDF available,,,1,38,No DOI available
Method and apparatus for context-specific content delivery,"C Marsh - US Patent 9,286,388, 2016 - Google Patents",2016,https://patents.google.com/patent/US9286388B2/en,No PDF available,,,1,619,No DOI available
Eliminating redundancies with a composition with adaptation meta-programming technique,"S Jarzabek, L Shubiao - ACM SIGSOFT Software Engineering Notes, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=940104,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.103.7311&rep=rep1&type=pdf,,,1,86,No DOI available
Moscoe: A framework for modeling web service composition and execution,"J Pathak, S Basu, R Lutz… - … Conference on Data …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1623939/,https://ieeexplore.ieee.org/iel5/10810/34089/01623939.pdf,,,1,30,No DOI available
Platform for distributed applications,"MR Winkler, D Shukla, SM Danton, PB Saraiya… - US Patent …, 2016 - Google Patents",2016,https://patents.google.com/patent/US9286037B2/en,No PDF available,,,1,18,No DOI available
Fault-resilient ubiquitous service composition,"J Xia, CK Chang, TH Kim, HI Yang, R Bose, S Helal - 2007 - IET",2007,https://digital-library.theiet.org/content/conferences/10.1049/cp_20070355,https://ieeexplore.ieee.org/iel5/4445745/4449897/04449919.pdf,,,1,19,No DOI available
Verifiable composition of access control and application features,"E Song, R Reddy, R France, I Ray, G Georg… - Proceedings of the …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1064001,https://www.researchgate.net/profile/Indrakshi_Ray/publication/229051357_Verifiable_Composition_of_Access_Control_and_Application/links/00b4952f3109ca19fb000000.pdf,,,1,47,No DOI available
Where cognitive psychology applies: How theories about memory and transfer can influence composition pedagogy,"J Foertsch - Written Communication, 1995 - journals.sagepub.com",1995,https://journals.sagepub.com/doi/abs/10.1177/0741088395012003006,https://journals.sagepub.com/doi/pdf/10.1177/0741088395012003006,,,1,56,No DOI available
Run-time support for aspects in distributed system infrastructure,"E Truyen, W Joosen, P Verbaeten - Aspects, Components, and Patterns …, 2002 - cs.ubc.ca",2002,ftp://ftp.cs.ubc.ca/local/techreports/2002/TR-2002-02.pdf#page=79,ftp://ftp.cs.ubc.ca/local/techreports/2002/TR-2002-02.pdf#page=79,,,1,7,No DOI available
Shifts in metabolic demands in growing altricial nestlings illustrate context-specific relationships between basal metabolic rate and body composition,"F Vézina, OP Love, M Lessard… - Physiological and …, 2009 - journals.uchicago.edu",2009,https://www.journals.uchicago.edu/doi/abs/10.1086/597548,https://www.jstor.org/stable/pdf/10.1086/597548.pdf,,,1,20,No DOI available
Insights into the composition of household vulnerability from multicriteria decision analysis,"H Eakin, LA Bojorquez-Tapia - Global Environmental Change, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0959378007000660,No PDF available,,,1,271,No DOI available
Model composition-a signature-based approach,"R Reddy, R France, S Ghosh… - Aspect Oriented …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/1cd6/de7807b59d5d7d82f323adc88d26753c74a0.pdf,https://pdfs.semanticscholar.org/1cd6/de7807b59d5d7d82f323adc88d26753c74a0.pdf,,,1,91,No DOI available
Context management for distributed and dynamic context-aware computing,"RCA Da Rocha, M Endler - 2012 - books.google.com",2012,https://books.google.de/books?hl=de&lr=&id=kyvpOjzCO_QC&oi=fnd&pg=PR5&dq=context-specific+AND+distributed+composition&ots=Y6GuXbtVex&sig=2rBtIhSwp8UL34mkyqZW5xHdUq8,No PDF available,,,1,20,No DOI available
Modelling context and heterogeneity: applying multilevel models,"K Jones, C Duncan - Research strategies in the social sciences, 1998 - books.google.com",1998,https://books.google.de/books?hl=de&lr=&id=07CQsH4c3EIC&oi=fnd&pg=PA95&dq=context-specific+AND+distributed+composition&ots=hxGoj-WmB9&sig=x6FuFO36-tg9OVSznCDLPSjlP3w,No PDF available,,,1,55,No DOI available
Use of data-biased random walks on graphs for the retrieval of context-specific networks from genomic data,"K Komurov, MA White, PT Ram - PLoS computational biology, 2010 - journals.plos.org",2010,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000889,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000889,,,1,88,No DOI available
Dynamic and static prototype vectors for semantic composition,"S Reddy, I Klapaftis, D McCarthy… - Proceedings of 5th …, 2011 - aclweb.org",2011,https://www.aclweb.org/anthology/I11-1079,https://www.aclweb.org/anthology/I11-1079,,,1,44,No DOI available
Context-specific sign-propagation in qualitative probabilistic networks,"S Renooij, LC Van der Gaag, S Parsons - Artificial Intelligence, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0004370202002473,https://www.sciencedirect.com/science/article/pii/S0004370202002473/pdf?md5=571f2a0d5f9bdf8c212eb373bceda243&pid=1-s2.0-S0004370202002473-main.pdf&_valck=1,,,1,52,No DOI available
Distribution of plant functional attributes in a managed forest in relation to neighbourhood structure,"F Skov - Plant Ecology, 2000 - Springer",2000,https://link.springer.com/article/10.1023/A:1009856126978,https://link.springer.com/content/pdf/10.1023/A:1009856126978.pdf,,,1,20,No DOI available
