title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Situation-aware IoT service coordination using the event-driven SOA paradigm,"B Cheng, D Zhu, S Zhao, J Chen - IEEE Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7442148/,https://ieeexplore.ieee.org/iel7/4275028/5699970/07442148.pdf,,,1,50,No DOI available
Method and system for role based situation aware software,"JE Boyer, EE Kelley, E Lane - US Patent 8,805,774, 2014 - Google Patents",2014,https://patents.google.com/patent/US8805774B2/en,No PDF available,,,1,23,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Towards context-aware multimedia processing through semantic web services,"S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1542107,http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf,,,1,6,No DOI available
Method and system for context aware collaborative tagging,"JE Boyer, EE Kelley, E Lane - US Patent App. 12/046,914, 2009 - Google Patents",2009,https://patents.google.com/patent/US20090235167A1/en,No PDF available,,,1,113,No DOI available
C2IoT: A framework for Cloud-based Context-aware Internet of Things services for smart cities,"S Faieq, R Saidi, H Elghazi, MD Rahmani - Procedia Computer Science, 2017 - Elsevier",2017,https://www.sciencedirect.com/science/article/pii/S1877050917312486,https://www.sciencedirect.com/science/article/pii/S1877050917312486/pdf?md5=6ec8c01090ea5a70108535ca470c4db0&isDTMRedir=Y&pid=1-s2.0-S1877050917312486-main.pdf&_valck=1,,,1,6,No DOI available
supporting interoperability and Context-awareness in e-learning through situation-driven learning Processes,"S Dietze, A Gugliotta, J Domingue - International Journal of Distance …, 2009 - igi-global.com",2009,https://www.igi-global.com/article/international-journal-distance-education-technologies/3912,https://www.igi-global.com/viewtitle.aspx?titleid=3912,,,1,12,No DOI available
Situation aware content driven multimedia service fusion in avionic informatics,"C Subramaniam, V Ravikumar - Proceedings of the 11th …, 2012 - pdfs.semanticscholar.org",2012,https://pdfs.semanticscholar.org/13fd/5fc1ea806855798df349566230c109fb2f96.pdf,https://pdfs.semanticscholar.org/13fd/5fc1ea806855798df349566230c109fb2f96.pdf,,,1,No cite count available,No DOI available
From situation modelling to a distributed rule-based platform for situation awareness: an ontological framework for disaster management applications,JLR Moreira - 2011 - core.ac.uk,2011,https://core.ac.uk/download/pdf/31153767.pdf,https://core.ac.uk/download/pdf/31153767.pdf,,,1,No cite count available,No DOI available
Service-based computing on manets: Enabling dynamic interoperability of first responders,"J Kopena, E Sultanik, G Naik, I Howley… - IEEE Intelligent …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1511996/,https://ieeexplore.ieee.org/iel5/9670/32373/01511996.pdf,,,1,28,No DOI available
