title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Service composition in a secure agent-based architecture,"R Bharadwaj, S Mukhopadhyay… - 2005 IEEE International …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1402398/,No PDF available,,,1,12,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … on Object-Oriented …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
Towards light-weight semantic descriptions for decentralized service-oriented systems,"H Pfeffer, D Linner, C Jacob, I Radusch… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4338362/,https://ieeexplore.ieee.org/iel5/4338315/4338316/04338362.pdf,,,1,10,No DOI available
Situation-aware data service composition based on service hyperlinks,"C Liu, J Wang, Y Han - International Conference on Web Information …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-54370-8_14,No PDF available,,,1,2,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
Situation-aware dynamic service coordination in an IoT environment,"B Cheng, M Wang, S Zhao, Z Zhai, D Zhu… - IEEE/ACM Transactions …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3148824,https://ieeexplore.ieee.org/iel7/90/4359146/07999224.pdf,,,1,16,No DOI available
A situation-aware access control based privacy-preserving service matchmaking approach for service-oriented architecture,"SS Yau, J Liu - IEEE International Conference on Web Services …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4279706/,https://ieeexplore.ieee.org/iel5/4279552/4279553/04279706.pdf,,,1,16,No DOI available
Supporting ubiquitous sensor-cloudlets and context-cloudlets: Programming compositions of context-aware systems for mobile users,"SW Loke - Future Generation Computer Systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0167739X11001701,http://homepage.cs.latrobe.edu.au/sloke/papers/1-s2.0-S0167739X11001701-main.pdf,,,1,19,No DOI available
Development of Situation-Aware Applications in Services and Cloud Computing Environments.,"SS Yau, D Huang - Int. J. Software and Informatics, 2013 - ijsi.cnjournals.com",2013,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,,,1,13,No DOI available
"Specification, decomposition and agent synthesis for situation-aware service-based systems","SS Yau, H Gong, D Huang, W Gao, L Zhu - Journal of Systems and …, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0164121208000393,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.465.2268&rep=rep1&type=pdf,,,1,18,No DOI available
