title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Automated situation-aware service composition in service-oriented computing,"SS Yau, H Davulcu, S Mukhopadhyay… - International Journal of …, 2007 - igi-global.com",2007,https://www.igi-global.com/article/international-journal-web-services-research/3109,https://www.igi-global.com/viewtitle.aspx?titleid=3109,,,1,20,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … -Time Distributed …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
Service composition in a secure agent-based architecture,"R Bharadwaj, S Mukhopadhyay… - 2005 IEEE International …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1402398/,No PDF available,,,1,12,No DOI available
Towards context-aware multimedia processing through semantic web services,"S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1542107,http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf,,,1,6,No DOI available
Context-aware task allocation for distributed agile team,"J Lin - 2013 28th IEEE/ACM International Conference on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6693151/,https://ieeexplore.ieee.org/iel7/6684409/6693054/06693151.pdf,,,1,12,No DOI available
Incorporating situation awareness in service specifications,"SS Yau, J Liu - … Component-Oriented Real-Time Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1630491/,https://ieeexplore.ieee.org/iel5/10852/34193/01630491.pdf,,,1,34,No DOI available
Situation-aware IoT service coordination using the event-driven SOA paradigm,"B Cheng, D Zhu, S Zhao, J Chen - IEEE Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7442148/,https://ieeexplore.ieee.org/iel7/4275028/5699970/07442148.pdf,,,1,50,No DOI available
Personal genie: a distributed framework for spontaneous interaction support with smart objects in a place,"B Kim, T Kim, HG Ko, D Lee, SJ Hyun… - Proceedings of the 7th …, 2013 - dl.acm.org",2013,https://dl.acm.org/citation.cfm?id=2448653,http://koasas.kaist.ac.kr/bitstream/10203/182789/1/76524.pdf,,,1,7,No DOI available
"Specification, decomposition and agent synthesis for situation-aware service-based systems","SS Yau, H Gong, D Huang, W Gao, L Zhu - Journal of Systems and …, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0164121208000393,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.465.2268&rep=rep1&type=pdf,,,1,18,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Situation-aware composition of low-level traffic handling functions,"M Smirnov, T Zseby, R Roth - Conference on Modell. ing …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/Rudolf_Roth2/publication/228977905_Situation-aware_Composition_of_Low-level_Traffic_Handling_Functions/links/544f649f0cf2bca5ce90ef70.pdf,https://www.researchgate.net/profile/Rudolf_Roth2/publication/228977905_Situation-aware_Composition_of_Low-level_Traffic_Handling_Functions/links/544f649f0cf2bca5ce90ef70.pdf,,,1,4,No DOI available
