title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A Case-Based Component Selection Framework for Mobile Context-Aware Applications,"Fan Dong, Li Zhang, Dexter H. Hu, Cho-Li Wang",10-12 Aug. 2009,https://ieeexplore.ieee.org/document/5207912/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5207912,,,1,3,10.1109/ISPA.2009.110
A DDL-Based Model for Web Service Composition in Context-Aware Environment,"Wenjia Niu, Zhongzhi Shi, Changlin Wan, Liang Chang, Hui Peng",23-26 Sept. 2008,https://ieeexplore.ieee.org/document/4670260/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4670260,,,1,6,10.1109/ICWS.2008.34
A Modular Approach to Context-Aware IoT Applications,"Jagannathan Venkatesh, Christine Chan, Alper Sinan Akyurek, Tajana Simunic Rosing",4-8 April 2016,https://ieeexplore.ieee.org/document/7471367/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7471367,,,1,4,10.1109/IoTDI.2015.13
A QoS and Trust Prediction Framework for Context-Aware Composed Distributed Systems,"Dimuthu U. Gamage, Lahiru S. Gallege, Rajeev R. Raje",27 June-2 July 2015,https://ieeexplore.ieee.org/document/7195550/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7195550,,,1,1,10.1109/ICWS.2015.16
A context-aware service composition scheme for service overlay network,"Seung-Ik Lee, Jong-Hwa Yi, Shin-Gak Kang",28-30 Sept. 2011,https://ieeexplore.ieee.org/document/6082709/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6082709,,,1,5,10.1109/ICTC.2011.6082709
An Agent-Based Architecture for Context-Aware Services Supporting Human Interaction,"Axel Burkle, Wilmuth Muller, Uwe Pfirrmann, Manfred Schenk, Nikolaos Dimakis, John Soldatos, Lazaros Polymenakos",18-22 Dec. 2006,https://ieeexplore.ieee.org/document/4053223/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4053223,,,1,1,10.1109/WI-IATW.2006.32
An Efficient Context-Aware Coordination Model for Ubiquitous Computing,"R. Sudha, M.R. Rajagopalan, S. Sridevi, S. Thamarai Selvi",6-10 Aug. 2007,https://ieeexplore.ieee.org/document/4451031/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4451031,,,1,0,10.1109/MOBIQ.2007.4451031
Context aware service selection and its application to medical emergency,Bimal Aklesh Kumar,4-5 Sept. 2015,https://ieeexplore.ieee.org/document/7375213/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7375213,,,1,0,10.1109/NGCT.2015.7375213
Context-Aware Resource Management for End-to-End QoS Provision in Service Oriented Applications,"Shudong Chen, Johan Lukkien, Richard Verhoeven, Pim Vullers, Goran Petrovic",30 Nov.-4 Dec. 2008,https://ieeexplore.ieee.org/document/4746635/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4746635,,,1,5,10.1109/GLOCOMW.2008.ECP.50
Context-aware multimedia services provisioning in future Internet using ontology and rules,"Soraya Ait Chellouche, Daniel Négru, Julien Arnaud, Jordi Mongay Batalla",3-5 Dec. 2014,https://ieeexplore.ieee.org/document/7119778/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7119778,,,1,2,10.1109/NOF.2014.7119778
Decoupling context-aware services,"Søren Debois, Arne John Glenstrup, Francesco Zanitti",21-25 March 2011,https://ieeexplore.ieee.org/document/5766932/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5766932,,,1,0,10.1109/PERCOMW.2011.5766932
Dynamic composition of process federations for context aware perception of human activity,"J.L. Crowley, P. Reignier",30 Sept.-4 Oct. 2003,https://ieeexplore.ieee.org/document/1245061/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1245061,,,1,9,10.1109/KIMAS.2003.1245061
MobiPADS: a reflective middleware for context-aware mobile computing,"A.T.S. Chan, Siu-Nam Chuang",Dec. 2003,https://ieeexplore.ieee.org/document/1265522/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1265522,,,1,119,10.1109/TSE.2003.1265522
