title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Identifying models of HIV care and treatment service delivery in Tanzania, Uganda, and Zambia using cluster analysis and Delphi survey","Sharon Tsui,    Julie A. Denison,    Caitlin E. Kennedy…",2017,https://link.springer.com/article/10.1186/s12913-017-2772-4,https://link.springer.com/content/pdf/10.1186%2Fs12913-017-2772-4.pdf,,,1,No cite count available,https://doi.org/10.1186/s12913-017-2772-4
Towards Quality of Experience-based reputation models for future web service provisioning,"T. Ciszkowski,    W. Mazurczyk,    Z. Kotulski,    T. Hoßfeld…",2012,https://link.springer.com/article/10.1007/s11235-011-9435-2,https://link.springer.com/content/pdf/10.1007%2Fs11235-011-9435-2.pdf,,,1,14,https://doi.org/10.1007/s11235-011-9435-2
Reusable components for online reputation systems,"Johannes Sänger,    Christian Richthammer,    Günther Pernul",2015,https://link.springer.com/article/10.1186/s40493-015-0015-3,https://link.springer.com/content/pdf/10.1186%2Fs40493-015-0015-3.pdf,,,1,2,https://doi.org/10.1186/s40493-015-0015-3
Definition of Integrity Policies for Web-based Applications,"Paloma Díaz,    Ignacio Aedo,    Fivos Panetsos",2000,https://link.springer.com/chapter/10.1007/978-0-387-35501-6_7,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35501-6_7.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-35501-6_7
A Process for Generating Concrete Architectures,"Mathieu Boussard,    Stefan Meissner,    Andreas Nettsträter…",2013,https://link.springer.com/chapter/10.1007/978-3-642-40403-0_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40403-0_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-40403-0_6
Automatically composing reusable software components for mobile devices,"Jules White,    Douglas C. Schmidt,    Egon Wuchner…",2008,https://link.springer.com/article/10.1007/BF03192550,https://link.springer.com/content/pdf/10.1007%2FBF03192550.pdf,,,1,8,https://doi.org/10.1007/BF03192550
Interaction-Driven Self-adaptation of Service Ensembles,"Christoph Dorn,    Schahram Dustdar",2010,https://link.springer.com/chapter/10.1007/978-3-642-13094-6_31,https://link.springer.com/content/pdf/10.1007%2F978-3-642-13094-6_31.pdf,,,1,3,https://doi.org/10.1007/978-3-642-13094-6_31
Plant: soil interactions in temperate multi-cropping production systems,"Jürgen Ehrmann,    Karl Ritz",2014,https://link.springer.com/article/10.1007/s11104-013-1921-8,https://link.springer.com/content/pdf/10.1007%2Fs11104-013-1921-8.pdf,,,1,46,https://doi.org/10.1007/s11104-013-1921-8
Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2012,https://link.springer.com/article/10.1007/s00125-012-2688-9,https://link.springer.com/content/pdf/10.1007%2Fs00125-012-2688-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s00125-012-2688-9
A generic framework for simulation of supply networks with bargaining agents,"N. B. Szirbik,    G. R. Wagner,    J. A. La Poutré",2003,https://link.springer.com/chapter/10.1007/978-0-387-35698-3_23,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35698-3_23.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-35698-3_23
The DBCLS BioHackathon: standardization and interoperability for bioinformatics web services and workflows,"Toshiaki Katayama,    Kazuharu Arakawa,    Mitsuteru Nakao…",2010,https://link.springer.com/article/10.1186/2041-1480-1-8,https://link.springer.com/content/pdf/10.1186%2F2041-1480-1-8.pdf,,,1,18,https://doi.org/10.1186/2041-1480-1-8
"Regional health workforce monitoring as governance innovation: a German model to coordinate sectoral demand, skill mix and mobility","E. Kuhlmann,    O. Lauxen,    C. Larsen",2016,https://link.springer.com/article/10.1186/s12960-016-0170-3,https://link.springer.com/content/pdf/10.1186%2Fs12960-016-0170-3.pdf,,,1,3,https://doi.org/10.1186/s12960-016-0170-3
Knowledge as Culture,Olivier Serrat,2017,https://link.springer.com/chapter/10.1007/978-981-10-0983-9_58,https://link.springer.com/content/pdf/10.1007%2F978-981-10-0983-9_58.pdf,,,1,No cite count available,https://doi.org/10.1007/978-981-10-0983-9_58
“A manager in the minds of doctors:” a comparison of new modes of control in European hospitals,"Ellen Kuhlmann,    Viola Burau,    Tiago Correia…",2013,https://link.springer.com/article/10.1186/1472-6963-13-246,https://link.springer.com/content/pdf/10.1186%2F1472-6963-13-246.pdf,,,1,26,https://doi.org/10.1186/1472-6963-13-246
Urban Health Challenges in Europe,Roderick J. Lawrence,2013,https://link.springer.com/article/10.1007/s11524-012-9761-z,https://link.springer.com/content/pdf/10.1007%2Fs11524-012-9761-z.pdf,,,1,5,https://doi.org/10.1007/s11524-012-9761-z
Why the Mainstream Economic Paradigm Cannot Inform Sustainability Transformations,Maja Göpel,2016,https://link.springer.com/chapter/10.1007/978-3-319-43766-8_3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-43766-8_3.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-43766-8_3
Ecotoxicology,"Ralf B. Schäfer,    Mirco Bundschuh",2018,https://link.springer.com/chapter/10.1007/978-3-319-73250-3_12,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73250-3_12.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73250-3_12
Lost in translation: a case-study of the travel of lean thinking in a hospital,"Hege Andersen,    Kjell Arne Røvik",2015,https://link.springer.com/article/10.1186/s12913-015-1081-z,https://link.springer.com/content/pdf/10.1186%2Fs12913-015-1081-z.pdf,,,1,15,https://doi.org/10.1186/s12913-015-1081-z
A process-based framework to guide nurse practitioners integration into primary healthcare teams: results from a logic analysis,"Damien Contandriopoulos,    Astrid Brousselle…",2015,https://link.springer.com/article/10.1186/s12913-015-0731-5,https://link.springer.com/content/pdf/10.1186%2Fs12913-015-0731-5.pdf,,,1,21,https://doi.org/10.1186/s12913-015-0731-5
Evolving ICT and governance in organizational networks - Conceptual and theoretical foundations,"Euripidis Loukis,    Marijn Janssen,    Sharon Dawes,    Lei Zheng",2016,https://link.springer.com/article/10.1007/s12525-015-0210-1,https://link.springer.com/content/pdf/10.1007%2Fs12525-015-0210-1.pdf,,,1,4,https://doi.org/10.1007/s12525-015-0210-1
On the future of international joint venture research,"Michael Nippa,    Jeffrey J Reuer",2019,https://link.springer.com/article/10.1057/s41267-019-00212-0,https://link.springer.com/content/pdf/10.1057%2Fs41267-019-00212-0.pdf,,,1,No cite count available,https://doi.org/10.1057/s41267-019-00212-0
An Architecture for Requirements-Driven Self-reconfiguration,"Fabiano Dalpiaz,    Paolo Giorgini…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02144-2_22,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02144-2_22.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-02144-2_22
"Fiscal rules, powerful levers for controlling the health budget? Evidence from 32 OECD countries","Herman Christiaan Schakel,    Erilia Hao Wu,    Patrick Jeurissen",2018,https://link.springer.com/article/10.1186/s12889-018-5198-y,https://link.springer.com/content/pdf/10.1186%2Fs12889-018-5198-y.pdf,,,1,No cite count available,https://doi.org/10.1186/s12889-018-5198-y
The Standardized Nurse: Mission Impossible?,"Rune Pedersen,    Gunnar Ellingsen…",2011,https://link.springer.com/chapter/10.1007/978-3-642-21364-9_11,https://link.springer.com/content/pdf/10.1007%2F978-3-642-21364-9_11.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-21364-9_11
Crisis Response via Dynamic Capabilities: A Necessity in NPOs’ Capability Building,"Katharina Kaltenbrunner,    Astrid Reichel",2018,https://link.springer.com/article/10.1007/s11266-017-9940-3,https://link.springer.com/content/pdf/10.1007%2Fs11266-017-9940-3.pdf,,,1,No cite count available,https://doi.org/10.1007/s11266-017-9940-3
"Integrated watershed management: evolution, development and emerging trends","Guangyu Wang,    Shari Mang,    Haisheng Cai,    Shirong Liu…",2016,https://link.springer.com/article/10.1007/s11676-016-0293-3,https://link.springer.com/content/pdf/10.1007%2Fs11676-016-0293-3.pdf,,,1,12,https://doi.org/10.1007/s11676-016-0293-3
The European Union’s Rule of Law Agenda: Identifying Its Core and Contextualizing Its Application,"Elaine Mak,    Sanne Taekema",2016,https://link.springer.com/article/10.1007/s40803-016-0022-1,https://link.springer.com/content/pdf/10.1007%2Fs40803-016-0022-1.pdf,,,1,2,https://doi.org/10.1007/s40803-016-0022-1
