title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Context-Dependent Role Model,"Jorge Vallejos,    Peter Ebraert,    Brecht Desmet…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_1.pdf,,,1,2,https://doi.org/10.1007/978-3-540-72883-2_1
Context-dependent codon partition models provide significant increases in model fit in atpB and rbcL protein-coding genes,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2011,https://link.springer.com/article/10.1186/1471-2148-11-145,https://link.springer.com/content/pdf/10.1186%2F1471-2148-11-145.pdf,,,1,2,https://doi.org/10.1186/1471-2148-11-145
Publishing and discovering context-dependent services,"Naseem Ibrahim,    Mubarak Mohammad…",2013,https://link.springer.com/article/10.1186/2192-1962-3-1,https://link.springer.com/content/pdf/10.1186%2F2192-1962-3-1.pdf,,,1,41,https://doi.org/10.1186/2192-1962-3-1
Single genome retrieval of context-dependent variability in mutation rates for human germline,"Aleksandr B. Sahakyan,    Shankar Balasubramanian",2017,https://link.springer.com/article/10.1186/s12864-016-3440-5,https://link.springer.com/content/pdf/10.1186%2Fs12864-016-3440-5.pdf,,,1,1,https://doi.org/10.1186/s12864-016-3440-5
Modelling the ancestral sequence distribution and model frequencies in context-dependent models for primate non-coding sequences,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2010,https://link.springer.com/article/10.1186/1471-2148-10-244,https://link.springer.com/content/pdf/10.1186%2F1471-2148-10-244.pdf,,,1,12,https://doi.org/10.1186/1471-2148-10-244
Pitfalls of the most commonly used models of context dependent substitution,"Helen Lindsay,    Von Bing Yap,    Hua Ying,    Gavin A Huttley",2008,https://link.springer.com/article/10.1186/1745-6150-3-52,https://link.springer.com/content/pdf/10.1186%2F1745-6150-3-52.pdf,,,1,12,https://doi.org/10.1186/1745-6150-3-52
Efficient context-dependent model building based on clustering posterior distributions for non-coding sequences,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2009,https://link.springer.com/article/10.1186/1471-2148-9-87,https://link.springer.com/content/pdf/10.1186%2F1471-2148-9-87.pdf,,,1,5,https://doi.org/10.1186/1471-2148-9-87
"Information engineering for developing and testing coherent, integrated and context-dependent user interfaces","Ellemieke van Doorn,    Imre Horváth,    Zoltán Rusák",2017,https://link.springer.com/article/10.1007/s10111-017-0412-8,https://link.springer.com/content/pdf/10.1007%2Fs10111-017-0412-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s10111-017-0412-8
What’s in a name? Context-dependent significance of ‘global’ methylation measures in human health and disease,"Regan Vryer,    Richard Saffery",2017,https://link.springer.com/article/10.1186/s13148-017-0311-0,https://link.springer.com/content/pdf/10.1186%2Fs13148-017-0311-0.pdf,,,1,4,https://doi.org/10.1186/s13148-017-0311-0
Context dependent substitution biases vary within the human genome,"P Andrew Nevarez,    Christopher M DeBoever,    Benjamin J Freeland…",2010,https://link.springer.com/article/10.1186/1471-2105-11-462,https://link.springer.com/content/pdf/10.1186%2F1471-2105-11-462.pdf,,,1,13,https://doi.org/10.1186/1471-2105-11-462
Comparative analysis of A-to-I editing in human and non-human primate brains reveals conserved patterns and context-dependent regulation of RNA editing,"Richard T. O’Neil,    Xiaojing Wang,    Michael V. Morabito,    Ronald B. Emeson",2017,https://link.springer.com/article/10.1186/s13041-017-0291-1,https://link.springer.com/content/pdf/10.1186%2Fs13041-017-0291-1.pdf,,,1,3,https://doi.org/10.1186/s13041-017-0291-1
Context dependent reference states of solvent accessibility derived from native protein structures and assessed by predictability analysis,"Hemajit Singh,    Shandar Ahmad",2009,https://link.springer.com/article/10.1186/1472-6807-9-25,https://link.springer.com/content/pdf/10.1186%2F1472-6807-9-25.pdf,,,1,13,https://doi.org/10.1186/1472-6807-9-25
High-throughput assessment of context-dependent effects of chromatin proteins,"Laura Brueckner,    Joris van Arensbergen,    Waseem Akhtar…",2016,https://link.springer.com/article/10.1186/s13072-016-0096-y,https://link.springer.com/content/pdf/10.1186%2Fs13072-016-0096-y.pdf,,,1,3,https://doi.org/10.1186/s13072-016-0096-y
Mate-guarding in a promiscuous insect: species discrimination influences context-dependent behaviour,"Emily R. Burdfield-Steel,    David M. Shuker",2014,https://link.springer.com/article/10.1007/s10682-014-9726-7,https://link.springer.com/content/pdf/10.1007%2Fs10682-014-9726-7.pdf,,,1,8,https://doi.org/10.1007/s10682-014-9726-7
Context-dependent functions of specific microRNAs in neuronal development,Fen-Biao Gao,2010,https://link.springer.com/article/10.1186/1749-8104-5-25,https://link.springer.com/content/pdf/10.1186%2F1749-8104-5-25.pdf,,,1,88,https://doi.org/10.1186/1749-8104-5-25
Corticosteroid Receptors in the Brain: Transcriptional Mechanisms for Specificity and Context-Dependent Effects,"Onno C. Meijer,    J. C. Buurstede,    Marcel J. M. Schaaf",2019,https://link.springer.com/article/10.1007/s10571-018-0625-2,https://link.springer.com/content/pdf/10.1007%2Fs10571-018-0625-2.pdf,,,1,No cite count available,https://doi.org/10.1007/s10571-018-0625-2
Context-dependent tree species effects on soil nitrogen transformations and related microbial functional genes,"Relena R. Ribbons,    Sebastian Kepfer-Rojas,    Chatchai Kosawang…",2018,https://link.springer.com/article/10.1007/s10533-018-0480-8,https://link.springer.com/content/pdf/10.1007%2Fs10533-018-0480-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s10533-018-0480-8
"Context-dependent regulation of feeding behaviour by the insulin receptor, DAF-2, in Caenorhabditis elegans
","James Dillon,    Lindy Holden-Dye,    Vincent O’Connor…",2016,https://link.springer.com/article/10.1007/s10158-016-0187-2,https://link.springer.com/content/pdf/10.1007%2Fs10158-016-0187-2.pdf,,,1,5,https://doi.org/10.1007/s10158-016-0187-2
RNF40 regulates gene expression in an epigenetic context-dependent manner,"Wanhua Xie,    Sankari Nagarajan,    Simon J. Baumgart,    Robyn Laura Kosinsky…",2017,https://link.springer.com/article/10.1186/s13059-017-1159-5,https://link.springer.com/content/pdf/10.1186%2Fs13059-017-1159-5.pdf,,,1,6,https://doi.org/10.1186/s13059-017-1159-5
Cognitively Plausible Theories of Concept Composition,Lawrence W. Barsalou,2017,https://link.springer.com/chapter/10.1007/978-3-319-45977-6_2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45977-6_2.pdf,,,1,4,https://doi.org/10.1007/978-3-319-45977-6_2
Distributed processing and temporal codes in neuronal networks,Wolf Singer,2009,https://link.springer.com/article/10.1007/s11571-009-9087-z,https://link.springer.com/content/pdf/10.1007%2Fs11571-009-9087-z.pdf,,,1,85,https://doi.org/10.1007/s11571-009-9087-z
Using Coordinated Actors to Model Families of Distributed Systems,"Ramtin Khosravi,    Hamideh Sabouri",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30829-1_6
Ontology-Driven Dynamic Discovery and Distributed Coordination of a Robot Swarm,"Niels Bouten,    Anna Hristoskova,    Femke Ongenae…",2012,https://link.springer.com/chapter/10.1007/978-3-642-30633-4_2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30633-4_2.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30633-4_2
"Distributed Representations, Simple Recurrent Networks, And Grammatical Structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1023/A%3A1022699029236,https://link.springer.com/content/pdf/10.1023%2FA%3A1022699029236.pdf,,,1,24,https://doi.org/10.1023/A:1022699029236
"Distributed representations, simple recurrent networks, and grammatical structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007%2FBF00114844.pdf,,,1,298,https://doi.org/10.1007/BF00114844
Modelling mutational and selection pressures on dinucleotides in eukaryotic phyla –selection against CpG and UpA in cytoplasmically expressed RNA and in RNA viruses,"Peter Simmonds,    Wenjun Xia,    J Kenneth Baillie,    Ken McKinnon",2013,https://link.springer.com/article/10.1186/1471-2164-14-610,https://link.springer.com/content/pdf/10.1186%2F1471-2164-14-610.pdf,,,1,10,https://doi.org/10.1186/1471-2164-14-610
Büchi automata for modeling component connectors,"Mohammad Izadi,    Marcello Bonsangue,    Dave Clarke",2011,https://link.springer.com/article/10.1007/s10270-010-0152-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-010-0152-1.pdf,,,1,3,https://doi.org/10.1007/s10270-010-0152-1
Tools for simulating evolution of aligned genomic regions with integrated parameter estimation,"Avinash Varadarajan,    Robert K Bradley,    Ian H Holmes",2008,https://link.springer.com/article/10.1186/gb-2008-9-10-r147,https://link.springer.com/content/pdf/10.1186%2Fgb-2008-9-10-r147.pdf,,,1,15,https://doi.org/10.1186/gb-2008-9-10-r147
A Description Language for Composable Components,"Ioana Sora,    Pierre Verbaeten…",2003,https://link.springer.com/chapter/10.1007/3-540-36578-8_3,https://link.springer.com/content/pdf/10.1007%2F3-540-36578-8_3.pdf,,,1,3,https://doi.org/10.1007/3-540-36578-8_3
Partial Connector Colouring,"Dave Clarke,    José Proença",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_5.pdf,,,1,3,https://doi.org/10.1007/978-3-642-30829-1_5
"A lightweight, flow-based toolkit for parallel and distributed bioinformatics pipelines","Marcin Cieślik,    Cameron Mura",2011,https://link.springer.com/article/10.1186/1471-2105-12-61,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-61.pdf,,,1,5,https://doi.org/10.1186/1471-2105-12-61
Verifying data- and control-oriented properties combining static and runtime verification: theory and tools,"Wolfgang Ahrendt,    Jesús Mauricio Chimento…",2017,https://link.springer.com/article/10.1007/s10703-017-0274-y,https://link.springer.com/content/pdf/10.1007%2Fs10703-017-0274-y.pdf,,,1,8,https://doi.org/10.1007/s10703-017-0274-y
Developing highly complex distributed systems: a software engineering perspective,"Marco Autili,    Paola Inverardi…",2012,https://link.springer.com/article/10.1007/s13174-011-0048-5,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0048-5.pdf,,,1,3,https://doi.org/10.1007/s13174-011-0048-5
Achieving Flexible Process Interoperability in the Homecare Domain through Aspect-Oriented Service Composition,"Duc Viet Bui,    Maria Eugenia Iacob,    Marten van Sinderen…",2013,https://link.springer.com/chapter/10.1007/978-3-642-36796-0_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-36796-0_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-36796-0_6
Ambient-aware continuous care through semantic context dissemination,"Femke Ongenae,    Jeroen Famaey…",2014,https://link.springer.com/article/10.1186/1472-6947-14-97,https://link.springer.com/content/pdf/10.1186%2F1472-6947-14-97.pdf,,,1,4,https://doi.org/10.1186/1472-6947-14-97
Conceptual Versus Referential Affordance in Concept Composition,"Louise McNally,    Gemma Boleda",2017,https://link.springer.com/chapter/10.1007/978-3-319-45977-6_10,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45977-6_10.pdf,,,1,1,https://doi.org/10.1007/978-3-319-45977-6_10
"Abstracts of the EASD, Stockholm 2010",No author available,2010,https://link.springer.com/article/10.1007/s00125-010-1872-z,https://link.springer.com/content/pdf/10.1007%2Fs00125-010-1872-z.pdf,,,1,1,https://doi.org/10.1007/s00125-010-1872-z
The core enabling technologies of big data analytics and context-aware computing for smart sustainable cities: a review and synthesis,"Simon Elias Bibri,    John Krogstie",2017,https://link.springer.com/article/10.1186/s40537-017-0091-6,https://link.springer.com/content/pdf/10.1186%2Fs40537-017-0091-6.pdf,,,1,7,https://doi.org/10.1186/s40537-017-0091-6
Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2012,https://link.springer.com/article/10.1007/s00125-012-2688-9,https://link.springer.com/content/pdf/10.1007%2Fs00125-012-2688-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s00125-012-2688-9
27th Annual Computational Neuroscience Meeting (CNS*2018): Part One,No author available,2018,https://link.springer.com/article/10.1186/s12868-018-0452-x,https://link.springer.com/content/pdf/10.1186%2Fs12868-018-0452-x.pdf,,,1,No cite count available,https://doi.org/10.1186/s12868-018-0452-x
Evidence of selection for an accessible nucleosomal array in human,"Guénola Drillon,    Benjamin Audit,    Françoise Argoul,    Alain Arneodo",2016,https://link.springer.com/article/10.1186/s12864-016-2880-2,https://link.springer.com/content/pdf/10.1186%2Fs12864-016-2880-2.pdf,,,1,13,https://doi.org/10.1186/s12864-016-2880-2
Semantic-Based Development of Service-Oriented Systems,"Martin Wirsing,    Allan Clark,    Stephen Gilmore…",2006,https://link.springer.com/chapter/10.1007/11888116_3,https://link.springer.com/content/pdf/10.1007%2F11888116_3.pdf,,,1,32,https://doi.org/10.1007/11888116_3
The cue-dependent nature of state-dependent retrieval,James Eric Eich,1980,https://link.springer.com/article/10.3758/BF03213419,https://link.springer.com/content/pdf/10.3758%2FBF03213419.pdf,,,1,18,https://doi.org/10.3758/BF03213419
