title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Diagnosis of Higher-Order Discrete-Event Systems,"Gianfranco Lamperti,    Xiangfu Zhao",2013,https://link.springer.com/chapter/10.1007/978-3-642-40511-2_12,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40511-2_12.pdf,,,1,4,https://doi.org/10.1007/978-3-642-40511-2_12
"Evolutionary Connectionism: Algorithmic Principles Underlying the Evolution of Biological Organisation in Evo-Devo, Evo-Eco and Evolutionary Transitions","Richard A. Watson,    Rob Mills,    C. L. Buckley,    Kostas Kouvaris…",2016,https://link.springer.com/article/10.1007/s11692-015-9358-z,https://link.springer.com/content/pdf/10.1007%2Fs11692-015-9358-z.pdf,,,1,12,https://doi.org/10.1007/s11692-015-9358-z
S-BPM’s Industrial Capabilities,"Matthias Neubauer,    Christian Stary,    Udo Kannengiesser…",2017,https://link.springer.com/chapter/10.1007/978-3-319-48466-2_3,https://link.springer.com/content/pdf/10.1007%2F978-3-319-48466-2_3.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-48466-2_3
ECR 2011 Book of Abstracts - B - Scientific Sessions,No author available,2011,https://link.springer.com/article/10.1007/s13244-011-0077-4,https://link.springer.com/content/pdf/10.1007%2Fs13244-011-0077-4.pdf,,,1,No cite count available,https://doi.org/10.1007/s13244-011-0077-4
Gendermetrics.NET: a novel software for analyzing the gender representation in scientific authoring,"Michael H. K. Bendels,    Dörthe Brüggmann…",2016,https://link.springer.com/article/10.1186/s12995-016-0133-6,https://link.springer.com/content/pdf/10.1186%2Fs12995-016-0133-6.pdf,,,1,3,https://doi.org/10.1186/s12995-016-0133-6
On middleware for emerging health services,"Jatinder Singh,    Jean M Bacon",2014,https://link.springer.com/article/10.1186/1869-0238-5-6,https://link.springer.com/content/pdf/10.1186%2F1869-0238-5-6.pdf,,,1,5,https://doi.org/10.1186/1869-0238-5-6
A Logical Framework for Exception Handling in ADOME Workflow Management System,"Dickson Chiu,    Qing Li,    Kamalakar Karlapalem",2000,https://link.springer.com/chapter/10.1007/3-540-45140-4_9,https://link.springer.com/content/pdf/10.1007%2F3-540-45140-4_9.pdf,,,1,10,https://doi.org/10.1007/3-540-45140-4_9
"SafeWeb: A Middleware for Securing Ruby-Based Web Applications
","Petr Hosek,    Matteo Migliavacca,    Ioannis Papagiannis,    David M. Eyers…",2011,https://link.springer.com/chapter/10.1007/978-3-642-25821-3_25,https://link.springer.com/content/pdf/10.1007%2F978-3-642-25821-3_25.pdf,,,1,2,https://doi.org/10.1007/978-3-642-25821-3_25
“A manager in the minds of doctors:” a comparison of new modes of control in European hospitals,"Ellen Kuhlmann,    Viola Burau,    Tiago Correia…",2013,https://link.springer.com/article/10.1186/1472-6963-13-246,https://link.springer.com/content/pdf/10.1186%2F1472-6963-13-246.pdf,,,1,26,https://doi.org/10.1186/1472-6963-13-246
Exploring service-oriented system engineering challenges: a systematic literature review,"Qing Gu,    Patricia Lago",2009,https://link.springer.com/article/10.1007/s11761-009-0046-7,https://link.springer.com/content/pdf/10.1007%2Fs11761-009-0046-7.pdf,,,1,43,https://doi.org/10.1007/s11761-009-0046-7
Security and Software Engineering,"Sam Malek,    Hamid Bagheri,    Joshua Garcia…",2019,https://link.springer.com/chapter/10.1007/978-3-030-00262-6_12,https://link.springer.com/content/pdf/10.1007%2F978-3-030-00262-6_12.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-030-00262-6_12
Exploitation of Semantic Web Technology in ERP Systems,"Amin Anjomshoaa,    Shuaib Karim…",2006,https://link.springer.com/chapter/10.1007/0-387-34456-X_42,https://link.springer.com/content/pdf/10.1007%2F0-387-34456-X_42.pdf,,,1,4,https://doi.org/10.1007/0-387-34456-X_42
Industrial Challenges,"Christian Stary,    Matthias Neubauer",2017,https://link.springer.com/chapter/10.1007/978-3-319-48466-2_2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-48466-2_2.pdf,,,1,1,https://doi.org/10.1007/978-3-319-48466-2_2
What is interaction science? Revisiting the aims and scope of JoIS,"Gisela Susanne Bahr,    Christian Stary",2016,https://link.springer.com/article/10.1186/s40166-016-0015-5,https://link.springer.com/content/pdf/10.1186%2Fs40166-016-0015-5.pdf,,,1,No cite count available,https://doi.org/10.1186/s40166-016-0015-5
Automated property verification for large scale B models with ProB,"Michael Leuschel,    Jérôme Falampin,    Fabian Fritz…",2011,https://link.springer.com/article/10.1007/s00165-010-0172-1,https://link.springer.com/content/pdf/10.1007%2Fs00165-010-0172-1.pdf,,,1,22,https://doi.org/10.1007/s00165-010-0172-1
Do Not Forget About Smart Towns,"Sabiölla Hosseini,    Dr. Leonhard Frank…",2018,https://link.springer.com/article/10.1007/s12599-018-0536-2,https://link.springer.com/content/pdf/10.1007%2Fs12599-018-0536-2.pdf,,,1,1,https://doi.org/10.1007/s12599-018-0536-2
User Preference Based Service Discovery,"Jongwoo Sung,    Dongman Lee,    Daeyoung Kim",2007,https://link.springer.com/chapter/10.1007/978-3-540-77092-3_51,https://link.springer.com/content/pdf/10.1007%2F978-3-540-77092-3_51.pdf,,,1,1,https://doi.org/10.1007/978-3-540-77092-3_51
Adaptable Architectural Middleware for Programming-in-the-Small-and-Many,"Marija Mikic-Rakic,    Nenad Medvidovic",2003,https://link.springer.com/chapter/10.1007/3-540-44892-6_9,https://link.springer.com/content/pdf/10.1007%2F3-540-44892-6_9.pdf,,,1,8,https://doi.org/10.1007/3-540-44892-6_9
Health systems guidance appraisal—a critical interpretive synthesis,"Denis E. Ako-Arrey,    Melissa C. Brouwers,    John N. Lavis…",2016,https://link.springer.com/article/10.1186/s13012-016-0373-y,https://link.springer.com/content/pdf/10.1186%2Fs13012-016-0373-y.pdf,,,1,6,https://doi.org/10.1186/s13012-016-0373-y
"Soundness of workflow nets: classification, decidability, and analysis","W. M. P. van der Aalst,    K. M. van Hee,    A. H. M. ter Hofstede…",2011,https://link.springer.com/article/10.1007/s00165-010-0161-4,https://link.springer.com/content/pdf/10.1007%2Fs00165-010-0161-4.pdf,,,1,128,https://doi.org/10.1007/s00165-010-0161-4
"Integration of community home based care programmes within national primary health care revitalisation strategies in Ethiopia, Malawi, South-Africa and Zambia: a comparative assessment","Carolien Aantjes,    Tim Quinlan,    Joske Bunders",2014,https://link.springer.com/article/10.1186/s12992-014-0085-5,https://link.springer.com/content/pdf/10.1186%2Fs12992-014-0085-5.pdf,,,1,11,https://doi.org/10.1186/s12992-014-0085-5
Combining evidence and values in priority setting: testing the balance sheet method in a low-income country,"Emmanuel Makundi,    Lydia Kapiriri,    Ole Frithjof Norheim",2007,https://link.springer.com/article/10.1186/1472-6963-7-152,https://link.springer.com/content/pdf/10.1186%2F1472-6963-7-152.pdf,,,1,18,https://doi.org/10.1186/1472-6963-7-152
Principles of fluid management and stewardship in septic shock: it is time to consider the four D’s and the four phases of fluid therapy,"Manu L. N. G. Malbrain,    Niels Van Regenmortel,    Bernd Saugel…",2018,https://link.springer.com/article/10.1186/s13613-018-0402-x,https://link.springer.com/content/pdf/10.1186%2Fs13613-018-0402-x.pdf,,,1,21,https://doi.org/10.1186/s13613-018-0402-x
ECR 2011 Book of Abstracts - E - Authors’ Index,No author available,2011,https://link.springer.com/article/10.1007/s13244-011-0082-7,https://link.springer.com/content/pdf/10.1007%2Fs13244-011-0082-7.pdf,,,1,No cite count available,https://doi.org/10.1007/s13244-011-0082-7
