title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic Links for Mobile Connected Context-Sensitive Systems,"Philip Gray,    Meurig Sage",2001,https://link.springer.com/chapter/10.1007/3-540-45348-2_24,https://link.springer.com/content/pdf/10.1007%2F3-540-45348-2_24.pdf,,,1,No cite count available,https://doi.org/10.1007/3-540-45348-2_24
Approximated Context-Sensitive Analysis for Parameterized Verification,"Parosh Aziz Abdulla,    Giorgio Delzanno…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02138-1_3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02138-1_3.pdf,,,1,2,https://doi.org/10.1007/978-3-642-02138-1_3
Implicit Context-Sensitive Mobile Computing Using Semantic Policies,"Hamid Harroud,    Ahmed Karmouch",2006,https://link.springer.com/chapter/10.1007/11880905_16,https://link.springer.com/content/pdf/10.1007%2F11880905_16.pdf,,,1,No cite count available,https://doi.org/10.1007/11880905_16
Mechanisms of aural encoding: VIII. Phonetic interference and context-sensitive coding in short-term memory,"Bruce Dennis Sales,    Ronald A. Cole,    Ralph N. Haber",1974,https://link.springer.com/article/10.3758/BF03196927,https://link.springer.com/content/pdf/10.3758%2FBF03196927.pdf,,,1,No cite count available,https://doi.org/10.3758/BF03196927
Documenting and Analyzing a Context-Sensitive Design Space,"Hans de Bruin,    Hans van Vliet,    Ziv Baida",2002,https://link.springer.com/chapter/10.1007/978-0-387-35607-5_8,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35607-5_8.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-35607-5_8
Task and Context Sensitive Gripper Design Learning Using Dynamic Grasp Simulation,"A. Wolniakowski,    K. Miatliuk,    Z. Gosiewski…",2017,https://link.springer.com/article/10.1007/s10846-017-0492-y,https://link.springer.com/content/pdf/10.1007%2Fs10846-017-0492-y.pdf,,,1,No cite count available,https://doi.org/10.1007/s10846-017-0492-y
Prediction of novel precursor miRNAs using a context-sensitive hidden Markov model (CSHMM),"Sumeet Agarwal,    Candida Vaz,    Alok Bhattacharya,    Ashwin Srinivasan",2010,https://link.springer.com/article/10.1186/1471-2105-11-S1-S29,https://link.springer.com/content/pdf/10.1186%2F1471-2105-11-S1-S29.pdf,,,1,34,https://doi.org/10.1186/1471-2105-11-S1-S29
Implementation science for ambulatory care safety: a novel method to develop context-sensitive interventions to reduce quality gaps in monitoring high-risk patients,"Kathryn M. McDonald,    George Su,    Sarah Lisker,    Emily S. Patterson…",2017,https://link.springer.com/article/10.1186/s13012-017-0609-5,https://link.springer.com/content/pdf/10.1186%2Fs13012-017-0609-5.pdf,,,1,1,https://doi.org/10.1186/s13012-017-0609-5
SBMLsqueezer 2: context-sensitive creation of kinetic equations in biochemical networks,"Andreas Dräger,    Daniel C Zielinski,    Roland Keller,    Matthias Rall…",2015,https://link.springer.com/article/10.1186/s12918-015-0212-9,https://link.springer.com/content/pdf/10.1186%2Fs12918-015-0212-9.pdf,,,1,6,https://doi.org/10.1186/s12918-015-0212-9
Towards a Knowledge-Based Approach to Semantic Service Composition,"Liming Chen,    Nigel R. Shadbolt,    Carole Goble,    Feng Tao…",2003,https://link.springer.com/chapter/10.1007/978-3-540-39718-2_21,https://link.springer.com/content/pdf/10.1007%2F978-3-540-39718-2_21.pdf,,,1,5,https://doi.org/10.1007/978-3-540-39718-2_21
