title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Soil Inoculation with Bacillus spp. Modifies Root Endophytic Bacterial Diversity, Evenness, and Community Composition in a Context-Specific Manner","Kiran R. Gadhave,    Paul F. Devlin,    Andreas Ebertz,    Arabella Ross…",2018,https://link.springer.com/article/10.1007/s00248-018-1160-x,https://link.springer.com/content/pdf/10.1007%2Fs00248-018-1160-x.pdf,,,1,4,https://doi.org/10.1007/s00248-018-1160-x
Collective Information Extraction with Context-Specific Consistencies,"Peter Kluegl,    Martin Toepfer…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33460-3_52,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33460-3_52.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-33460-3_52
"Automatic, context-specific generation of Gene Ontology slims","Melissa J Davis,    Muhammad Shoaib B Sehgal,    Mark A Ragan",2010,https://link.springer.com/article/10.1186/1471-2105-11-498,https://link.springer.com/content/pdf/10.1186%2F1471-2105-11-498.pdf,,,1,23,https://doi.org/10.1186/1471-2105-11-498
Assessing clinical communication skills in physicians: are the skills context specific or generalizable,"Lubna A Baig,    Claudio Violato,    Rodney A Crutcher",2009,https://link.springer.com/article/10.1186/1472-6920-9-22,https://link.springer.com/content/pdf/10.1186%2F1472-6920-9-22.pdf,,,1,25,https://doi.org/10.1186/1472-6920-9-22
Context-specific gene regulatory networks subdivide intrinsic subtypes of breast cancer,"Sara Nasser,    Heather E Cunliffe,    Michael A Black,    Seungchan Kim",2011,https://link.springer.com/article/10.1186/1471-2105-12-S2-S3,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-S2-S3.pdf,,,1,3,https://doi.org/10.1186/1471-2105-12-S2-S3
Deregulation upon DNA damage revealed by joint analysis of context-specific perturbation data,"Ewa Szczurek,    Florian Markowetz,    Irit Gat-Viks,    Przemysław Biecek…",2011,https://link.springer.com/article/10.1186/1471-2105-12-249,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-249.pdf,,,1,No cite count available,https://doi.org/10.1186/1471-2105-12-249
Ultrabithorax confers spatial identity in a context-specific manner in the Drosophila postembryonic ventral nervous system,"Elizabeth C Marin,    Katie E Dry,    Danielle R Alaimo,    Kirstin T Rudd…",2012,https://link.springer.com/article/10.1186/1749-8104-7-31,https://link.springer.com/content/pdf/10.1186%2F1749-8104-7-31.pdf,,,1,7,https://doi.org/10.1186/1749-8104-7-31
A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology,"Aarash Bordbar,    Adam M Feist,    Renata Usaite-Black,    Joseph Woodcock…",2011,https://link.springer.com/article/10.1186/1752-0509-5-180,https://link.springer.com/content/pdf/10.1186%2F1752-0509-5-180.pdf,,,1,91,https://doi.org/10.1186/1752-0509-5-180
Females alter their song when challenged in a sex-role reversed bird species,"Nicole Geberzahn,    Wolfgang Goymann,    Christina Muck…",2009,https://link.springer.com/article/10.1007/s00265-009-0836-0,https://link.springer.com/content/pdf/10.1007%2Fs00265-009-0836-0.pdf,,,1,43,https://doi.org/10.1007/s00265-009-0836-0
Multidimensional context modeling applied to non-functional analysis of software,"Luca Berardinelli,    Marco Bernardo,    Vittorio Cortellessa…",2017,https://link.springer.com/article/10.1007/s10270-017-0645-2,https://link.springer.com/content/pdf/10.1007%2Fs10270-017-0645-2.pdf,,,1,2,https://doi.org/10.1007/s10270-017-0645-2
Specifying Reusable Controllers for Software Components,"José M. Troya,    Antonio Vallecillo",1999,https://link.springer.com/chapter/10.1007/978-0-387-35562-7_11,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35562-7_11.pdf,,,1,1,https://doi.org/10.1007/978-0-387-35562-7_11
Integrated metabolic modelling reveals cell-type specific epigenetic control points of the macrophage metabolic network,"Maria Pires Pacheco,    Elisabeth John,    Tony Kaoma,    Merja Heinäniemi…",2015,https://link.springer.com/article/10.1186/s12864-015-1984-4,https://link.springer.com/content/pdf/10.1186%2Fs12864-015-1984-4.pdf,,,1,8,https://doi.org/10.1186/s12864-015-1984-4
An approach towards adaptive service composition in markets of composed services,"Alexander Jungmann,    Felix Mohr",2015,https://link.springer.com/article/10.1186/s13174-015-0022-8,https://link.springer.com/content/pdf/10.1186%2Fs13174-015-0022-8.pdf,,,1,5,https://doi.org/10.1186/s13174-015-0022-8
Construction and Execution of Adaptable Applications Using an Aspect-Oriented and Model Driven Approach,"Sten A. Lundesgaard,    Arnor Solberg…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_6,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-540-72883-2_6
