title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Analogical Trust Reasoning,"Mozhgan Tavakolifard,    Peter Herrmann,    Pinar Öztürk",2009,https://link.springer.com/chapter/10.1007/978-3-642-02056-8_10,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02056-8_10.pdf,,,1,6,https://doi.org/10.1007/978-3-642-02056-8_10
Current challenges and visions in music recommender systems research,"Markus Schedl,    Hamed Zamani,    Ching-Wei Chen…",2018,https://link.springer.com/article/10.1007/s13735-018-0154-2,https://link.springer.com/content/pdf/10.1007%2Fs13735-018-0154-2.pdf,,,1,12,https://doi.org/10.1007/s13735-018-0154-2
A survey of autonomic computing methods in digital service ecosystems,"Dhaminda B. Abeywickrama,    Eila Ovaska",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/content/pdf/10.1007%2Fs11761-016-0203-8.pdf,,,1,1,https://doi.org/10.1007/s11761-016-0203-8
Towards Self-optimizing Protocol Stack for Autonomic Communication: Initial Experience,"Xiaoyuan Gu,    Xiaoming Fu,    Hannes Tschofenig,    Lars Wolf",2006,https://link.springer.com/chapter/10.1007/11687818_15,https://link.springer.com/content/pdf/10.1007%2F11687818_15.pdf,,,1,8,https://doi.org/10.1007/11687818_15
Challenges for Enhanced Network Self-Manageability in the Scope of Future Internet Development,"Ioannis P. Chochliouros,    Anastasia S. Spiliopoulou…",2011,https://link.springer.com/chapter/10.1007/978-3-642-20898-0_20,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20898-0_20.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-20898-0_20
Service Adaptation Recommender in the Event Marketplace: Conceptual View,"Yiannis Verginadis,    Ioannis Patiniotakis…",2012,https://link.springer.com/chapter/10.1007/978-3-642-25953-1_16,https://link.springer.com/content/pdf/10.1007%2F978-3-642-25953-1_16.pdf,,,1,1,https://doi.org/10.1007/978-3-642-25953-1_16
Special issue on “Personalization and situation awareness in smart environments”,"Ana M. Bernardos,    Boon-Chong Seet…",2015,https://link.springer.com/article/10.1007/s12652-015-0256-0,https://link.springer.com/content/pdf/10.1007%2Fs12652-015-0256-0.pdf,,,1,1,https://doi.org/10.1007/s12652-015-0256-0
"
         Network attack detection and defense – Manifesto of the Dagstuhl Perspective Workshop, March 2nd–6th,
         2008
        ","Georg Carle,    Falko Dressler…",2009,https://link.springer.com/article/10.1007/s00450-009-0055-y,https://link.springer.com/content/pdf/10.1007%2Fs00450-009-0055-y.pdf,,,1,2,https://doi.org/10.1007/s00450-009-0055-y
"A Scheme for the Introduction of 3rd Party, Application-Specific Adaptation Features in Mobile Service Provision","Nikos Houssos,    Nancy Alonistioti…",2003,https://link.springer.com/chapter/10.1007/978-3-540-40010-3_2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-40010-3_2.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-540-40010-3_2
Conceptual Situation Spaces for Semantic Situation-Driven Processes,"Stefan Dietze,    Alessio Gugliotta…",2008,https://link.springer.com/chapter/10.1007/978-3-540-68234-9_44,https://link.springer.com/content/pdf/10.1007%2F978-3-540-68234-9_44.pdf,,,1,8,https://doi.org/10.1007/978-3-540-68234-9_44
"A conceptual-driven survey on future internet requirements, technologies, and challenges",Antonio Marcos Alberti,2013,https://link.springer.com/article/10.1007/s13173-013-0101-2,https://link.springer.com/content/pdf/10.1007%2Fs13173-013-0101-2.pdf,,,1,9,https://doi.org/10.1007/s13173-013-0101-2
Panel 2 Report: Autonomic Communication Roadmap,Mikhail I. Smirnov,2006,https://link.springer.com/chapter/10.1007/11687818_28,https://link.springer.com/content/pdf/10.1007%2F11687818_28.pdf,,,1,1,https://doi.org/10.1007/11687818_28
Towards Flexible Process Support on Mobile Devices,"Rüdiger Pryss,    Julian Tiedeken,    Ulrich Kreher…",2011,https://link.springer.com/chapter/10.1007/978-3-642-17722-4_11,https://link.springer.com/content/pdf/10.1007%2F978-3-642-17722-4_11.pdf,,,1,9,https://doi.org/10.1007/978-3-642-17722-4_11
A Collaborative Decision Support Model for Marine Safety and Security Operations,"Uwe Glässer,    Piper Jackson…",2010,https://link.springer.com/chapter/10.1007/978-3-642-15234-4_26,https://link.springer.com/content/pdf/10.1007%2F978-3-642-15234-4_26.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-15234-4_26
Resilient dependable cyber-physical systems: a middleware perspective,"Grit Denker,    Nikil Dutt,    Sharad Mehrotra…",2012,https://link.springer.com/article/10.1007/s13174-011-0057-4,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0057-4.pdf,,,1,14,https://doi.org/10.1007/s13174-011-0057-4
Federating Personal Networks over Heterogeneous Ad-hoc Scenarios,"Luis Sánchez,    Jorge Lanza,    Luis Muñoz",2007,https://link.springer.com/chapter/10.1007/978-0-387-74159-8_4,https://link.springer.com/content/pdf/10.1007%2F978-0-387-74159-8_4.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-74159-8_4
Towards a Reconfigurable Middleware Architecture for Pervasive Computing Systems,"Gustavo G. Pascual,    Lidia Fuentes…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_35,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_35.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-22056-2_35
Personalized e-Learning Environments: Considering Students’ Contexts,"Victoria Eyharabide,    Isabela Gasparini…",2009,https://link.springer.com/chapter/10.1007/978-3-642-03115-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-03115-1_5.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-03115-1_5
"
Staying Focused: Highlighting-on-Demand as Situational Awareness Support for Groups in Multidisplay Environments","Olga Kulyk,    Tijs de Kler,    Wim de Leeuw…",2011,https://link.springer.com/chapter/10.1007/978-3-642-19641-6_8,https://link.springer.com/content/pdf/10.1007%2F978-3-642-19641-6_8.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-19641-6_8
Interplay of Content and Context,"Rudi Belotti,    Corsin Decurtins,    Michael Grossniklaus,    Moira C. Norrie…",2004,https://link.springer.com/chapter/10.1007/978-3-540-27834-4_25,https://link.springer.com/content/pdf/10.1007%2F978-3-540-27834-4_25.pdf,,,1,1,https://doi.org/10.1007/978-3-540-27834-4_25
