title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic Service Choreography using Context Aware Enterprise Service Bus.,"S Bhattacharya, J Chanda, S Sengupta, A Kanjilal - SEKE, 2011 - pdfs.semanticscholar.org",2011,https://pdfs.semanticscholar.org/d178/36e780b6054c867be780679a77da5d0cbe2a.pdf,https://pdfs.semanticscholar.org/d178/36e780b6054c867be780679a77da5d0cbe2a.pdf,,,1,8,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Towards modeling real-world aware business processes,"S Meyer, K Sperner, C Magerkurth… - Proceedings of the …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1993978,https://www.researchgate.net/profile/Carsten_Magerkurth/publication/221562925_Towards_modeling_real-world_aware_business_processes/links/0046352e230332ad59000000.pdf,,,1,62,No DOI available
A development process for requirements based service choreography,"M Autili, D Di Ruscio, P Inverardi… - 2011 Workshop on …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6043925/,https://ieeexplore.ieee.org/iel5/6035843/6043921/06043925.pdf,,,1,8,No DOI available
Context-aware service composition: a methodology and a case study,"L Bastida, FJ Nieto, R Tola - … of the 2nd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1370921,https://www.researchgate.net/profile/Roberto_Tola/publication/228345031_Context-aware_service_composition_a_methodology_and_a_case_study/links/00b7d519e01a4e35f9000000/Context-aware-service-composition-a-methodology-and-a-case-study.pdf,,,1,25,No DOI available
Precise steps for choreography modeling for SOA validation and verification,"S Wieczorek, A Roth, A Stefanescu… - 2008 IEEE International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4730478/,https://ieeexplore.ieee.org/iel5/4730444/4730445/04730478.pdf,,,1,23,No DOI available
A context-aware orchestrating and choreographic test framework for service-oriented applications,"L Mei - 2009 31st International Conference on Software …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5071024/,No PDF available,,,1,8,No DOI available
Approach and refinement strategies for flexible choreography enactment,"A Weiß, SG Sáez, M Hahn, D Karastoyanova - … Conferences"" On the Move …, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-3-662-45563-0_6,http://129.69.211.79/RUS-data/INPROC-2014-60%20-%20Approach%20and%20Refinement%20Strategies%20for%20Flexible%20Choreography%20Enactment.pdf,,,1,5,No DOI available
Manners externalize semantics for on-demand composition of context-aware services,"A Arsanjani, F Curbera, N Mukhi - … International Conference on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1314785/,https://ieeexplore.ieee.org/iel5/9185/29136/01314785.pdf,,,1,14,No DOI available
Run-time verification of behaviour-aware mashups in the internet of things,"L González, J Cubo, A Brogi, E Pimentel… - European Conference on …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-45364-9_26,No PDF available,,,1,12,No DOI available
Behaviour-aware compositions of things,"J Cubo, A Brogi, E Pimentel - 2012 IEEE International …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6468288/,No PDF available,,,1,11,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
CA-ESB: Context aware enterprise service bus,"J Chanda, S Sengupta, A Kanjilal, K India - International Journal of …, 2011 - Citeseer",2011,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf,,,1,6,No DOI available
Component-oriented approaches to context-aware computing,"S Dobson - European Conference on Object-Oriented …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30554-5_9,http://www.academia.edu/download/30801113/COACAC-04.pdf,,,1,2,No DOI available
A conceptual model for adaptable context-aware services,"M Autili, V Cortellessa, A Di Marco… - … Workshop on Web …, 2006 - neptuno.uca.es",2006,https://neptuno.uca.es/redmine/projects/sources-fm/repository/revisions/1951/raw/trunk/docs/papers/WS-MaTe_Proceedings.pdf#page=21,https://neptuno.uca.es/redmine/projects/sources-fm/repository/revisions/1951/raw/trunk/docs/papers/WS-MaTe_Proceedings.pdf#page=21,,,1,36,No DOI available
Service-oriented computing: State of the art and research challenges,"MP Papazoglou, P Traverso, S Dustdar… - Computer, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4385255/,https://ieeexplore.ieee.org/iel5/2/4385238/04385255.pdf,,,1,1594,No DOI available
