title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Context-aware application mobility support in pervasive computing environments,"A Åhlund, K Mitra, D Johansson, C Åhlund… - Proceedings of the 6th …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1710056,https://www.researchgate.net/profile/Christer_Ahlund/publication/220983127_Context-aware_application_mobility_support_in_pervasive_computing_environments/links/0deec52573e0ce47be000000/Context-aware-application-mobility-support-in-pervasive-computing-environments.pdf,,,1,16,No DOI available
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
An adaptive agent coordination framework for Web services composition,"ZZ Sun, B Li, L Li - 2007 International Conference on Machine …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4370821/,https://ieeexplore.ieee.org/iel5/4370103/4370780/04370821.pdf,,,1,6,No DOI available
A roadmap towards sustainable self-aware service systems,"S Dustdar, C Dorn, F Li, L Baresi, G Cabri… - Proceedings of the …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808986,https://dsg.tuwien.ac.at/staff/fei/papers/SEAMS-Chiristoph.pdf,,,1,31,No DOI available
Solar: A pervasive-computing infrastructure for context-aware mobile applications,"G Chen, D Kotz - 2002 - apps.dtic.mil",2002,https://apps.dtic.mil/docs/citations/ADA440303,https://apps.dtic.mil/dtic/tr/fulltext/u2/a440303.pdf,,,1,76,No DOI available
Semantic context-aware adaptation platform architecture,"A Adel, S Laborie, P Roose - Procedia Computer Science, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S1877050914007182,https://www.sciencedirect.com/science/article/pii/S1877050914007182/pdf?md5=8b3a8989c666500489b68661178d0030&pid=1-s2.0-S1877050914007182-main.pdf&_valck=1,,,1,6,No DOI available
Efficient execution of service composition for content adaptation in pervasive computing,"Y Fawaz, G Berhe, L Brunie, VM Scuturici… - International Journal of …, 2008 - hindawi.com",2008,https://www.hindawi.com/journals/ijdmb/2008/851628/abs/,http://downloads.hindawi.com/journals/ijdmb/2008/851628.pdf,,,1,20,No DOI available
DYNAMICO: A reference model for governing control objectives and context relevance in self-adaptive software systems,"NM Villegas, G Tamura, HA Müller, L Duchien… - Software Engineering for …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_11,https://hal.inria.fr/docs/00/71/33/15/PDF/control-based-reference-model-for-self-adapt.pdf,,,1,86,No DOI available
