title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Context-sensitive middleware for real-time software in ubiquitous computing environments,"SS Yau, F Karim - … Symposium on Object-Oriented Real-Time …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/922833/,https://ieeexplore.ieee.org/iel5/7351/19938/00922833.pdf,,,1,89,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401078.pdf,,,1,160,No DOI available
Business context sensitive business documents: Business context aware Core Components modeling using the E-UCM model,"D Novakovic, C Huemer - 2013 11th IEEE International …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6622939/,https://ieeexplore.ieee.org/iel7/6599026/6622844/06622939.pdf,,,1,6,No DOI available
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
Modeling privacy control in context-aware systems,"X Jiang, JA Landay - IEEE Pervasive computing, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1037723/,https://ieeexplore.ieee.org/iel5/7756/22254/01037723.pdf,,,1,210,No DOI available
Reconfigurable context-sensitive middleware for ADS applications in mobile ad hoc network environments,"SS Yau, F Karim - … Symposium on Autonomous Decentralized …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/917435/,https://ieeexplore.ieee.org/iel5/7329/19807/00917435.pdf,,,1,33,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Data-centric middleware for context-aware pervasive computing,"G Chen, M Li, D Kotz - Pervasive and mobile computing, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S1574119207000636,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.367.6194&rep=rep1&type=pdf,,,1,132,No DOI available
Context-sensitive resource discovery,"G Chen, D Kotz - 2003 - apps.dtic.mil",2003,https://apps.dtic.mil/docs/citations/ADA445477,https://apps.dtic.mil/dtic/tr/fulltext/u2/a445477.pdf,,,1,87,No DOI available
Context-aware systems: A literature review and classification,"J Hong, E Suh, SJ Kim - Expert Systems with applications, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0957417408007574,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.3897&rep=rep1&type=pdf,,,1,633,No DOI available
