title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Self-configuring agents for ambient assisted living applications,"I Ayala, M Amor, L Fuentes - Personal and ubiquitous computing, 2013 - dl.acm.org",2013,https://dl.acm.org/citation.cfm?id=2559088,https://link.springer.com/content/pdf/10.1007/s00779-012-0555-9.pdf,,,1,35,No DOI available
The contextor infrastructure for context-aware computing,"G Rey, J Coutaz - … on Component-Oriented Approach to Context-Aware …, 2004 - Citeseer",2004,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.508.2115&rep=rep1&type=pdf,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.508.2115&rep=rep1&type=pdf,,,1,25,No DOI available
Connecting the physical world with pervasive networks,"D Estrin, D Culler, K Pister… - IEEE pervasive computing, 2002 - cs.colorado.edu",2002,https://www.cs.colorado.edu/~rhan/CSCI_7143_001_Fall_2002/Papers/sensornet_intro.pdf,https://www.cs.colorado.edu/~rhan/CSCI_7143_001_Fall_2002/Papers/sensornet_intro.pdf,,,1,1149,No DOI available
Semantic space: An infrastructure for smart spaces,"X Wang, JS Dong, CY Chin… - IEEE Pervasive …, 2004 - comp.nus.edu.sg",2004,https://www.comp.nus.edu.sg/~dongjs/papers/pervasive04.pdf,https://www.comp.nus.edu.sg/~dongjs/papers/pervasive04.pdf,,,1,409,No DOI available
A resource and context model for mobile middleware,"SL Amundsen, F Eliassen - Personal and Ubiquitous Computing, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1348804,https://link.springer.com/content/pdf/10.1007/s00779-006-0105-4.pdf,,,1,22,No DOI available
Distributed control applications within sensor networks,"B Sinopoli, C Sharp, L Schenato… - Proceedings of the …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1219474/,https://ieeexplore.ieee.org/iel5/5/27402/01219474.pdf,,,1,436,No DOI available
Standardizing a reference model and autonomic network architectures for the self-managing future internet,"M Wodczak, TB Meriem, B Radier… - IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6085642/,https://ieeexplore.ieee.org/iel5/65/6085632/06085642.pdf,,,1,38,No DOI available
A design approach for application specific processing in wireless sensor networks,A Holstvoogd - 2009 - pdfs.semanticscholar.org,2009,https://pdfs.semanticscholar.org/3fb3/bdcf1998a7e5a7563975f5018733ef6cc3e9.pdf,https://pdfs.semanticscholar.org/3fb3/bdcf1998a7e5a7563975f5018733ef6cc3e9.pdf,,,1,No cite count available,No DOI available
Services and service composition–an introduction (services und service komposition–eine einführung),"S Dustdar, MP Papazoglou - IT-Information Technology, 2008 - degruyter.com",2008,https://www.degruyter.com/view/j/itit.2008.50.issue-2/itit.2008.0468/itit.2008.0468.xml,http://www.infosys.tuwien.ac.at/staff/sd/papers/itti0802_086a-1.pdf,,,1,41,No DOI available
AMBIENT INTELLIGENCE FOR ELDER PEOPLE APPLICATIONS: STATE OF THE ART,"R Marín, JV Martí, J Sales, J Pérez… - … y acceso a la red: la …, 2012 - books.google.com",2012,https://books.google.de/books?hl=de&lr=&id=AgvGCgAAQBAJ&oi=fnd&pg=PA285&dq=context-aware+AND+distributed+composition+AND+self-config*&ots=T9eTc7_rOm&sig=B8EsQuvjBr_UuGfFTazSTJ7u7n4,No PDF available,,,1,No cite count available,No DOI available
