title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Multimodal learning hub: A tool for capturing customizable multimodal learning experiences,"J Schneider, D Di Mitri, B Limbu… - European Conference on …, 2018 - Springer",2018,https://link.springer.com/chapter/10.1007/978-3-319-98572-5_4,No PDF available,,,1,5,No DOI available
Composing trustworthy context-dependent services,"N Ibrahim - 2012 Fifth IEEE International Conference on …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6449454/,https://ieeexplore.ieee.org/iel5/6422836/6449417/06449454.pdf,,,1,No cite count available,No DOI available
Post-democratic cities for whom and for what,"E Swyngedouw - Regional Studies Association Annual Conference, 2010 - Citeseer",2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.169.7831&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.169.7831&rep=rep1&type=pdf,,,1,49,No DOI available
The zero-ground of politics: Musings on the post-political city,"E Swyngedouw - New Geographies, 2009 - researchgate.net",2009,https://www.researchgate.net/profile/Erik_Swyngedouw/publication/285800353_The_zero-ground_of_politics_Musings_on_the_post-political_city/links/5a0968470f7e9b68229cf97c/The-zero-ground-of-politics-Musings-on-the-post-political-city,https://www.researchgate.net/profile/Erik_Swyngedouw/publication/285800353_The_zero-ground_of_politics_Musings_on_the_post-political_city/links/5a0968470f7e9b68229cf97c/The-zero-ground-of-politics-Musings-on-the-post-political-city,,,1,48,No DOI available
6th European PhD School in Robotic Systems,H Bruyninckx - phdschoolinrobotics.eu,No year available,http://www.phdschoolinrobotics.eu/SystemSoftwareDesign-20140129-nup.pdf,http://www.phdschoolinrobotics.eu/SystemSoftwareDesign-20140129-nup.pdf,,,1,No cite count available,No DOI available
Teleo-Reactive workflows for pervasive healthcare,"S Marinovic, K Twidle, N Dulay - 2010 8th IEEE International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5470648/,https://ieeexplore.ieee.org/iel5/5462925/5470493/05470648.pdf,,,1,7,No DOI available
Model driven security in a multi-cloud context,"WF Ouedraogo, F Biennier… - International Journal of …, 2013 - search.proquest.com",2013,http://search.proquest.com/openview/ae6c8962999984bf47a95b0404bffe9d/1?pq-origsite=gscholar&cbl=237699,No PDF available,,,1,10,No DOI available
The INmobility Project: Modes of Textualities and Unpredictable Visualities of Everyday Life,"L Paraguai - International Conference of Design, User Experience …, 2018 - Springer",2018,https://link.springer.com/chapter/10.1007/978-3-319-91803-7_48,No PDF available,,,1,No cite count available,No DOI available
"Specification, composition and provision of trustworthy context-dependent services",NI Ibrahim - 2012 - spectrum.library.concordia.ca,2012,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,,,1,12,No DOI available
Business collaboration models and their business context-dependent web choreography in BPSS,"B Hofreiter, C Huemer… - International Journal of …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080580000081,https://pdfs.semanticscholar.org/0055/890dbae698416e291e32ff793ef852a2aa19.pdf,,,1,11,No DOI available
Brahms: Simulating practice for work systems design,"WJ Clancey, P Sachs, M Sierhuis… - International Journal of …, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S1071581998902294,https://pdfs.semanticscholar.org/e897/d7a46db69c0eca14d7c1ab32dc299044fef0.pdf,,,1,265,No DOI available
China's impacts on Africa's development,"B Lampert, YJ Park, W Robertson - African Review of …, 2016 - ingentaconnect.com",2016,https://www.ingentaconnect.com/content/sabinet/aref/2016/00000008/00000001/art00001,http://oro.open.ac.uk/46502/1/__userdata_documents3_bl2443_Desktop_Editorial_Park%20et%20al.pdf,,,1,4,No DOI available
A Hybrid Architecture for Highly Adaptive and Automated e-Business Platforms,"B Schmid, C Schroth, T Janner - IEEE International Conference …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4278692/,https://ieeexplore.ieee.org/iel5/4278609/4278610/04278692.pdf,,,1,4,No DOI available
SECTET: an extensible framework for the realization of secure inter-organizational workflows,"M Hafner, R Breu, B Agreiter, A Nowak - Internet Research, 2006 - emeraldinsight.com",2006,https://www.emeraldinsight.com/doi/abs/10.1108/10662240610710978,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:Pbw5175zWQkJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=13249792629412204934&oi=lle",,,1,64,No DOI available
Efficient Security Policy Reconciliation in Tactical Service Oriented Architectures,"V Gkioulos, SD Wolthusen - … Conference on Future Network Systems and …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-48021-3_4,No PDF available,,,1,1,No DOI available
After the cosmopolitan?: Multicultural cities and the future of racism,M Keith - 2005 - taylorfrancis.com,2005,https://www.taylorfrancis.com/books/9781134294534,https://www.researchgate.net/profile/Ivo_De_Sousa/post/Research_demonstrating_the_role_of_self-deception_in_racism_and_the_prevalence_of_racism/attachment/59d61f7379197b807797de47/AS%3A284757997965312%401444903005293/download/RACISM.+After_the_Cosmopolitan.pdf,,,1,496,No DOI available
Open Environment for Collaborative Cloud Ecosystems,"O Khriyenko, M Cochez - Proceedings of the Second International …, 2011 - researchgate.net",2011,https://www.researchgate.net/profile/Oleksiy_Khriyenko/publication/267917438_Open_Environment_for_Collaborative_Cloud_Ecosystems/links/55d2ea0508aec1b0429f00b2.pdf,https://www.researchgate.net/profile/Oleksiy_Khriyenko/publication/267917438_Open_Environment_for_Collaborative_Cloud_Ecosystems/links/55d2ea0508aec1b0429f00b2.pdf,,,1,No cite count available,No DOI available
"A journey to highly dynamic, self-adaptive service-based applications","E Di Nitto, C Ghezzi, A Metzger, M Papazoglou… - Automated Software …, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,https://link.springer.com/content/pdf/10.1007/s10515-008-0032-x.pdf,,,1,305,No DOI available
Replication timing and epigenetic reprogramming of gene expression: a two-way relationship?,"A Göndör, R Ohlsson - Nature Reviews Genetics, 2009 - nature.com",2009,https://www.nature.com/articles/nrg2555,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:EVoXncWFH1YJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=6549710089703028722&oi=lle",,,1,73,No DOI available
Device services as reusable units of modelling in a service-oriented environment-An analysis case study,"M Zinn, A Bepperling, R Schoop… - 2010 IEEE …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5636313/,https://ieeexplore.ieee.org/iel5/5609073/5635477/05636313.pdf,,,1,6,No DOI available
Defining the Digital Mediated Collaborative Environment,"M Jemtrud, K Muramoto - arch.mcgill.ca",No year available,http://www.arch.mcgill.ca/theory/conference/papers/Jemtrud_Muramoto_Wiley.doc,http://www.arch.mcgill.ca/theory/conference/papers/Jemtrud_Muramoto_Wiley.doc,,,1,No cite count available,No DOI available
Understanding the glossary,"AD Layer - Service Engineering: European Research Results, 2010 - Springer",2010,https://link.springer.com/content/pdf/10.1007/978-3-7091-0415-6.pdf#page=332,No PDF available,,,1,No cite count available,No DOI available
Applying the Theory of Flexible Execution to Intelligence Remote Sensing: Goal Pursuit and Goal Exploration,"JH Ganter - Journal of Intelligence Community Research & …, 2014 - academia.edu",2014,http://www.academia.edu/download/41124080/Ganter_2014_SensingFlexecution_V23_JICRD.pdf,http://www.academia.edu/download/41124080/Ganter_2014_SensingFlexecution_V23_JICRD.pdf,,,1,No cite count available,No DOI available
