title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Validation of context-dependent aspect-oriented adaptations to components,"T Cottenier, T Elrad - WCOP, Oslo, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,,,1,7,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
"Outlining nine major design challenges of open, decentralized, adaptive cyber-physical systems","I Horváth, BHM Gerritsen - ASME 2013 …, 2013 - … .asmedigitalcollection.asme.org",2013,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1830246,http://www.koti.szie.hu/KEMT/munkatarsak_files/CV_Publ/WEB_Horvath_Mark_Publications_2014Oct_HU.pdf,,,1,18,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
RoleDiSCo: A middleware architecture and implementation for coordinated on-demand composition of smart service systems in decentralized environments,"M Wutzler, T Springer, A Schill - 2017 IEEE 2nd International …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/8064094/,https://ieeexplore.ieee.org/iel7/8063634/8064070/08064094.pdf,,,1,2,No DOI available
Software engineering for self-adaptive systems: A second research roadmap,"R De Lemos, H Giese, HA Müller, M Shaw… - Software Engineering for …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,http://drops.dagstuhl.de/opus/volltexte/2011/3156/pdf/report10431_3156.pdf,,,1,1568,No DOI available
On the challenges of self-adaptation in systems of systems,"D Weyns, J Andersson - Proceedings of the First International Workshop …, 2013 - dl.acm.org",2013,https://dl.acm.org/citation.cfm?id=2489860,https://www.researchgate.net/profile/Danny_Weyns/publication/262331526_On_the_challenges_of_self-Adaptation_in_systems_of_systems/links/5451fbd30cf285a067c6aff2/On-the-challenges-of-self-Adaptation-in-systems-of-systems.pdf,,,1,16,No DOI available
Programming language support to context-aware adaptation: a case-study with Erlang,"C Ghezzi, M Pradella, G Salvaneschi - … of the 2010 ICSE Workshop on …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808991,http://home.deib.polimi.it/pradella/papers/context-erlang.pdf,,,1,31,No DOI available
Decentralized coordination of dynamic software updates in the Internet of Things,"M Weißbach, N Taing, M Wutzler… - 2016 IEEE 3rd World …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7845450/,https://ieeexplore.ieee.org/iel7/7831562/7845389/07845450.pdf,,,1,5,No DOI available
Context-aware middleware for resource management in the wireless internet,"P Bellavista, A Corradi, R Montanari… - IEEE Transactions on …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1265523/,https://ieeexplore.ieee.org/iel5/32/28302/01265523.pdf,,,1,225,No DOI available
Toward a contingency model of how to choose the right type of learning organization,"A Örtenblad - Human Resource Development Quarterly, 2004 - Wiley Online Library",2004,https://onlinelibrary.wiley.com/doi/abs/10.1002/hrdq.1108,https://onlinelibrary.wiley.com/doi/pdf/10.1002/hrdq.1108,,,1,30,No DOI available
The design of naming-based service composition system for ubiquitous computing applications,"M Minami, H Morikawa… - … on Applications and the …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1268652/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.134.4529&rep=rep1&type=pdf,,,1,49,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
"Distributed Applications and Interoperable Systems: 7th IFIP WG 6.1 International Conference, DAIS 2007, Paphos, Cyprus, June 6-8, 2007, Proccedings","J Indulska, K Raymond - 2007 - books.google.com",2007,https://books.google.de/books?hl=de&lr=&id=CAg0vDWS1PcC&oi=fnd&pg=PP2&dq=context-dependent+AND+decentralized+composition+AND+adapt*&ots=A1f37dqm4b&sig=tcITvs8p-1BN-VRb1MlC41tXmX8,No PDF available,,,1,48,No DOI available
