title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Context-dependent associations in linear distributed memories,"E Mizraji - Bulletin of mathematical biology, 1989 - Elsevier",1989,https://www.sciencedirect.com/science/article/pii/S0092824089800679,https://link.springer.com/content/pdf/10.1007/BF02458441.pdf,,,1,41,No DOI available
The context-dependent role model,"J Vallejos, P Ebraert, B Desmet, T Van Cutsem… - … on Distributed …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007/978-3-540-72883-2_1.pdf,,,1,19,No DOI available
Automata for context-dependent connectors,"M Bonsangue, D Clarke, A Silva - International Conference on …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02053-7_10,https://repositorium.sdum.uminho.pt/bitstream/1822/37969/1/1738.pdf,,,1,47,No DOI available
"Distributed Applications and Interoperable Systems: 7th IFIP WG 6.1 International Conference, DAIS 2007, Paphos, Cyprus, June 6-8, 2007, Proccedings","J Indulska, K Raymond - 2007 - books.google.com",2007,https://books.google.de/books?hl=de&lr=&id=CAg0vDWS1PcC&oi=fnd&pg=PP2&dq=context-dependent+AND+distributed+composition+AND+behaviour&ots=A1f37dro2d&sig=PQLAn6Oe9GgISiqgBqxU27Q85RU,No PDF available,,,1,48,No DOI available
"The influence of social behaviour, dispersal and landscape fragmentation on population structure in a sedentary bird","PG Cale - Biological Conservation, 2003 - Elsevier",2003,https://www.sciencedirect.com/science/article/pii/S0006320702001520,No PDF available,,,1,80,No DOI available
Scale‐dependent effects of landscape context on three pollinator guilds,"I Steffan-Dewenter, U Münzenberg, C Bürger… - Ecology, 2002 - Wiley Online Library",2002,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/0012-9658(2002)083%5B1421:SDEOLC%5D2.0.CO%3B2,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/0012-9658(2002)083%5B1421:SDEOLC%5D2.0.CO2,,,1,1049,No DOI available
Towards aspect-oriented programming for context-aware systems: A comparative study,"F Dantas, T Batista, N Cacho - … of the 1st International Workshop on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1270345,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273315.pdf,,,1,19,No DOI available
Context-oriented programming,"R Hirschfeld, P Costanza… - Journal of Object …, 2008 - boris.unibe.ch",2008,https://boris.unibe.ch/id/eprint/37163,https://boris.unibe.ch/37163/1/article4.pdf,,,1,564,No DOI available
"Distributed representations, simple recurrent networks, and grammatical structure","JL Elman - Machine learning, 1991 - Springer",1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007/BF00114844.pdf,,,1,1470,No DOI available
Context‐dependent variability in the components of fish escape response: integrating locomotor performance and behavior,"P Domenici - Journal of Experimental Zoology Part A …, 2010 - Wiley Online Library",2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.580,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jez.580,,,1,91,No DOI available
Finding structure in time,"JL Elman - Cognitive science, 1990 - Wiley Online Library",1990,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,,,1,10060,No DOI available
Context-dependent group size choice in fish,"DJ Hoare, ID Couzin, JGJ Godin, J Krause - Animal Behaviour, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S0003347203003580,http://www.princeton.edu/~icouzin/Animal%20behaviour.pdf,,,1,320,No DOI available
