title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Towards aspect-oriented programming for context-aware systems: A comparative study,"F Dantas, T Batista, N Cacho - … of the 1st International Workshop on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1270345,https://ieeexplore.ieee.org/iel5/4273309/4273310/04273315.pdf,,,1,19,No DOI available
Is distributed connectionism compatible with the physical symbol system hypothesis,"M Derthick, DC Plaut - … of the Eighth Annual Conference of the …, 1986 - www-cgi.cs.cmu.edu",1986,http://www-cgi.cs.cmu.edu/afs/cs.cmu.edu/Web/People/mad/Papers/DerthickPlaut86CogSci.symbols.pdf,http://www-cgi.cs.cmu.edu/afs/cs.cmu.edu/Web/People/mad/Papers/DerthickPlaut86CogSci.symbols.pdf,,,1,54,No DOI available
An infrastructure for context-awareness based on first order logic,"A Ranganathan, RH Campbell - Personal and Ubiquitous Computing, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=958284,https://link.springer.com/content/pdf/10.1007/s00779-003-0251-x.pdf,,,1,423,No DOI available
"Distributed representations, simple recurrent networks, and grammatical structure","JL Elman - Machine learning, 1991 - Springer",1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007/BF00114844.pdf,,,1,1470,No DOI available
Context-sensitive synthesis of executable functional models of cyber-physical systems,"A Canedo, E Schwarzenbach… - 2013 ACM/IEEE …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6604004/,https://ieeexplore.ieee.org/iel7/6588636/6603992/06604004.pdf,,,1,53,No DOI available
A survey on context-aware systems,"M Baldauf, S Dustdar, F Rosenberg - … Journal of Ad Hoc and Ubiquitous …, 2007 - cs.umd.edu",2007,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,,,1,2358,No DOI available
Finding structure in time,"JL Elman - Cognitive science, 1990 - Wiley Online Library",1990,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,,,1,10060,No DOI available
