title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Context sensitive storage management,"DC Fisk - US Patent 7,020,758, 2006 - Google Patents",2006,https://patents.google.com/patent/US7020758B2/en,https://patentimages.storage.googleapis.com/68/ed/58/71bf012f064f4d/US10247261.pdf,,,1,165,No DOI available
Context-aware multimedia computing in the intelligent hospital,"S Mitchell, MD Spiteri, J Bates… - Proceedings of the 9th …, 2000 - dl.acm.org",2000,https://dl.acm.org/citation.cfm?id=566730,http://www.cl.cam.ac.uk/research/dtg/lce-pub/public/files/SIGOPS-EW2000.pdf,,,1,91,No DOI available
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
WebMake: Integrating distributed software development in a structure-enhanced Web,"M Baentsch, G Molter, P Sturm - Computer Networks and ISDN Systems, 1995 - Elsevier",1995,https://www.sciencedirect.com/science/article/pii/0169755295000194,No PDF available,,,1,38,No DOI available
Gaia: a middleware platform for active spaces,"M Román, C Hess, R Cerqueira… - … Mobile Computing and …, 2002 - dl.acm.org",2002,https://dl.acm.org/citation.cfm?id=643558,https://www.researchgate.net/profile/Renato_Cerqueira/publication/220411303_Gaia_A_middleware_platform_for_active_spaces/links/0fcfd505b38889bbd6000000/Gaia-A-middleware-platform-for-active-spaces.pdf,,,1,210,No DOI available
Scouting context-sensitive components,"JO Pfaffmann, KP Zauner - Proceedings Third NASA/DoD …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/937942/,https://ieeexplore.ieee.org/iel5/7467/20301/00937942.pdf,,,1,24,No DOI available
Towards a context management framework for MobiLife,"P Floréen, M Przybilski, P Nurmi, J Koolwaaij… - Proc. 14th IST Mobile & …, 2005 - koolwaaij.nl",2005,http://www.koolwaaij.nl/research/Pub/koolwaaij.2005.2.pdf,http://www.koolwaaij.nl/research/Pub/koolwaaij.2005.2.pdf,,,1,76,No DOI available
"Middleware: Context management in heterogeneous, evolving ubiquitous environments","RCA da Rocha, M Endler - IEEE Distributed Systems Online, 2006 - computer.org",2006,https://www.computer.org/csdl/mags/ds/2006/04/o4001-abs.html,https://www.computer.org/csdl/mags/ds/2006/04/o4001.pdf,,,1,64,No DOI available
A middleware infrastructure for active spaces,"M Román, C Hess, R Cerqueira… - IEEE pervasive …, 2002 - academia.edu",2002,http://www.academia.edu/download/30659833/IEEE.PvC.Gaia.pdf,http://www.academia.edu/download/30659833/IEEE.PvC.Gaia.pdf,,,1,1668,No DOI available
Pervasive computing: a paradigm for the 21st century,"D Saha, A Mukherjee - Computer, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1185214/,https://ieeexplore.ieee.org/iel5/2/26595/01185214.pdf,,,1,913,No DOI available
Mode 2 society and the emergence of context-sensitive science,"M Gibbons - Science and public policy, 2000 - academic.oup.com",2000,https://academic.oup.com/spp/article-abstract/27/3/159/1650494,https://academic.oup.com/spp/article-pdf/27/3/159/4648934/27-3-159.pdf,,,1,338,No DOI available
Solar: An open platform for context-aware mobile applications,"G Chen, D Kotz - 2005 - apps.dtic.mil",2005,https://apps.dtic.mil/docs/citations/ADA440088,https://apps.dtic.mil/dtic/tr/fulltext/u2/a440088.pdf,,,1,122,No DOI available
User interface framework for integrating user interface elements of independent software components,"T Vachuska, R Hagarty, J Hummer - US Patent App. 10/113,431, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030184584A1/en,https://patentimages.storage.googleapis.com/9c/0c/00/c3b725c30e5074/US10113431.pdf,,,1,76,No DOI available
Software reuse research: Status and future,"WB Frakes, K Kang - IEEE transactions on Software …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1492369/,https://ieeexplore.ieee.org/iel5/32/32074/01492369.pdf,,,1,805,No DOI available
Universal dock for context sensitive computing device,"AA Hassan, Y Gupta, R Rao, BR Anders - US Patent 9,542,203, 2017 - Google Patents",2017,https://patents.google.com/patent/US9542203B2/en,No PDF available,,,1,24,No DOI available
Dynamic configuration of context-sensitive personal sites and membership channels,"J Ramer, C Lacson, T Corddry - US Patent App. 10/086,592, 2002 - Google Patents",2002,https://patents.google.com/patent/US20020174201A1/en,https://patentimages.storage.googleapis.com/41/65/63/f9a96c639adbb9/US10086592.pdf,,,1,167,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401078.pdf,,,1,160,No DOI available
System and method for multi-modal context-sensitive applications in home network environment,"DH Kim, SH Ahn, JY Kwak, ER Lee, JY Kim… - US Patent …, 2009 - Google Patents",2009,https://patents.google.com/patent/US7584280B2/en,No PDF available,,,1,63,No DOI available
Configuration diagram with context sensitive connectivity,"JL Kodosky, D Shah, SW Rogers - US Patent 7,594,220, 2009 - Google Patents",2009,https://patents.google.com/patent/US7594220B2/en,https://patentimages.storage.googleapis.com/pdfs/US7594220.pdf,,,1,75,No DOI available
A new approach to distributed context-aware computing,"P Swoboda, J Plaice, A Ferscha, H Hoertner, G Kotsis - 2004 - plaice.web.cse.unsw.edu.au",2004,http://plaice.web.cse.unsw.edu.au/~plaice/archive/JAP/P-Pervasive04-intense.pdf,http://plaice.web.cse.unsw.edu.au/~plaice/archive/JAP/P-Pervasive04-intense.pdf,,,1,12,No DOI available
Application mobility in active spaces,"M Roman, H Ho, RH Campbell - 1st international conference on …, 2002 - gaia.cs.illinois.edu",2002,http://gaia.cs.illinois.edu/papers/mum2002.pdf,http://gaia.cs.illinois.edu/papers/mum2002.pdf,,,1,52,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - 2010 Fifth International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
"ORBWork: A CORBA-based fully distributed, scalable and dynamic workflow enactment service for METEOR","KJ Kochut, AP Sheth, JA Miller - Large Scale Distributed …, 1999 - cobweb.cs.uga.edu",1999,http://cobweb.cs.uga.edu/~jam/papers/zLSDISpapers/KSM98.pdf,http://cobweb.cs.uga.edu/~jam/papers/zLSDISpapers/KSM98.pdf,,,1,47,No DOI available
Context-aware authentication for the internet of things,"K Habib, W Leister - Elev. Int. Conf. Auton. Auton. Syst. fined, 2015 - researchgate.net",2015,https://www.researchgate.net/profile/Wolfgang_Leister/publication/277587823_Context-Aware_Authentication_for_the_Internet_of_Things/links/556dd23b08aefcb861db791f.pdf,https://www.researchgate.net/profile/Wolfgang_Leister/publication/277587823_Context-Aware_Authentication_for_the_Internet_of_Things/links/556dd23b08aefcb861db791f.pdf,,,1,16,No DOI available
Home automation control using context sensitive menus,"D Burton, M Ward - US Patent 9,824,578, 2017 - Google Patents",2017,https://patents.google.com/patent/US9824578B2/en,https://patentimages.storage.googleapis.com/d8/4b/84/275582f7834fb7/US20160063854A1.pdf,,,1,44,No DOI available
Deployment of Component-based Applications on Top of a Context-aware Middleware.,"D Ayed, N Belhanafi, C Taconet… - IASTED Conf. on …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/e4fe/d877c21aaf15feb31911ca0f3dc2c3aa0191.pdf,https://pdfs.semanticscholar.org/e4fe/d877c21aaf15feb31911ca0f3dc2c3aa0191.pdf,,,1,11,No DOI available
Meta-programming grey-box connectors,"U Aßmann, T Genßler, H Bar - Proceedings 33rd International …, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/848770/,No PDF available,,,1,30,No DOI available
A Framework for Distributed Activity Recognition in Ubiquitous Systems.,"P Nurmi, M Przybilski, G Lindén, P Floréen - IC-AI, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/e5ba/6b1909a7633af7c872bc7d9a95cafb1ca3b7.pdf,https://pdfs.semanticscholar.org/e5ba/6b1909a7633af7c872bc7d9a95cafb1ca3b7.pdf,,,1,20,No DOI available
System and method for auto-tab completion of context sensitive remote managed objects in a traffic director environment,"A Gupta, P Chandrasekharan, N Sidde - US Patent 9,311,155, 2016 - Google Patents",2016,https://patents.google.com/patent/US9311155B2/en,No PDF available,,,1,39,No DOI available
Adaptation of Web services to the context based on workflow: Approach for self-adaptation of service-oriented architectures to the context,"F Felhi, J Akaichi - arXiv preprint arXiv:1211.4867, 2012 - arxiv.org",1211,https://arxiv.org/abs/1211.4867,https://arxiv.org/pdf/1211.4867,,,1,13,No DOI available
Information system security curricula development,"E Crowley - … On Information Technology Education: Proceedings of …, 2003 - geocities.ws",2003,http://www.geocities.ws/crowleye3919/pdf/Security_CITC.pdf,http://www.geocities.ws/crowleye3919/pdf/Security_CITC.pdf,,,1,105,No DOI available
Context sensitive interactive systems design: A framework for representation of contexts,"K Sato - Proceedings of the 10th International Conference on …, 2003 - researchgate.net",2003,https://www.researchgate.net/profile/Keiichi_Sato/publication/228691368_Context_Sensitive_Interactive_Systems_Design_A_Framework_for_Representation_of_contexts/links/5631559108ae0530378d2d0f.pdf,https://www.researchgate.net/profile/Keiichi_Sato/publication/228691368_Context_Sensitive_Interactive_Systems_Design_A_Framework_for_Representation_of_contexts/links/5631559108ae0530378d2d0f.pdf,,,1,20,No DOI available
Distributed context reasoning for proactive systems,"M Przybilski - Proc. of the Workshop on Context …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=53,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=53,,,1,5,No DOI available
Using Components in Workflow Activities,"S Schreyjak - Business Object Design and Implementation II, 1998 - Springer",1998,https://link.springer.com/chapter/10.1007/978-1-4471-1286-0_14,https://pdfs.semanticscholar.org/4eea/2d379669a87d9605ce2aeb0bf531c91bd5f3.pdf,,,1,10,No DOI available
