title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Stakeholder involvement in strategic adaptation planning: Transdisciplinarity and co-production at stake?,"C Wamsler - Environmental Science & Policy, 2017 - Elsevier",2017,https://www.sciencedirect.com/science/article/pii/S1462901117301296,https://www.sciencedirect.com/science/article/pii/S1462901117301296,,,1,23,No DOI available
A contingency theory of rhetorical congruence,"JAA Sillince - Academy of Management Review, 2005 - journals.aom.org",2005,https://journals.aom.org/doi/abs/10.5465/amr.2005.17293722,https://www.jstor.org/stable/pdf/20159147.pdf,,,1,120,No DOI available
An institutional perspective on sources of ERP package–organisation misalignments,"C Soh, SK Sia - The Journal of Strategic Information Systems, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S0963868704000460,No PDF available,,,1,257,No DOI available
Geographically-decentralized planning and management in health care: some informational issues and their implications for efficiency,"J Hurley, S Birch, J Eyles - Social science & medicine, 1995 - Elsevier",1995,https://www.sciencedirect.com/science/article/pii/027795369400283Y,http://www.academia.edu/download/45972594/0277-9536_2894_2900283-y20160526-26864-1m8uvir.pdf,,,1,68,No DOI available
A model of dual organizational identification in the context of the multinational enterprise,"D Vora, T Kostova - Journal of Organizational Behavior: The …, 2007 - Wiley Online Library",2007,https://onlinelibrary.wiley.com/doi/abs/10.1002/job.422,https://onlinelibrary.wiley.com/doi/pdf/10.1002/job.422,,,1,173,No DOI available
Mainstreaming ecosystem-based adaptation: transformation toward sustainability in urban governance and planning,"C Wamsler - Ecology and Society, 2015 - ecologyandsociety.org",2015,https://www.ecologyandsociety.org/vol20/iss2/art30/,https://www.ecologyandsociety.org/vol20/iss2/art30/,,,1,56,No DOI available
Dynamic adaptive service architecture–towards coordinated service composition,"C Pahl - European Conference on Software Architecture, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf,,,1,11,No DOI available
Institutional barriers to climate change adaptation in decentralised governance structures: Transport planning in England,"BJA Walker, WN Adger, D Russel - Urban Studies, 2015 - journals.sagepub.com",2015,https://journals.sagepub.com/doi/abs/10.1177/0042098014544759,https://journals.sagepub.com/doi/pdf/10.1177/0042098014544759,,,1,21,No DOI available
"Tacit knowledge, organizational learning and societal institutions: An integrated framework","A Lam - Organization studies, 2000 - journals.sagepub.com",2000,https://journals.sagepub.com/doi/abs/10.1177/0170840600213001,https://journals.sagepub.com/doi/pdf/10.1177/0170840600213001,,,1,1761,No DOI available
