title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Towards flexible process support on mobile devices,"R Pryss, J Tiedeken, U Kreher, M Reichert - International Conference on …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-17722-4_11,https://link.springer.com/content/pdf/10.1007/978-3-642-17722-4_11.pdf,,,1,88,No DOI available
A Pragmatic Note on Knopflerfish-based Ambient Assisted Living (AAI) Systems Engineering,"V Venkatesh, P Raj, V Vaithayanathan… - International Journal of …, 2011 - academia.edu",2011,http://www.academia.edu/download/46801793/A_Pragmatic_Note_on_Knopflerfish-based_A20160626-16966-1w4z5ru.pdf,http://www.academia.edu/download/46801793/A_Pragmatic_Note_on_Knopflerfish-based_A20160626-16966-1w4z5ru.pdf,,,1,4,No DOI available
The business value of semantic technologies,"M Davis - presentation and report, Semantic Technologies for E …, 2004 - project10x.com",2004,https://project10x.com/bio_downloads/business_value_of_semantic_technologies_2005.pdf,https://project10x.com/bio_downloads/business_value_of_semantic_technologies_2005.pdf,,,1,12,No DOI available
Middleware support for internetware: a service perspective,"C Ye, J Wei, H Zhong, T Huang - Proceedings of the Second Asia-Pacific …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=2020727,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i65&flag=1&journal_id=ijsi&year_id=2010,,,1,5,No DOI available
Software agents for electronic business: Opportunities and challenges (2005 re-mix),"JP Müller, B Bauer, T Friese, S Roser… - Multiagent based Supply …, 2006 - Springer",2006,https://link.springer.com/content/pdf/10.1007/978-3-540-33876-5_3.pdf,No PDF available,,,1,3,No DOI available
ScriptIoT: A script framework for and internet-of-things applications,"HC Hsieh, KD Chang, LF Wang… - IEEE Internet of …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7279058/,https://ieeexplore.ieee.org/iel7/6488907/6702522/07279058.pdf,,,1,13,No DOI available
Mobile cloud business process management system for the internet of things: a survey,"C Chang, SN Srirama, R Buyya - ACM Computing Surveys (CSUR), 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3012000,https://arxiv.org/pdf/1512.07199,,,1,33,No DOI available
A reference architecture for healthcare supportive home systems from a systems-of-systems perspective,LMG Rodriguez - 2018 - tel.archives-ouvertes.fr,2018,https://tel.archives-ouvertes.fr/tel-02089352/,https://tel.archives-ouvertes.fr/tel-02089352/document,,,1,No cite count available,No DOI available
Interface cultures: artistic aspects of interaction,"C Sommerer, L Mignonneau, D King - 2015 - books.google.com",2015,https://books.google.de/books?hl=de&lr=&id=edFKCgAAQBAJ&oi=fnd&pg=PP1&dq=situation-aware+AND+choreography+AND+reconfig*&ots=broceThDpS&sig=bY4W8S-VwLTCGoEC6z3lnqz0VSA,No PDF available,,,1,18,No DOI available
