title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Towards context-aware multimedia processing through semantic web services,"S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1542107,http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf,,,1,6,No DOI available
Situation-aware IoT service coordination using the event-driven SOA paradigm,"B Cheng, D Zhu, S Zhao, J Chen - IEEE Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7442148/,https://ieeexplore.ieee.org/iel7/4275028/5699970/07442148.pdf,,,1,50,No DOI available
supporting interoperability and Context-awareness in e-learning through situation-driven learning Processes,"S Dietze, A Gugliotta, J Domingue - International Journal of Distance …, 2009 - igi-global.com",2009,https://www.igi-global.com/article/international-journal-distance-education-technologies/3912,https://www.igi-global.com/viewtitle.aspx?titleid=3912,,,1,12,No DOI available
SquirrelJoin: network-aware distributed join processing with lazy partitioning,"L Rupprecht, W Culhane, P Pietzuch - Proceedings of the VLDB …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3137636,https://pdfs.semanticscholar.org/6ed9/31956400fd24bb50198978723a3a2888660c.pdf,,,1,6,No DOI available
Pure Edge Computing Platform for the Future Internet,"M D'Angelo, M Caporuscio - Federation of International Conferences on …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-50230-4_36,https://www.researchgate.net/profile/Mauro_Caporuscio/publication/308792578_Pure_Edge_Computing_Platform_for_the_Future_Internet/links/5b2a28ff0f7e9b1d009bd50e/Pure-Edge-Computing-Platform-for-the-Future-Internet.pdf,,,1,3,No DOI available
Service-based computing on manets: Enabling dynamic interoperability of first responders,"J Kopena, E Sultanik, G Naik, I Howley… - IEEE Intelligent …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1511996/,https://ieeexplore.ieee.org/iel5/9670/32373/01511996.pdf,,,1,28,No DOI available
Privacy in Web Service Transactions: A Tale of More than a Decade of Work,"L Bahri, B Carminati, E Ferrari - IEEE Transactions on Services …, 2018 - ieeexplore.ieee.org",2018,https://ieeexplore.ieee.org/abstract/document/7937912/,https://ieeexplore.ieee.org/iel7/4629386/4629387/07937912.pdf,,,1,3,No DOI available
"On the integration of trust with negotiation, argumentation and semantics","P Bonatti, E Oliveira, J Sabater-Mir… - The Knowledge …, 2014 - cambridge.org",2014,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/on-the-integration-of-trust-with-negotiation-argumentation-and-semantics/4251479AAE967556879D64E879B825DF,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4251479AAE967556879D64E879B825DF/S0269888913000064a.pdf/on-the-integration-of-trust-with-negotiation-argumentation-and-semantics.pdf,,,1,15,No DOI available
Cloud enterprise architecture,P Raj - 2012 - taylorfrancis.com,2012,https://www.taylorfrancis.com/books/9781466502338,http://www.ittoday.info/Articles/Cloud_Enterprise_Architecture.pdf,,,1,19,No DOI available
Network-Centric Service-Oriented Enterprises,"WY Chang - Network-Centric Service-Oriented Enterprise, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-1-4020-6456-2_10,No PDF available,,,1,4,No DOI available
Emerging Directions in Embedded and Ubiquitous Computing,"XZOS LuYan, ESJZS YiMu, DCLD Kim, YSJCZ Xu - Springer",No year available,https://link.springer.com/content/pdf/10.1007/11807964.pdf,No PDF available,,,1,No cite count available,No DOI available
"Emerging Directions in Embedded and Ubiquitous Computing: EUC 2006 Workshops: NCUS, SecUbiq, USN, TRUST, ESO, and MSA, Seoul, Korea, August 1 …","X Zhou, O Sokolsky, L Yan, ES Jung, Z Shao, Y Mu… - 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=-zdsCQAAQBAJ&oi=fnd&pg=PA1&dq=situation-aware+AND+choreography+AND+sensitiv&ots=iQ1u3__hYu&sig=iPe2jhO_95lReGS2lxLUav7kT1c,No PDF available,,,1,No cite count available,No DOI available
"Some open questions for the integration of trust with negotiation, argumentation and semantics","P Bonatti, E Oliveira, J Sabater-Mir, C Sierra, F Toni - 2010 - agreement-technologies.eu",2010,http://www.agreement-technologies.eu/wp-content/plugins/fresh-page/files_flutter/1285596012Someopenquestionsfortheintegration-Bonattietal.pdf,http://www.agreement-technologies.eu/wp-content/plugins/fresh-page/files_flutter/1285596012Someopenquestionsfortheintegration-Bonattietal.pdf,,,1,No cite count available,No DOI available
Towards the agility of collaborative workflows through an event driven approach–Application to crisis management,"AM Barthe-Delanoë, A Montarnal, S Truptil… - International journal of …, 2018 - Elsevier",2018,https://www.sciencedirect.com/science/article/pii/S2212420918302309,https://hal-mines-albi.archives-ouvertes.fr/hal-01724575/document,,,1,3,No DOI available
