title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Internet of intelligent things and robot as a service,"Y Chen, H Hu - Simulation Modelling Practice and Theory, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1569190X12000469,No PDF available,,,1,77,No DOI available
Awarecon: Situation aware context communication,"M Beigl, A Krohn, T Zimmer, C Decker… - … on Ubiquitous Computing, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39653-6_10,https://cgi.csc.liv.ac.uk/~coopes/comp319/2016/papers/UbiquitousComputingAwareCon-Beigl2003.pdf,,,1,76,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … on Object-Oriented …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
Developing pervasive multi-agent systems with nature-inspired coordination,"F Zambonelli, A Omicini, B Anzengruber… - Pervasive and Mobile …, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S1574119214001904,https://research-repository.st-andrews.ac.uk/bitstream/handle/10023/7902/pmc_sapere_15.pdf?sequence=1&isAllowed=y,,,1,56,No DOI available
"On self-adaptation, self-expression, and self-awareness in autonomic service component ensembles","F Zambonelli, N Bicocchi, G Cabri… - 2011 Fifth IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6114583/,https://ieeexplore.ieee.org/iel5/6114263/6114568/06114583.pdf,,,1,78,No DOI available
Behavior-based access control for distributed healthcare environment,"MH Yarmand, K Sartipi… - 2008 21st IEEE …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4561969/,https://ieeexplore.ieee.org/iel5/4561933/4561934/04561969.pdf,,,1,16,No DOI available
Decentralized approach considering spatial attributes for equipment utilization in civil engineering disaster response,"AY Chen, F Pena-Mora - Journal of Computing in Civil Engineering, 2010 - ascelibrary.org",2010,https://ascelibrary.org/doi/abs/10.1061/(ASCE)CP.1943-5487.0000100,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:TfrLYgIr3I4J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=14663758124694104970&oi=lle",,,1,12,No DOI available
Towards resource-aware network of networks,"A Manzalini, R Minerva, C Moiso - IEEE 5th International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5483787/,https://ieeexplore.ieee.org/iel5/5479087/5483696/05483787.pdf,,,1,6,No DOI available
Agent services for situation aware control of power systems with distributed generation,"A Saleem, K Heussen, M Lind - 2009 IEEE Power & Energy …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5260219/,https://ieeexplore.ieee.org/iel5/5230481/5260217/05260219.pdf,,,1,27,No DOI available
Situation-aware wireless networks,"S Sharma, AR Nix, S Olafsson - IEEE Communications …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1215638/,https://ieeexplore.ieee.org/iel5/35/27341/01215638.pdf,,,1,20,No DOI available
A situation-aware flight control system design using real-time model predictive control for unmanned autonomous helicopters,"D Shim, S Sastry - AIAA Guidance, navigation, and control conference …, 2006 - arc.aiaa.org",2006,https://arc.aiaa.org/doi/pdf/10.2514/6.2006-6101,No PDF available,,,1,33,No DOI available
A user profile ontology for situation-aware social networking,"J Stan, E Egyed-Zsigmond… - 3rd Workshop on …, 2008 - hal-ujm.archives-ouvertes.fr",2008,https://hal-ujm.archives-ouvertes.fr/ujm-00378723/,https://hal-ujm.archives-ouvertes.fr/ujm-00378723/file/Stan_Aitami2008.pdf,,,1,36,No DOI available
Mass mailingworm detection by means of situation aware dns,"N Chatzis - … Symposium on Autonomous Decentralized …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4144681/,https://ieeexplore.ieee.org/iel5/4144637/4144638/04144681.pdf,,,1,7,No DOI available
Situation-aware trust management,"M Tavakolifard - Proceedings of the third ACM conference on …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1639802,No PDF available,,,1,14,No DOI available
Autonomic clouds of components for self-managed service ecosystems.,"A Manzalini, R Minerva… - Journal of …, 2010 - search.ebscohost.com",2010,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17541662&asa=Y&AN=53175474&h=9HM1bff5wGpdDpbiwCfRtSbbeKu0Bwv8V0LtkB0KraSoDZLwr9pvk6ETE0YzgnGf3LhyJO3br%2FSwAYOyHS5G9g%3D%3D&crl=c,No PDF available,,,1,7,No DOI available
Towards light-weight semantic descriptions for decentralized service-oriented systems,"H Pfeffer, D Linner, C Jacob, I Radusch… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4338362/,https://ieeexplore.ieee.org/iel5/4338315/4338316/04338362.pdf,,,1,10,No DOI available
Self-organized data ecologies for pervasive situation-aware services: The knowledge networks approach,"N Bicocchi, M Baumgarten, N Brgulja… - … on Systems, Man …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5477187/,https://ieeexplore.ieee.org/iel5/3468/5484919/05477187.pdf,,,1,16,No DOI available
Situation-aware multi-agent system for disaster relief operations management,"G Jakobson, N Parameswaran, J Buford, L Lewis… - Proc …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,,,1,18,No DOI available
Towards an agent model for future autonomic communications,"F De Mola, R Quitadamo - Proceedings of the 7th WOA 2006 Workshop …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.7340&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.7340&rep=rep1&type=pdf,,,1,12,No DOI available
Situation-aware dynamic service coordination in an IoT environment,"B Cheng, M Wang, S Zhao, Z Zhai, D Zhu… - IEEE/ACM Transactions …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3148824,https://ieeexplore.ieee.org/iel7/90/4359146/07999224.pdf,,,1,16,No DOI available
