title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
Context-aware middleware: An overview,"D Romero - Paradigma, 2008 - hal.inria.fr",2008,https://hal.inria.fr/inria-00481818/,https://hal.inria.fr/docs/00/48/18/18/PDF/articulo1Paradigma.pdf,,,1,14,No DOI available
Combining ontologies and scenarios for context-aware e-learning environments,"I Gasparini, MS Pimenta… - Proceedings of the 28th …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1878489,No PDF available,,,1,17,No DOI available
Situation-aware dynamic service coordination in an IoT environment,"B Cheng, M Wang, S Zhao, Z Zhai, D Zhu… - IEEE/ACM Transactions …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3148824,https://ieeexplore.ieee.org/iel7/90/4359146/07999224.pdf,,,1,16,No DOI available
Situation-aware contract specification language for middleware for ubiquitous computing,"SS Yau, Y Wang, D Huang, HP In - … Future Trends of Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204315/,https://ieeexplore.ieee.org/iel5/8565/27118/01204315.pdf,,,1,42,No DOI available
Service adaptation recommender in the event marketplace: conceptual view,"Y Verginadis, I Patiniotakis, N Papageorgiou… - Extended Semantic Web …, 2011 - Springer",2011,https://link.springer.com/chapter/10.1007/978-3-642-25953-1_16,https://link.springer.com/content/pdf/10.1007/978-3-642-25953-1_16.pdf,,,1,12,No DOI available
Situation-aware multi-agent system for disaster relief operations management,"G Jakobson, N Parameswaran, J Buford, L Lewis… - Proc …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,,,1,18,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … -Time Distributed …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
Runtime models for self-adaptation in the ambient assisted living domain,"D Schneider, M Becker - Technical Report COMP COMP-005-2008 …, 2008 - Citeseer",2008,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.144.5475&rep=rep1&type=pdf#page=47,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.144.5475&rep=rep1&type=pdf#page=47,,,1,18,No DOI available
"On self-adaptation, self-expression, and self-awareness in autonomic service component ensembles","F Zambonelli, N Bicocchi, G Cabri… - 2011 Fifth IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6114583/,https://ieeexplore.ieee.org/iel5/6114263/6114568/06114583.pdf,,,1,78,No DOI available
Agent services for situation aware control of power systems with distributed generation,"A Saleem, K Heussen, M Lind - 2009 IEEE Power & Energy …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5260219/,https://ieeexplore.ieee.org/iel5/5230481/5260217/05260219.pdf,,,1,27,No DOI available
A principled approach to supporting adaptation in distributed mobile environments,"GS Blair, G Coulson, L Blair, M Clarke, F Costa… - pdse, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/847845/,https://www.researchgate.net/profile/Anders_Andersen2/publication/2328687_A_Principled_Approach_To_Supporting_Adaptation_In_Distributed_Mobile_Environments/links/09e41513decbeb4a88000000/A-Principled-Approach-To-Supporting-Adaptation-In-Distributed-Mobile-Environments.pdf,,,1,52,No DOI available
Context-aware task allocation for distributed agile team,"J Lin - 2013 28th IEEE/ACM International Conference on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6693151/,https://ieeexplore.ieee.org/iel7/6684409/6693054/06693151.pdf,,,1,12,No DOI available
Supporting context-aware mobile service adaptation with scalable context discovery platform,"D Zhang, CY Chin, M Gurusamy - 2005 IEEE 61st Vehicular …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1543869/,https://ieeexplore.ieee.org/iel5/10360/32962/01543869.pdf,,,1,17,No DOI available
Incorporating situation awareness in service specifications,"SS Yau, J Liu - … Component-Oriented Real-Time Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1630491/,https://ieeexplore.ieee.org/iel5/10852/34193/01630491.pdf,,,1,34,No DOI available
Beyond monitoring: distributed situation awareness in anaesthesia,"E Fioratou, R Flin, R Glavin… - British journal of …, 2010 - academic.oup.com",2010,https://academic.oup.com/bja/article-abstract/105/1/83/308198,https://academic.oup.com/bja/article/105/1/83/308198,,,1,133,No DOI available
An open distributed framework for adaptive user interaction in ambient intelligence,"MR Tazari - International Joint Conference on Ambient Intelligence, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-16917-5_23,https://pdfs.semanticscholar.org/6ee5/18b74f4262a3f780bf17cca992b855c79644.pdf,,,1,14,No DOI available
CoCaMAAL: A cloud-oriented context-aware middleware in ambient assisted living,"A Forkan, I Khalil, Z Tari - Future Generation Computer Systems, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0167739X13001544,https://www.researchgate.net/profile/Abdur_Forkan/publication/260395418_CoCaMAAL_A_cloud-oriented_context-aware_middleware_in_ambient_assisted_living/links/59e7d4090f7e9bc89b508bef/CoCaMAAL-A-cloud-oriented-context-aware-middleware-in-ambient-assisted-living.pdf,,,1,122,No DOI available
