title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Situation-aware multi-agent system for disaster relief operations management,"G Jakobson, N Parameswaran, J Buford, L Lewis… - Proc …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,https://www.researchgate.net/profile/N_Parameswaran/publication/228529393_Situation-Aware_Multi-Agent_System_for_Disaster_Relief_Operations_Management/links/00b495198ff89dd220000000.pdf,,,1,18,No DOI available
Behavior-based access control for distributed healthcare environment,"MH Yarmand, K Sartipi… - 2008 21st IEEE …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4561969/,https://ieeexplore.ieee.org/iel5/4561933/4561934/04561969.pdf,,,1,16,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
A component-based distributed control system for assembly automation,"SM Lee, R Harrison, AA West - 2nd IEEE International …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1417298/,https://ieeexplore.ieee.org/iel5/9715/30671/01417298.pdf,,,1,34,No DOI available
Beyond monitoring: distributed situation awareness in anaesthesia,"E Fioratou, R Flin, R Glavin… - British journal of …, 2010 - academic.oup.com",2010,https://academic.oup.com/bja/article-abstract/105/1/83/308198,https://academic.oup.com/bja/article/105/1/83/308198,,,1,133,No DOI available
Distributed mediation of ambiguous context in aware environments,"A Dey, J Mankoff, G Abowd, S Carter - Proceedings of the 15th annual …, 2002 - dl.acm.org",2002,https://dl.acm.org/citation.cfm?id=572003,https://www.researchgate.net/profile/Jennifer_Mankoff/publication/220877118_Distributed_mediation_of_ambiguous_context_in_aware_environments/links/00b495307432530b1f000000.pdf,,,1,140,No DOI available
A framework of cognitive situation modeling and recognition,"G Jakobson, J Buford, L Lewis - MILCOM 2006-2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4086467/,https://ieeexplore.ieee.org/iel5/4086332/4043248/04086467.pdf,,,1,47,No DOI available
Situation-aware IoT service coordination using the event-driven SOA paradigm,"B Cheng, D Zhu, S Zhao, J Chen - IEEE Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7442148/,https://ieeexplore.ieee.org/iel7/4275028/5699970/07442148.pdf,,,1,50,No DOI available
Situation-aware contract specification language for middleware for ubiquitous computing,"SS Yau, Y Wang, D Huang, HP In - … Future Trends of Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204315/,https://ieeexplore.ieee.org/iel5/8565/27118/01204315.pdf,,,1,42,No DOI available
Context-aware middleware: An overview,"D Romero - Paradigma, 2008 - hal.inria.fr",2008,https://hal.inria.fr/inria-00481818/,https://hal.inria.fr/docs/00/48/18/18/PDF/articulo1Paradigma.pdf,,,1,14,No DOI available
A principled approach to supporting adaptation in distributed mobile environments,"GS Blair, G Coulson, L Blair, M Clarke, F Costa… - pdse, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/847845/,https://www.researchgate.net/profile/Anders_Andersen2/publication/2328687_A_Principled_Approach_To_Supporting_Adaptation_In_Distributed_Mobile_Environments/links/09e41513decbeb4a88000000/A-Principled-Approach-To-Supporting-Adaptation-In-Distributed-Mobile-Environments.pdf,,,1,52,No DOI available
Automated situation-aware service composition in service-oriented computing,"SS Yau, H Davulcu, S Mukhopadhyay… - International Journal of …, 2007 - igi-global.com",2007,https://www.igi-global.com/article/international-journal-web-services-research/3109,https://www.igi-global.com/viewtitle.aspx?titleid=3109,,,1,20,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … -Time Distributed …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
Group situation awareness and distributed decision making: From military to civilian applications,"AR Wellens - Individual and group decision making: Current …, 1993 - books.google.com",1993,https://books.google.de/books?hl=de&lr=&id=9mMOXnJTqowC&oi=fnd&pg=PA267&dq=situation-aware+AND+distributed+composition+AND+behaviour&ots=RMMluORZPc&sig=nlChbficRlgi_YNt5YjlF2H_cBE,No PDF available,,,1,181,No DOI available
Awarecon: Situation aware context communication,"M Beigl, A Krohn, T Zimmer, C Decker… - … on Ubiquitous Computing, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39653-6_10,https://cgi.csc.liv.ac.uk/~coopes/comp319/2016/papers/UbiquitousComputingAwareCon-Beigl2003.pdf,,,1,76,No DOI available
Situation-aware composition of low-level traffic handling functions,"M Smirnov, T Zseby, R Roth - Conference on Modell. ing …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/Rudolf_Roth2/publication/228977905_Situation-aware_Composition_of_Low-level_Traffic_Handling_Functions/links/544f649f0cf2bca5ce90ef70.pdf,https://www.researchgate.net/profile/Rudolf_Roth2/publication/228977905_Situation-aware_Composition_of_Low-level_Traffic_Handling_Functions/links/544f649f0cf2bca5ce90ef70.pdf,,,1,4,No DOI available
Situation aware interaction with multi-modal business applications in smart environments,"M Aehnelt, S Bader, G Ruscher, F Krüger… - … Conference on Human …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-39226-9_45,https://pdfs.semanticscholar.org/d3e8/ab9e9f6a6d1db97108d02f1f9bef7a8a5295.pdf,,,1,11,No DOI available
Distributed virtual environments,"MR Stytz - IEEE Computer Graphics and Applications, 1996 - ieeexplore.ieee.org",1996,https://ieeexplore.ieee.org/abstract/document/491182/,https://ieeexplore.ieee.org/iel1/38/10541/00491182.pdf,,,1,228,No DOI available
