title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Situation-aware contract specification language for middleware for ubiquitous computing,"SS Yau, Y Wang, D Huang, HP In - … Future Trends of Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204315/,https://ieeexplore.ieee.org/iel5/8565/27118/01204315.pdf,,,1,42,No DOI available
Reconfigurable context-sensitive middleware for pervasive computing,"SS Yau, F Karim, Y Wang, B Wang… - IEEE Pervasive …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1037720/,https://ieeexplore.ieee.org/iel5/7756/22254/01037720.pdf,,,1,536,No DOI available
Testing context-sensitive middleware-based software applications,"TH Tse, SS Yau - Proceedings of the 28th Annual International …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1342879/,https://ieeexplore.ieee.org/iel5/9304/29570/01342879.pdf,,,1,97,No DOI available
Development of situation-aware application software for ubiquitous computing environments,"SS Yau, Y Wang, F Karim - Proceedings 26th Annual …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1044557/,https://ieeexplore.ieee.org/iel5/8094/22390/01044557.pdf,,,1,126,No DOI available
CoCaMAAL: A cloud-oriented context-aware middleware in ambient assisted living,"A Forkan, I Khalil, Z Tari - Future Generation Computer Systems, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0167739X13001544,https://www.researchgate.net/profile/Abdur_Forkan/publication/260395418_CoCaMAAL_A_cloud-oriented_context-aware_middleware_in_ambient_assisted_living/links/59e7d4090f7e9bc89b508bef/CoCaMAAL-A-cloud-oriented-context-aware-middleware-in-ambient-assisted-living.pdf,,,1,122,No DOI available
Incremental deployment and migration of geo-distributed situation awareness applications in the fog,"E Saurez, K Hong, D Lillethun… - … on Distributed and …, 2016 - dl.acm.org",2016,https://dl.acm.org/citation.cfm?id=2933317,https://dl.acm.org/ft_gateway.cfm?id=2933317&type=pdf,,,1,67,No DOI available
OWL-SF–a distributed semantic service framework,"B Mrohs, M Luther, R Vaidya… - Proc. of the …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,,,1,32,No DOI available
Development and runtime support for situation-aware application software in ubiquitous computing environments,"SS Yau, D Huang, H Gong… - Proceedings of the 28th …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1342878/,https://ieeexplore.ieee.org/iel5/9304/29570/01342878.pdf,,,1,49,No DOI available
Situation-aware risk management in autonomous agents,"M Lorenz, JD Gehrke, H Langer, IJ Timm… - Proceedings of the 14th …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1099668,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.2439&rep=rep1&type=pdf,,,1,10,No DOI available
Situation-aware personal information management for a mobile device,"JJ Bourne - US Patent 8,190,359, 2012 - Google Patents",2012,https://patents.google.com/patent/US8190359B2/en,No PDF available,,,1,273,No DOI available
Secure middleware for situation-aware naval C/sup 2/and combat systems,"R Bharadwaj - … IEEE Workshop on Future Trends of Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204342/,https://ieeexplore.ieee.org/iel5/8565/27118/01204342.pdf,,,1,18,No DOI available
Towards situation-aware cross-platform ubi-game development,"JH Han, HP In, JS Woo - 11th Asia-Pacific Software …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1371994/,https://ieeexplore.ieee.org/iel5/9444/29994/01371994.pdf,,,1,11,No DOI available
On design framework of context aware embedded systems,"A Daftari, N Mehta, S Bakre… - Monterey workshop on …, 2003 - people.cis.ksu.edu",2003,http://people.cis.ksu.edu/~dwyer/monterey2003/pc/paper12.pdf,http://people.cis.ksu.edu/~dwyer/monterey2003/pc/paper12.pdf,,,1,24,No DOI available
Smart classroom: Enhancing collaborative learning using pervasive computing technology,"SS Yau, SKS Gupta, F Karim, SI Ahamed… - ASEE 2003 Annual …, 2003 - dpse.eas.asu.edu",2003,http://dpse.eas.asu.edu/papers/SmartClassroom.pdf,http://dpse.eas.asu.edu/papers/SmartClassroom.pdf,,,1,126,No DOI available
Situation-aware IoT service coordination using the event-driven SOA paradigm,"B Cheng, D Zhu, S Zhao, J Chen - IEEE Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7442148/,https://ieeexplore.ieee.org/iel7/4275028/5699970/07442148.pdf,,,1,50,No DOI available
