title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Context-Dependent Role Model,"Jorge Vallejos,    Peter Ebraert,    Brecht Desmet…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_1.pdf,,,1,2,https://doi.org/10.1007/978-3-540-72883-2_1
Context-dependent codon partition models provide significant increases in model fit in atpB and rbcL protein-coding genes,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2011,https://link.springer.com/article/10.1186/1471-2148-11-145,https://link.springer.com/content/pdf/10.1186%2F1471-2148-11-145.pdf,,,1,2,https://doi.org/10.1186/1471-2148-11-145
Mate-guarding in a promiscuous insect: species discrimination influences context-dependent behaviour,"Emily R. Burdfield-Steel,    David M. Shuker",2014,https://link.springer.com/article/10.1007/s10682-014-9726-7,https://link.springer.com/content/pdf/10.1007%2Fs10682-014-9726-7.pdf,,,1,8,https://doi.org/10.1007/s10682-014-9726-7
"Context-dependent regulation of feeding behaviour by the insulin receptor, DAF-2, in Caenorhabditis elegans
","James Dillon,    Lindy Holden-Dye,    Vincent O’Connor…",2016,https://link.springer.com/article/10.1007/s10158-016-0187-2,https://link.springer.com/content/pdf/10.1007%2Fs10158-016-0187-2.pdf,,,1,5,https://doi.org/10.1007/s10158-016-0187-2
Single genome retrieval of context-dependent variability in mutation rates for human germline,"Aleksandr B. Sahakyan,    Shankar Balasubramanian",2017,https://link.springer.com/article/10.1186/s12864-016-3440-5,https://link.springer.com/content/pdf/10.1186%2Fs12864-016-3440-5.pdf,,,1,1,https://doi.org/10.1186/s12864-016-3440-5
Publishing and discovering context-dependent services,"Naseem Ibrahim,    Mubarak Mohammad…",2013,https://link.springer.com/article/10.1186/2192-1962-3-1,https://link.springer.com/content/pdf/10.1186%2F2192-1962-3-1.pdf,,,1,41,https://doi.org/10.1186/2192-1962-3-1
Efficient context-dependent model building based on clustering posterior distributions for non-coding sequences,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2009,https://link.springer.com/article/10.1186/1471-2148-9-87,https://link.springer.com/content/pdf/10.1186%2F1471-2148-9-87.pdf,,,1,5,https://doi.org/10.1186/1471-2148-9-87
"Information engineering for developing and testing coherent, integrated and context-dependent user interfaces","Ellemieke van Doorn,    Imre Horváth,    Zoltán Rusák",2017,https://link.springer.com/article/10.1007/s10111-017-0412-8,https://link.springer.com/content/pdf/10.1007%2Fs10111-017-0412-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s10111-017-0412-8
High-throughput assessment of context-dependent effects of chromatin proteins,"Laura Brueckner,    Joris van Arensbergen,    Waseem Akhtar…",2016,https://link.springer.com/article/10.1186/s13072-016-0096-y,https://link.springer.com/content/pdf/10.1186%2Fs13072-016-0096-y.pdf,,,1,2,https://doi.org/10.1186/s13072-016-0096-y
Context-dependent functions of specific microRNAs in neuronal development,Fen-Biao Gao,2010,https://link.springer.com/article/10.1186/1749-8104-5-25,https://link.springer.com/content/pdf/10.1186%2F1749-8104-5-25.pdf,,,1,84,https://doi.org/10.1186/1749-8104-5-25
Using Coordinated Actors to Model Families of Distributed Systems,"Ramtin Khosravi,    Hamideh Sabouri",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30829-1_6
Distributed processing and temporal codes in neuronal networks,Wolf Singer,2009,https://link.springer.com/article/10.1007/s11571-009-9087-z,https://link.springer.com/content/pdf/10.1007%2Fs11571-009-9087-z.pdf,,,1,85,https://doi.org/10.1007/s11571-009-9087-z
Partial Connector Colouring,"Dave Clarke,    José Proença",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_5.pdf,,,1,3,https://doi.org/10.1007/978-3-642-30829-1_5
Ontology-Driven Dynamic Discovery and Distributed Coordination of a Robot Swarm,"Niels Bouten,    Anna Hristoskova,    Femke Ongenae…",2012,https://link.springer.com/chapter/10.1007/978-3-642-30633-4_2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30633-4_2.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30633-4_2
Verifying data- and control-oriented properties combining static and runtime verification: theory and tools,"Wolfgang Ahrendt,    Jesús Mauricio Chimento…",2017,https://link.springer.com/article/10.1007/s10703-017-0274-y,https://link.springer.com/content/pdf/10.1007%2Fs10703-017-0274-y.pdf,,,1,8,https://doi.org/10.1007/s10703-017-0274-y
Büchi automata for modeling component connectors,"Mohammad Izadi,    Marcello Bonsangue,    Dave Clarke",2011,https://link.springer.com/article/10.1007/s10270-010-0152-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-010-0152-1.pdf,,,1,3,https://doi.org/10.1007/s10270-010-0152-1
"Distributed Representations, Simple Recurrent Networks, And Grammatical Structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1023/A%3A1022699029236,https://link.springer.com/content/pdf/10.1023%2FA%3A1022699029236.pdf,,,1,24,https://doi.org/10.1023/A:1022699029236
"Distributed representations, simple recurrent networks, and grammatical structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007%2FBF00114844.pdf,,,1,293,https://doi.org/10.1007/BF00114844
Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2012,https://link.springer.com/article/10.1007/s00125-012-2688-9,https://link.springer.com/content/pdf/10.1007%2Fs00125-012-2688-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s00125-012-2688-9
Introducing biological realism into the study of developmental plasticity in behaviour,"Ton G G Groothuis,    Barbara Taborsky",2015,https://link.springer.com/article/10.1186/1742-9994-12-S1-S6,https://link.springer.com/content/pdf/10.1186%2F1742-9994-12-S1-S6.pdf,,,1,28,https://doi.org/10.1186/1742-9994-12-S1-S6
27th Annual Computational Neuroscience Meeting (CNS*2018): Part One,No author available,2018,https://link.springer.com/article/10.1186/s12868-018-0452-x,https://link.springer.com/content/pdf/10.1186%2Fs12868-018-0452-x.pdf,,,1,No cite count available,https://doi.org/10.1186/s12868-018-0452-x
"Abstracts of the EASD, Stockholm 2010",No author available,2010,https://link.springer.com/article/10.1007/s00125-010-1872-z,https://link.springer.com/content/pdf/10.1007%2Fs00125-010-1872-z.pdf,,,1,1,https://doi.org/10.1007/s00125-010-1872-z
Tools for simulating evolution of aligned genomic regions with integrated parameter estimation,"Avinash Varadarajan,    Robert K Bradley,    Ian H Holmes",2008,https://link.springer.com/article/10.1186/gb-2008-9-10-r147,https://link.springer.com/content/pdf/10.1186%2Fgb-2008-9-10-r147.pdf,,,1,12,https://doi.org/10.1186/gb-2008-9-10-r147
"A lightweight, flow-based toolkit for parallel and distributed bioinformatics pipelines","Marcin Cieślik,    Cameron Mura",2011,https://link.springer.com/article/10.1186/1471-2105-12-61,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-61.pdf,,,1,5,https://doi.org/10.1186/1471-2105-12-61
Formalising Security in Ubiquitous and Cloud Scenarios,"Chiara Bodei,    Pierpaolo Degano…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33260-9_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33260-9_1.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33260-9_1
A Description Language for Composable Components,"Ioana Sora,    Pierre Verbaeten…",2003,https://link.springer.com/chapter/10.1007/3-540-36578-8_3,https://link.springer.com/content/pdf/10.1007%2F3-540-36578-8_3.pdf,,,1,1,https://doi.org/10.1007/3-540-36578-8_3
Abstracts,No author available,2005,https://link.springer.com/article/10.1007/s00125-005-1909-x,https://link.springer.com/content/pdf/10.1007%2Fs00125-005-1909-x.pdf,,,1,1,https://doi.org/10.1007/s00125-005-1909-x
Compositional Construction of Real-Time Dataflow Networks,Stephanie Kemper,2010,https://link.springer.com/chapter/10.1007/978-3-642-13414-2_7,https://link.springer.com/content/pdf/10.1007%2F978-3-642-13414-2_7.pdf,,,1,3,https://doi.org/10.1007/978-3-642-13414-2_7
Semantic-Based Development of Service-Oriented Systems,"Martin Wirsing,    Allan Clark,    Stephen Gilmore…",2006,https://link.springer.com/chapter/10.1007/11888116_3,https://link.springer.com/content/pdf/10.1007%2F11888116_3.pdf,,,1,31,https://doi.org/10.1007/11888116_3
Meeting abstracts from the 4th International Clinical Trials Methodology Conference (ICTMC) and the 38th Annual Meeting of the Society for Clinical Trials,No author available,2017,https://link.springer.com/article/10.1186/s13063-017-1902-y,https://link.springer.com/content/pdf/10.1186%2Fs13063-017-1902-y.pdf,,,1,2,https://doi.org/10.1186/s13063-017-1902-y
A Conceptual Framework for Adaptation,"Roberto Bruni,    Andrea Corradini…",2012,https://link.springer.com/chapter/10.1007/978-3-642-28872-2_17,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28872-2_17.pdf,,,1,25,https://doi.org/10.1007/978-3-642-28872-2_17
26th Annual Computational Neuroscience Meeting (CNS*2017): Part 3,"Adam J. H. Newton,    Alexandra H. Seidenstein,    Robert A. McDougal…",2017,https://link.springer.com/article/10.1186/s12868-017-0372-1,https://link.springer.com/content/pdf/10.1186%2Fs12868-017-0372-1.pdf,,,1,No cite count available,https://doi.org/10.1186/s12868-017-0372-1
Developing highly complex distributed systems: a software engineering perspective,"Marco Autili,    Paola Inverardi…",2012,https://link.springer.com/article/10.1007/s13174-011-0048-5,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0048-5.pdf,,,1,3,https://doi.org/10.1007/s13174-011-0048-5
Achieving Flexible Process Interoperability in the Homecare Domain through Aspect-Oriented Service Composition,"Duc Viet Bui,    Maria Eugenia Iacob,    Marten van Sinderen…",2013,https://link.springer.com/chapter/10.1007/978-3-642-36796-0_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-36796-0_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-36796-0_6
Re-using biological devices: a model-aided analysis of interconnected transcriptional cascades designed from the bottom-up,"Lorenzo Pasotti,    Massimo Bellato,    Michela Casanova…",2017,https://link.springer.com/article/10.1186/s13036-017-0090-3,https://link.springer.com/content/pdf/10.1186%2Fs13036-017-0090-3.pdf,,,1,No cite count available,https://doi.org/10.1186/s13036-017-0090-3
The core enabling technologies of big data analytics and context-aware computing for smart sustainable cities: a review and synthesis,"Simon Elias Bibri,    John Krogstie",2017,https://link.springer.com/article/10.1186/s40537-017-0091-6,https://link.springer.com/content/pdf/10.1186%2Fs40537-017-0091-6.pdf,,,1,6,https://doi.org/10.1186/s40537-017-0091-6
Program-Abstracts,No author available,2009,https://link.springer.com/article/10.1007/s12307-009-0029-4,https://link.springer.com/content/pdf/10.1007%2Fs12307-009-0029-4.pdf,,,1,No cite count available,https://doi.org/10.1007/s12307-009-0029-4
Ambient-aware continuous care through semantic context dissemination,"Femke Ongenae,    Jeroen Famaey…",2014,https://link.springer.com/article/10.1186/1472-6947-14-97,https://link.springer.com/content/pdf/10.1186%2F1472-6947-14-97.pdf,,,1,4,https://doi.org/10.1186/1472-6947-14-97
Compositional semantics of Esterel and verification by compositional reductions,"R. de Simone,    A. Ressouche",1994,https://link.springer.com/chapter/10.1007/3-540-58179-0_74,https://link.springer.com/content/pdf/10.1007%2F3-540-58179-0_74.pdf,,,1,2,https://doi.org/10.1007/3-540-58179-0_74
The cue-dependent nature of state-dependent retrieval,James Eric Eich,1980,https://link.springer.com/article/10.3758/BF03213419,https://link.springer.com/content/pdf/10.3758%2FBF03213419.pdf,,,1,13,https://doi.org/10.3758/BF03213419
Predictions not commands: active inference in the motor system,"Rick A. Adams,    Stewart Shipp,    Karl J. Friston",2013,https://link.springer.com/article/10.1007/s00429-012-0475-5,https://link.springer.com/content/pdf/10.1007%2Fs00429-012-0475-5.pdf,,,1,165,https://doi.org/10.1007/s00429-012-0475-5
"What makes man human: thirty-ninth James Arthur lecture on the evolution of the human brain, 1970",Karl H Pribram,2006,https://link.springer.com/article/10.1186/1747-5333-1-13,https://link.springer.com/content/pdf/10.1186%2F1747-5333-1-13.pdf,,,1,No cite count available,https://doi.org/10.1186/1747-5333-1-13
Enforcement of Privacy Requirements,"Padmanabhan Krishnan,    Kostyantyn Vorobyov",2013,https://link.springer.com/chapter/10.1007/978-3-642-39218-4_21,https://link.springer.com/content/pdf/10.1007%2F978-3-642-39218-4_21.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-39218-4_21
Semantics of Cyber-Physical Systems,"Tharam Dillon,    Elizabeth Chang,    Jaipal Singh…",2012,https://link.springer.com/chapter/10.1007/978-3-642-32891-6_3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32891-6_3.pdf,,,1,3,https://doi.org/10.1007/978-3-642-32891-6_3
Abstracts,No author available,2013,https://link.springer.com/article/10.1007/s00292-013-1765-2,https://link.springer.com/content/pdf/10.1007%2Fs00292-013-1765-2.pdf,,,1,No cite count available,https://doi.org/10.1007/s00292-013-1765-2
