title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Extending trust management with cooperation incentives: a fully decentralized framework for user-centric network environments,"Carlos Ballester Lafuente,    Jean-Marc Seigneur",2015,https://link.springer.com/article/10.1186/s40493-015-0018-0,https://link.springer.com/content/pdf/10.1186%2Fs40493-015-0018-0.pdf,,,1,No cite count available,https://doi.org/10.1186/s40493-015-0018-0
Meeting Future Energy Needs in the Hindu Kush Himalaya,"Shobhakar Dhakal,    Leena Srivastava,    Bikash Sharma…",2019,https://link.springer.com/chapter/10.1007/978-3-319-92288-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-92288-1_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-92288-1_6
Modelling Business Relationships in a Non-Centralised Systems Environment,"I. G. Macdonald,    R. A. Veryard",1995,https://link.springer.com/chapter/10.1007/978-0-387-34871-1_9,https://link.springer.com/content/pdf/10.1007%2F978-0-387-34871-1_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-34871-1_9
Trust as a facilitator in cloud computing: a survey,"Sheikh Mahbub Habib,    Sascha Hauke…",2012,https://link.springer.com/article/10.1186/2192-113X-1-19,https://link.springer.com/content/pdf/10.1186%2F2192-113X-1-19.pdf,,,1,35,https://doi.org/10.1186/2192-113X-1-19
Ontology-Based Composition and Matching for Dynamic Service Coordination,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_49,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_49.pdf,,,1,1,https://doi.org/10.1007/978-3-642-22056-2_49
Emergent Semantics Systems,"Karl Aberer,    Tiziana Catarci…",2004,https://link.springer.com/chapter/10.1007/978-3-540-30145-5_2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-30145-5_2.pdf,,,1,2,https://doi.org/10.1007/978-3-540-30145-5_2
Countering Service Information Challenges in the Internet of Services,"Dr. Daniel Oberle,    Dipl.-Ing. Nadeem Bhatti…",2009,https://link.springer.com/article/10.1007/s12599-009-0069-9,https://link.springer.com/content/pdf/10.1007%2Fs12599-009-0069-9.pdf,,,1,16,https://doi.org/10.1007/s12599-009-0069-9
Improving the implementation of health workforce policies through governance: a review of case studies,"Marjolein Dieleman,    Daniel MP Shaw,    Prisca Zwanikken",2011,https://link.springer.com/article/10.1186/1478-4491-9-10,https://link.springer.com/content/pdf/10.1186%2F1478-4491-9-10.pdf,,,1,34,https://doi.org/10.1186/1478-4491-9-10
Achieving Coordination through Dynamic Construction of Open Workflows,"Louis Thomas,    Justin Wilson,    Gruia-Catalin Roman,    Christopher Gill",2009,https://link.springer.com/chapter/10.1007/978-3-642-10445-9_14,https://link.springer.com/content/pdf/10.1007%2F978-3-642-10445-9_14.pdf,,,1,6,https://doi.org/10.1007/978-3-642-10445-9_14
Situative governance and energy transitions in a spatial context: case studies from Germany,"Gerhard Fuchs,    Nele Hinderer",2014,https://link.springer.com/article/10.1186/s13705-014-0016-6,https://link.springer.com/content/pdf/10.1186%2Fs13705-014-0016-6.pdf,,,1,18,https://doi.org/10.1186/s13705-014-0016-6
A Coordination Space Architecture for Service Collaboration and Cooperation,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_39,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_39.pdf,,,1,2,https://doi.org/10.1007/978-3-642-22056-2_39
"How does decentralisation affect health sector planning and financial management? a case study of early effects of devolution in Kilifi County, Kenya","Benjamin Tsofa,    Sassy Molyneux,    Lucy Gilson…",2017,https://link.springer.com/article/10.1186/s12939-017-0649-0,https://link.springer.com/content/pdf/10.1186%2Fs12939-017-0649-0.pdf,,,1,10,https://doi.org/10.1186/s12939-017-0649-0
Medical termination of pregnancy service delivery in the context of decentralization: social and structural influences,"Alana Hulme-Chambers,    Samantha Clune…",2018,https://link.springer.com/article/10.1186/s12939-018-0888-8,https://link.springer.com/content/pdf/10.1186%2Fs12939-018-0888-8.pdf,,,1,No cite count available,https://doi.org/10.1186/s12939-018-0888-8
A Context-Aware Trust Model for Service-Oriented Multi-Agent Systems,"Kaiyu Wan,    Vasu Alagar",2009,https://link.springer.com/chapter/10.1007/978-3-642-01247-1_23,https://link.springer.com/content/pdf/10.1007%2F978-3-642-01247-1_23.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-01247-1_23
"The feasibility of a role for community health workers in integrated mental health care for perinatal depression: a qualitative study from Surabaya, Indonesia","Endang R. Surjaningrum,    Harry Minas…",2018,https://link.springer.com/article/10.1186/s13033-018-0208-0,https://link.springer.com/content/pdf/10.1186%2Fs13033-018-0208-0.pdf,,,1,1,https://doi.org/10.1186/s13033-018-0208-0
