title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Context-specific gene regulatory networks subdivide intrinsic subtypes of breast cancer,"Sara Nasser,    Heather E Cunliffe,    Michael A Black,    Seungchan Kim",2011,https://link.springer.com/article/10.1186/1471-2105-12-S2-S3,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-S2-S3.pdf,,,1,3,https://doi.org/10.1186/1471-2105-12-S2-S3
A place for play? The influence of the home physical environment on children’s physical activity and sedentary behaviour,"Clover Maitland,    Gareth Stratton…",2013,https://link.springer.com/article/10.1186/1479-5868-10-99,https://link.springer.com/content/pdf/10.1186%2F1479-5868-10-99.pdf,,,1,63,https://doi.org/10.1186/1479-5868-10-99
Females alter their song when challenged in a sex-role reversed bird species,"Nicole Geberzahn,    Wolfgang Goymann,    Christina Muck…",2009,https://link.springer.com/article/10.1007/s00265-009-0836-0,https://link.springer.com/content/pdf/10.1007%2Fs00265-009-0836-0.pdf,,,1,43,https://doi.org/10.1007/s00265-009-0836-0
Multidimensional context modeling applied to non-functional analysis of software,"Luca Berardinelli,    Marco Bernardo,    Vittorio Cortellessa…",2017,https://link.springer.com/article/10.1007/s10270-017-0645-2,https://link.springer.com/content/pdf/10.1007%2Fs10270-017-0645-2.pdf,,,1,1,https://doi.org/10.1007/s10270-017-0645-2
A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology,"Aarash Bordbar,    Adam M Feist,    Renata Usaite-Black,    Joseph Woodcock…",2011,https://link.springer.com/article/10.1186/1752-0509-5-180,https://link.springer.com/content/pdf/10.1186%2F1752-0509-5-180.pdf,,,1,85,https://doi.org/10.1186/1752-0509-5-180
Specifying Reusable Controllers for Software Components,"José M. Troya,    Antonio Vallecillo",1999,https://link.springer.com/chapter/10.1007/978-0-387-35562-7_11,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35562-7_11.pdf,,,1,1,https://doi.org/10.1007/978-0-387-35562-7_11
An approach towards adaptive service composition in markets of composed services,"Alexander Jungmann,    Felix Mohr",2015,https://link.springer.com/article/10.1186/s13174-015-0022-8,https://link.springer.com/content/pdf/10.1186%2Fs13174-015-0022-8.pdf,,,1,5,https://doi.org/10.1186/s13174-015-0022-8
How important is the land use mix measure in understanding walking behaviour? Results from the RESIDE study,"Hayley E Christian,    Fiona C Bull…",2011,https://link.springer.com/article/10.1186/1479-5868-8-55,https://link.springer.com/content/pdf/10.1186%2F1479-5868-8-55.pdf,,,1,79,https://doi.org/10.1186/1479-5868-8-55
Meeting abstracts from the 4th International Clinical Trials Methodology Conference (ICTMC) and the 38th Annual Meeting of the Society for Clinical Trials,No author available,2017,https://link.springer.com/article/10.1186/s13063-017-1902-y,https://link.springer.com/content/pdf/10.1186%2Fs13063-017-1902-y.pdf,,,1,2,https://doi.org/10.1186/s13063-017-1902-y
Construction and Execution of Adaptable Applications Using an Aspect-Oriented and Model Driven Approach,"Sten A. Lundesgaard,    Arnor Solberg…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_6,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_6.pdf,,,1,13,https://doi.org/10.1007/978-3-540-72883-2_6
