title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A systematic literature review of service choreography adaptation,"Leonardo A. F. Leite,    Gustavo Ansaldi Oliva…",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,No PDF available,,,1,13,https://doi.org/10.1007/s11761-012-0125-z
Choreography of embodiment,Rachel Armstrong PhD.,2017,https://link.springer.com/chapter/10.1007/978-3-319-31042-8_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-31042-8_8
Organising LTL monitors over distributed systems with a global clock,"Christian Colombo,    Yliès Falcone",2016,https://link.springer.com/article/10.1007/s10703-016-0251-x,No PDF available,,,1,7,https://doi.org/10.1007/s10703-016-0251-x
Dynamic Interoperability Model for Web Service Choreographies,"Georgiana Stegaru,    Aurelian Mihai Stanescu,    Ioan Sacala…",2012,https://link.springer.com/chapter/10.1007/978-1-4471-2819-9_8,No PDF available,,,1,2,https://doi.org/10.1007/978-1-4471-2819-9_8
Monitoring Choreographed Services,"L. Ardissono,    R. Furnari,    A. Goy,    G. Petrone…",2007,https://link.springer.com/chapter/10.1007/978-1-4020-6268-1_51,No PDF available,,,1,4,https://doi.org/10.1007/978-1-4020-6268-1_51
Ethics in Practice,Fiona Bannon,2018,https://link.springer.com/chapter/10.1007/978-3-319-91731-3_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-91731-3_6
DRAAS: Dynamically Reconfigurable Architecture for Autonomic Services,"Emna Mezghani,    Riadh Ben Halima,    Khalil Drira",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7518-7_19,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7518-7_19
Preservation and Paradox: Choreographic Authorship in the Digital Sphere,Hetty Blades,2018,https://link.springer.com/chapter/10.1007/978-3-319-73817-8_16,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73817-8_16
Modeling of Context-Aware Self-Adaptive Applications in Ubiquitous and Service-Oriented Environments,"Kurt Geihs,    Roland Reichle,    Michael Wagner…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02161-9_8,No PDF available,,,1,11,https://doi.org/10.1007/978-3-642-02161-9_8
Engineering Reconfigurable Distributed Software Systems: Issues Arising for Pervasive Computing,"Apostolos Zarras,    Manel Fredj…",2006,https://link.springer.com/chapter/10.1007/11916246_19,No PDF available,,,1,5,https://doi.org/10.1007/11916246_19
Entries,"Harry Liebersohn,    Martin Klimke…",2009,https://link.springer.com/chapter/10.1007/978-1-349-74030-7_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74030-7_1
Deploying Semantic Web Services-Based Applications in the e-Government Domain,"Alessio Gugliotta,    John Domingue,    Liliana Cabral…",2008,https://link.springer.com/chapter/10.1007/978-3-540-77688-8_4,No PDF available,,,1,9,https://doi.org/10.1007/978-3-540-77688-8_4
"Professional Learning as Attuning, Connecting and Sensitising",Nick Hopwood,2016,https://link.springer.com/chapter/10.1007/978-3-319-26164-5_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-26164-5_9
"Inscribing the body, exscribing space",Ivar Hagendoorn,2012,https://link.springer.com/article/10.1007/s11097-011-9238-7,No PDF available,,,1,1,https://doi.org/10.1007/s11097-011-9238-7
"Enacting Ontologies, Failure and Time","Andrew S. Balmer,    Katie Bulpin,    Susan Molyneux-Hodgson",2016,https://link.springer.com/chapter/10.1057/9781137495426_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137495426_5
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
"
BeC
3: Behaviour Crowd Centric Composition for IoT applications","Sylvain Cherrier,    Ismail Salhi…",2014,https://link.springer.com/article/10.1007/s11036-013-0481-8,No PDF available,,,1,6,https://doi.org/10.1007/s11036-013-0481-8
"Performing Self-sacrifice, Despite Everything or Despite Oneself? Embodying a Necropolitical Space of Appearance in the Tunisian Revolution",Joachim Ben Yakoub,2018,https://link.springer.com/chapter/10.1007/978-3-319-78343-7_14,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-78343-7_14
Pause. Listen.: Visibility and Freedom in Choreographic Practice,Simon Ellis,2019,https://link.springer.com/chapter/10.1007/978-3-319-95699-2_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-95699-2_10
Specification and Analysis of Dynamically-Reconfigurable Service Architectures,"Howard Foster,    Arun Mukhija…",2011,https://link.springer.com/chapter/10.1007/978-3-642-20401-2_20,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-20401-2_20
Veils within Veils: John Jasperse,Jennifer Roche,2015,https://link.springer.com/chapter/10.1057/9781137429858_3,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137429858_3
"Dancing Other-Wise: Ethics, Difference and Transcendence in Hae Kyung Lee and Dancers",Judith Hamera,2007,https://link.springer.com/chapter/10.1057/9780230626485_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230626485_5
"Dancing Other-Wise: Ethics, Difference and Transcendence in Hae Kyung Lee and Dancers",Judith Hamera,2007,https://link.springer.com/chapter/10.1007/978-0-230-62648-5_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-230-62648-5_5
"Monstrous, Mortal Embodiment and Last Dances: Frankenstein and the Ballet",Carol Margaret Davison,2018,https://link.springer.com/chapter/10.1007/978-3-319-78142-6_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-78142-6_7
Semantics-Aware Services for the Mobile Computing Environment,"Nikolaos Georgantas,    Sonia Ben Mokhtar…",2005,https://link.springer.com/chapter/10.1007/11556169_1,No PDF available,,,1,1,https://doi.org/10.1007/11556169_1
Service assurance across organisational boundaries with semantic mediation,"A Duke,    M Richardson,    S Watkins,    A Wahler,    B Schreder",2006,https://link.springer.com/article/10.1007/s10550-006-0030-0,No PDF available,,,1,1,https://doi.org/10.1007/s10550-006-0030-0
"Scenes and Encounters, Bodies and Abilities: Devising Performance with Cyrff Ystwyth",Margaret Ames,2016,https://link.springer.com/chapter/10.1007/978-94-017-9984-3_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-017-9984-3_7
"Affective bodying of mathematics, children and difference: choreographing ‘sad affects’ as affirmative politics in early mathematics teacher education",Anna Chronaki,2019,https://link.springer.com/article/10.1007/s11858-019-01045-9,https://link.springer.com/content/pdf/10.1007%2Fs11858-019-01045-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s11858-019-01045-9
"Adaptation as Remediation and Collaborative Practice (Elevator Repair Service, Frantic Assembly)",Jozefina Komporaly,2017,https://link.springer.com/chapter/10.1057/978-1-137-48102-3_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-48102-3_5
"Improvising Artists, Embodied Technology and Emergent Techniques","Andrew Bucksbarg,    Selene Carter",2012,https://link.springer.com/chapter/10.1057/9781137284440_2,No PDF available,,,1,1,https://doi.org/10.1057/9781137284440_2
"Conclusion: Looking Back, Looking Ahead","Jane Kenway,    Johannah Fahey,    Debbie Epstein,    Aaron Koh…",2017,https://link.springer.com/chapter/10.1057/978-1-137-54961-7_9,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-54961-7_9
In the Heat,H. Sharif Williams (Herukhuti),2012,https://link.springer.com/chapter/10.1007/978-1-137-07795-0_16,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-137-07795-0_16
In the Heat,H. Sharif Williams (Herukhuti),2012,https://link.springer.com/chapter/10.1057/9781137077950_16,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137077950_16
An empirical comparison of formalisms for modelling and analysis of dynamic reconfiguration of dependable systems,"Anirban Bhattacharyya,    Andrey Mokhov,    Ken Pierce",2017,https://link.springer.com/article/10.1007/s00165-016-0405-z,https://link.springer.com/content/pdf/10.1007%2Fs00165-016-0405-z.pdf,,,1,1,https://doi.org/10.1007/s00165-016-0405-z
Self-Reconfiguring Microservices,"Maurizio Gabbrielli,    Saverio Giallorenzo…",2016,https://link.springer.com/chapter/10.1007/978-3-319-30734-3_14,No PDF available,,,1,7,https://doi.org/10.1007/978-3-319-30734-3_14
Information Superiority,No author available,2007,https://link.springer.com/chapter/10.1007/978-1-4020-6456-2_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-6456-2_1
Self-configuration in MANETs: Different Perspectives,"Jing Wang,    R. Venkatesha Prasad,    Ignas Niemegeers",2007,https://link.springer.com/chapter/10.1007/978-3-540-74917-2_18,No PDF available,,,1,5,https://doi.org/10.1007/978-3-540-74917-2_18
Bodies as Knowledge,Beatrice Allegranti,2011,https://link.springer.com/chapter/10.1057/9780230306561_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230306561_2
Requirements for Service Composition in Ultra-Large Scale Software-Intensive Systems,"Claudiu Farcas,    Emilia Farcas,    Ingolf Krüger",2010,https://link.springer.com/chapter/10.1007/978-3-642-12566-9_6,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-12566-9_6
"Computing, Design, Art: Reflections on an Innovative Moment in History","Stephen Boyd Davis,    Simone Gristwood",2016,https://link.springer.com/chapter/10.1007/978-3-319-47286-7_7,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-47286-7_7
ICT Tools for Collaborative Product/Process Design and Innovation Process,No author available,2009,https://link.springer.com/chapter/10.1007/978-1-84882-545-1_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-84882-545-1_5
QoS-Based Elasticity for Service Chains in Distributed Edge Cloud Environments,"Valeria Cardellini,    Tihana Galinac Grbac…",2018,https://link.springer.com/chapter/10.1007/978-3-319-90415-3_8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-90415-3_8.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-90415-3_8
In/Tangible: The Duality of Video Documentation in Dance,Heather Young Reed,2018,https://link.springer.com/chapter/10.1007/978-3-319-73817-8_12,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73817-8_12
"The Language–Identity–Normativity
 Interface and Critical Discourse
 Studies",Heiko Motschenbacher,2016,https://link.springer.com/chapter/10.1057/978-1-137-56301-9_3,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-56301-9_3
SHIFTing the Balance: “Abject” Bodies,Jennifer Parker-Starbuck,2011,https://link.springer.com/chapter/10.1057/9780230306523_3,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230306523_3
SHIFTing the Balance: “Abject” Bodies,Jennifer Parker-Starbuck,2011,https://link.springer.com/chapter/10.1007/978-0-230-30652-3_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-230-30652-3_3
Research Practices in Digital Design,"Tone Bratteteig,    Ina Wagner,    Andrew Morrison,    Dagny Stuedahl…",2010,https://link.springer.com/chapter/10.1007/978-1-84996-223-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-84996-223-0_2
"A New Kind of Learning: Somatics, Dance Improvisation and Transdisciplinarity",Vida L. Midgelow,2017,https://link.springer.com/chapter/10.1007/978-3-319-56185-1_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-56185-1_9
"Digital Sound, New Media and Interactive Performance",Susan Broadhurst,2007,https://link.springer.com/chapter/10.1007/978-0-230-58984-1_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-230-58984-1_5
"Digital Sound, New Media and Interactive Performance",Susan Broadhurst,2007,https://link.springer.com/chapter/10.1057/9780230589841_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230589841_5
Introduction,Brian Singleton,2016,https://link.springer.com/chapter/10.1057/978-1-349-95133-8_1,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-349-95133-8_1
Conclusion: Where the Gaze Lands,Ruth Barnes,2016,https://link.springer.com/chapter/10.1057/978-1-137-59610-9_14,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-59610-9_14
The WTE+ framework: automated construction and runtime adaptation of service mashups,"Anna Hristoskova,    Bruno Volckaert,    Filip De Turck",2013,https://link.springer.com/article/10.1007/s10515-012-0105-8,No PDF available,,,1,6,https://doi.org/10.1007/s10515-012-0105-8
Live Performance and the Digital,Susan Broadhurst,2007,https://link.springer.com/chapter/10.1007/978-0-230-58984-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-230-58984-1_4
Live Performance and the Digital,Susan Broadhurst,2007,https://link.springer.com/chapter/10.1057/9780230589841_4,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230589841_4
Next Generation of Engineering Methods and Tools for SOA-Based Large-Scale and Distributed Process Applications,"Robert Harrison,    C. Stuart McLeod…",2014,https://link.springer.com/chapter/10.1007/978-3-319-05624-1_6,No PDF available,,,1,6,https://doi.org/10.1007/978-3-319-05624-1_6
Vardo,Brian Singleton,2016,https://link.springer.com/chapter/10.1057/978-1-349-95133-8_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-349-95133-8_5
"Adaptation as Experiential Theatre: Immersion and the Dramaturgy of Fragmentation (The Drowned Man, Hotel Medea)",Jozefina Komporaly,2017,https://link.springer.com/chapter/10.1057/978-1-137-48102-3_4,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-48102-3_4
Performing Urbanity: An Inquiry into the Modes of Knowing the City,Julio Paulos,2018,https://link.springer.com/chapter/10.1007/978-3-319-60462-6_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-60462-6_10
On Masking and Revealing the Culture of the Cross-Culturalist,Robert C. Weigl,2002,https://link.springer.com/article/10.1023/A%3A1020391021388,No PDF available,,,1,1,https://doi.org/10.1023/A:1020391021388
On Masking and Revealing the Culture of the Cross-Culturalist,Robert C. Weigl,2002,https://link.springer.com/article/10.1023/A%3A1020391021388,No PDF available,,,1,1,https://doi.org/10.1023/A:1020391021388
"Introduction: And, And, And",Bruce Baird,2012,https://link.springer.com/chapter/10.1057/9781137012623_1,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137012623_1
Introduction,Klaus Hoeyer,2013,https://link.springer.com/chapter/10.1007/978-94-007-5264-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-007-5264-1_1
"Governance, Theatricality, and Fantasma in Mafia Dance",Stavroula Pipyrou,2015,https://link.springer.com/chapter/10.1057/9781137350602_7,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137350602_7
"Movement, Attention, and Intentionality",Stanton B. Garner Jr.,2018,https://link.springer.com/chapter/10.1007/978-3-319-91794-8_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-91794-8_4
Lightweight Ontologies,John Davies,2010,https://link.springer.com/chapter/10.1007/978-90-481-8847-5_9,No PDF available,,,1,2,https://doi.org/10.1007/978-90-481-8847-5_9
Changing Pedagogical Approaches in ‘Ori Tahiti: “Traditional” Dance for a Non-traditional Generation,Jane Freeman Moulin,2016,https://link.springer.com/chapter/10.1007/978-3-319-28989-2_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28989-2_9
"De-creating the Step of the World: Faustin Linyekula and Studios Kabako’s La création du monde 1923–2012, Pour en finir avec Bérénice, and More more more … Future",Adrian Kear,2013,https://link.springer.com/chapter/10.1057/9781137372376_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137372376_6
"De-creating the Step of the World: Faustin Linyekula and Studios Kabako’s La création du monde 1923–2012, Pour en finir avec Bérénice, and More more more … Future",Adrian Kear,2013,https://link.springer.com/chapter/10.1007/978-1-137-37237-6_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-137-37237-6_6
GCM: a grid extension to Fractal for autonomous distributed components,"Françoise Baude,    Denis Caromel…",2009,https://link.springer.com/article/10.1007/s12243-008-0068-8,No PDF available,,,1,31,https://doi.org/10.1007/s12243-008-0068-8
Enhancing Health-Care Services with Mixed Reality Systems,Vladimir Stantchev,2010,https://link.springer.com/chapter/10.1007/978-1-84882-733-2_17,No PDF available,,,1,1,https://doi.org/10.1007/978-1-84882-733-2_17
Rhetoric and reality in women’s studies,Daphne Patai,2001,https://link.springer.com/article/10.1007/s12147-001-0016-7,No PDF available,,,1,1,https://doi.org/10.1007/s12147-001-0016-7
Actors and Audiences: Intermedial Mirror,Aneta Mancewicz,2014,https://link.springer.com/chapter/10.1057/9781137360045_4,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137360045_4
An abstract model of service discovery and binding,"José Luiz Fiadeiro,    Antónia Lopes,    Laura Bocchi",2011,https://link.springer.com/article/10.1007/s00165-010-0166-z,No PDF available,,,1,12,https://doi.org/10.1007/s00165-010-0166-z
Conventional Workflow Technology for Scientific Simulation,"Katharina Görlach,    Mirko Sonntag,    Dimka Karastoyanova,    Frank Leymann…",2011,https://link.springer.com/chapter/10.1007/978-0-85729-439-5_12,No PDF available,,,1,16,https://doi.org/10.1007/978-0-85729-439-5_12
"Encounters, Anecdotes and Insights—Prosthetics, Robotics and Art",Stelarc,2016,https://link.springer.com/chapter/10.1007/978-981-10-0321-9_21,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-981-10-0321-9_21
Analysis of Timing Constraints in Heterogeneous Middleware Interactions,"Ajay Kattepur,    Nikolaos Georgantas,    Georgios Bouloukakis…",2015,https://link.springer.com/chapter/10.1007/978-3-662-48616-0_3,No PDF available,,,1,2,https://doi.org/10.1007/978-3-662-48616-0_3
Practising Place,"Gretchen Schiller,    Sarah Rubidge",2014,https://link.springer.com/chapter/10.1057/9781137385673_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137385673_2
Interdisciplinary Collaborations in the Creation of Digital Dance and Performance: A Critical Examination,"Sarah Whatley,    Amalia G. Sabiescu",2016,https://link.springer.com/chapter/10.1007/978-3-319-29544-2_2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29544-2_2.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-29544-2_2
Realizing the vision for web services: Strategies for dealing with imperfect standards,Sanjay Gosain,2007,https://link.springer.com/article/10.1007/s10796-006-9017-0,No PDF available,,,1,15,https://doi.org/10.1007/s10796-006-9017-0
Runtime Adaptability of Ambient Intelligence Systems Based on Component-Oriented Approach,"Muhammed Cagri Kaya,    Alperen Eroglu…",2019,https://link.springer.com/chapter/10.1007/978-3-030-04173-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-04173-1_4
The Sensoria Reference Modelling Language,"José Fiadeiro,    Antónia Lopes,    Laura Bocchi…",2011,https://link.springer.com/chapter/10.1007/978-3-642-20401-2_5,No PDF available,,,1,6,https://doi.org/10.1007/978-3-642-20401-2_5
All the World’s a Stage: The Street Fighter and the Boxer,Nancy Taylor Porter,2017,https://link.springer.com/chapter/10.1007/978-3-319-57006-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-57006-8_6
Auto-adaptations: Re-‘Writing’ The Dragons’ Trilogy and Needles and Opium for the Twenty-First Century,Melissa Poll,2018,https://link.springer.com/chapter/10.1007/978-3-319-73368-5_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73368-5_6
BPM Meets SOA,Fred A. Cummins,2010,https://link.springer.com/chapter/10.1007/978-3-642-00416-2_21,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-00416-2_21
Modeling Adaptable Business Service for Enterprise Collaboration,"Khouloud Boukadi,    Lucien Vincent…",2009,https://link.springer.com/chapter/10.1007/978-3-642-04568-4_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-04568-4_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-04568-4_6
"Facilitating Change under Environmental Pressure: Leadership, Resourcing, Pace and External Intervention",Joanne Murphy,2013,https://link.springer.com/chapter/10.1057/9781137319456_8,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137319456_8
Standing Still Dancing in a Circle: Performance Dissent and Failed Gestures in Public Protest,Johannes Birringer,2018,https://link.springer.com/chapter/10.1007/978-3-319-78343-7_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-78343-7_5
Odours and Spatialities: Designing Sensory Experiences,Luisa Paraguai,2013,https://link.springer.com/chapter/10.1007/978-3-642-39188-0_58,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-39188-0_58
Introduction: Refashioning Ben Jonson,"Kate Chedgzoy,    Julie Sanders,    Susan Wiseman",1998,https://link.springer.com/chapter/10.1007/978-1-349-26714-9_1,No PDF available,,,1,1,https://doi.org/10.1007/978-1-349-26714-9_1
"Performing the Uncanny: Psychoanalysis, Aesthetics and the Digital Double",Suparna Banerjee,2018,https://link.springer.com/chapter/10.1007/978-3-319-73817-8_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73817-8_3
Ruach Hakodesh: The Epiphanic and Cosmic Nature of Imagination in the Art of Michael Jackson and His Influence on My Image-Making,Constance Pierce,2016,https://link.springer.com/chapter/10.1007/978-3-319-21792-5_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-21792-5_9
Scaling Climate Change: The Transformation of Place in Climate Change Fiction,Antonia Mehnert,2016,https://link.springer.com/chapter/10.1007/978-3-319-40337-3_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-40337-3_3
A Service-oriented Shop Floor to Support Collaboration in Manufacturing Networks,"J. Barata,    L. Ribeiro,    A.-W. Colombo",2010,https://link.springer.com/chapter/10.1007/978-1-84996-119-6_16,No PDF available,,,1,1,https://doi.org/10.1007/978-1-84996-119-6_16
"The Animated Female Body, Feminism(s) and ‘Mushi’",Suzanne Buchan,2018,https://link.springer.com/chapter/10.1007/978-3-319-73873-4_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73873-4_11
Scenographic Dramaturgy & Auteuring Adaptations,Melissa Poll,2018,https://link.springer.com/chapter/10.1007/978-3-319-73368-5_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73368-5_2
Performing Self at the Border,Justine Shih Pearson,2018,https://link.springer.com/chapter/10.1007/978-3-319-69572-3_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-69572-3_4
The Ecological Implications of Spiritual Gestures: Work with Pollen by Wolfgang Laib,Silvia Battista,2018,https://link.springer.com/chapter/10.1007/978-3-319-89758-5_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-89758-5_6
She Wants You to Kiss Her: Negotiating Risk in the Immersive Theatre Contract,Richard Talbot,2016,https://link.springer.com/chapter/10.1057/978-1-137-36604-7_13,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-36604-7_13
