title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
An Agent-Based Approach for the Dynamic and Decentralized Service Reconfiguration in Collaborative Production Scenarios,"Nelson Rodrigues,    Paulo Leitão…",2017,https://link.springer.com/chapter/10.1007/978-3-319-64635-0_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-64635-0_11
A survey of autonomic computing methods in digital service ecosystems,"Dhaminda B. Abeywickrama,    Eila Ovaska",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/content/pdf/10.1007%2Fs11761-016-0203-8.pdf,,,1,1,https://doi.org/10.1007/s11761-016-0203-8
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
Entries,"Harry Liebersohn,    Martin Klimke…",2009,https://link.springer.com/chapter/10.1007/978-1-349-74030-7_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74030-7_1
Decentralized Movement Analysis,Patrick Laube,2014,https://link.springer.com/chapter/10.1007/978-3-319-10268-9_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-10268-9_4
Abstracts of Documents in This Supplement,No author available,1997,https://link.springer.com/chapter/10.1007/978-1-4615-5971-9_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-5971-9_1
Strategies and Concepts to Promote Sustainability,"Wolf-Rüdiger Bretzke,    Karim Barkawi",2013,https://link.springer.com/chapter/10.1007/978-3-642-34375-9_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-34375-9_2
A Decentralized Self-Organized Approach for Wireless Sensor Networks,"Jean-Paul Jamont,    Michel Occello…",2004,https://link.springer.com/chapter/10.1007/1-4020-8149-9_13,https://link.springer.com/content/pdf/10.1007%2F1-4020-8149-9_13.pdf,,,1,No cite count available,https://doi.org/10.1007/1-4020-8149-9_13
DRAAS: Dynamically Reconfigurable Architecture for Autonomic Services,"Emna Mezghani,    Riadh Ben Halima,    Khalil Drira",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7518-7_19,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7518-7_19
Abstracts of Documents in this Supplement,No author available,1995,https://link.springer.com/chapter/10.1007/978-1-4615-1789-4_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-1789-4_1
The Evolution of Innovation Communities: Case Studies,"Klaus Fichter,    Severin Beucker",2012,https://link.springer.com/chapter/10.1007/978-3-642-22128-6_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-22128-6_3
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,Markus Wutzler,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-55961-2_31
Integrating SDN and NFV with QoS-Aware Service Composition,"Valeria Cardellini,    Tihana Galinac Grbac…",2018,https://link.springer.com/chapter/10.1007/978-3-319-90415-3_9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-90415-3_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-90415-3_9
Towards A Dependable Software Paradigm for Service-Oriented Computing,"Xiaoxing Ma,    S.C. Cheung,    Chun Cao,    Feng Xu,    Jian Lu",2009,https://link.springer.com/chapter/10.1007/978-0-387-87658-0_9,No PDF available,,,1,2,https://doi.org/10.1007/978-0-387-87658-0_9
Adaptive and Fault-Tolerant Service Composition in Peer-to-Peer Systems,"Vivian Prinz,    Florian Fuchs,    Peter Ruppel…",2008,https://link.springer.com/chapter/10.1007/978-3-540-68642-2_3,https://link.springer.com/content/pdf/10.1007%2F978-3-540-68642-2_3.pdf,,,1,6,https://doi.org/10.1007/978-3-540-68642-2_3
Development and Runtime Support for Situation-Aware Security in Autonomic Computing,"Stephen S. Yau,    Yisheng Yao,    Min Yan",2006,https://link.springer.com/chapter/10.1007/11839569_17,No PDF available,,,1,2,https://doi.org/10.1007/11839569_17
A next-generation service overlay architecture,"Emmanuel Lavinal,    Noëmie Simoni,    Meng Song…",2009,https://link.springer.com/article/10.1007/s12243-008-0082-x,No PDF available,,,1,12,https://doi.org/10.1007/s12243-008-0082-x
A survey on run-time supporting platforms for cyber physical systems,"Yuan Sun,    Gang Yang,    Xing-she Zhou",2017,https://link.springer.com/article/10.1631/FITEE.1601579,No PDF available,,,1,No cite count available,https://doi.org/10.1631/FITEE.1601579
Contingency Factors of Alliance Governance Systems,Sascha Albers,2005,https://link.springer.com/chapter/10.1007/978-3-658-24711-9_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-24711-9_5
Semantic-Aware Metadata Organization for Exact-Matching Queries,"Yu Hua,    Xue Liu",2019,https://link.springer.com/chapter/10.1007/978-981-13-2721-6_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-981-13-2721-6_4
Federating Process-Centered Environments: The Oz Experience,"Israel Z. Ben-Shaul,    Gail E. Kaiser",1998,https://link.springer.com/chapter/10.1007/978-1-4615-5441-7_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-5441-7_5
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
Middleware-Layer Quality-Aware Collaborative Re-casting of Live Multimedia in Multi-hop Spontaneous Networks,"Paolo Bellavista,    Antonio Corradi…",2015,https://link.springer.com/article/10.1007/s10922-014-9310-z,No PDF available,,,1,5,https://doi.org/10.1007/s10922-014-9310-z
Multiple Mobile Robot Systems,"Lynne E. Parker,    Daniela Rus,    Gaurav S. Sukhatme",2016,https://link.springer.com/chapter/10.1007/978-3-319-32552-1_53,No PDF available,,,1,2,https://doi.org/10.1007/978-3-319-32552-1_53
Autonomic Pervasive and Context-Aware Systems,"David Lewis,    Simon Dobson",2007,https://link.springer.com/article/10.1007/s10922-006-9055-4,No PDF available,,,1,1,https://doi.org/10.1007/s10922-006-9055-4
From Event-Driven Workflows Towards a Posteriori Computing,"Craig A. Lee,    B. Scott Michel,    Ewa Deelman,    Jim Blythe",2006,https://link.springer.com/chapter/10.1007/978-0-387-29445-2_1,No PDF available,,,1,4,https://doi.org/10.1007/978-0-387-29445-2_1
Towards Ambient Networks Management,"Marcus Brunner,    Alex Galis,    Lawrence Cheng…",2005,https://link.springer.com/chapter/10.1007/11569510_21,No PDF available,,,1,5,https://doi.org/10.1007/11569510_21
QoS-Based Elasticity for Service Chains in Distributed Edge Cloud Environments,"Valeria Cardellini,    Tihana Galinac Grbac…",2018,https://link.springer.com/chapter/10.1007/978-3-319-90415-3_8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-90415-3_8.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-90415-3_8
Context-Aware Decentralization Approach for Adaptive BPEL Process in Cloud,"Molka Rekik,    Khouloud Boukadi…",2015,https://link.springer.com/chapter/10.1007/978-3-319-14886-1_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-14886-1_6
"
CM
3, Looking into the Third and Fourth Dimensions of GDSS","B. Gavish,    J. Gerdes Jr.,    S. Sridhar",1994,https://link.springer.com/chapter/10.1007/978-94-011-1132-4_17,No PDF available,,,1,2,https://doi.org/10.1007/978-94-011-1132-4_17
Towards a self-adaptive service-oriented methodology based on extended SOMA,"Alireza Parvizi-Mosaed,    Shahrouz Moaven…",2015,https://link.springer.com/article/10.1631/FITEE.1400040,No PDF available,,,1,2,https://doi.org/10.1631/FITEE.1400040
Cooperative Mobile Robotics: Antecedents and Directions,"Y. Uny Cao,    Andrew B. Kahng,    Alex S. Fukunaga",1997,https://link.springer.com/chapter/10.1007/978-1-4757-6451-2_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4757-6451-2_1
Secure and Customizable EHR Management Services with COASTmed,"Alegria Baquero,    Richard N. Taylor",2017,https://link.springer.com/chapter/10.1007/978-3-319-63194-3_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-63194-3_9
Appraisal and Analysis of Various Self-Adaptive Web Service Composition Approaches,"Doaa H. Elsayed,    Eman S. Nasr…",2017,https://link.springer.com/chapter/10.1007/978-3-319-51310-2_10,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-51310-2_10
Trust Management Model and Architecture for Context-Aware Service Platforms,"Ricardo Neisse,    Maarten Wegdam…",2007,https://link.springer.com/chapter/10.1007/978-3-540-76843-2_47,No PDF available,,,1,7,https://doi.org/10.1007/978-3-540-76843-2_47
