title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
"Abstracts of the 47th Annual Meeting of the EASD, Lisbon 2011",No author available,2011,https://link.springer.com/article/10.1007/s00125-011-2276-4,https://link.springer.com/content/pdf/10.1007%2Fs00125-011-2276-4.pdf,,,1,1,https://doi.org/10.1007/s00125-011-2276-4
Scientific Programme — Abstracts,No author available,2003,https://link.springer.com/article/10.1007/BF03323651,No PDF available,,,1,No cite count available,https://doi.org/10.1007/BF03323651
Abstracts of the 50th EASD Annual Meeting,No author available,2014,https://link.springer.com/article/10.1007/s00125-014-3355-0,https://link.springer.com/content/pdf/10.1007%2Fs00125-014-3355-0.pdf,,,1,2,https://doi.org/10.1007/s00125-014-3355-0
Discrete Event Systems: The State of the Art and New Directions,"Christos G. Cassandras,    Stéphane Lafortune",1999,https://link.springer.com/chapter/10.1007/978-1-4612-0571-5_1,No PDF available,,,1,3,https://doi.org/10.1007/978-1-4612-0571-5_1
40th EASD Annual Meeting of the European Association for the Study of Diabetes,"M. Veitenhansl,    K. Stegner,    F.-X. Hierl,    C. Dieterle,    H. Feldmeier,    B. Gutt…",2004,https://link.springer.com/article/10.1007/BF03375463,No PDF available,,,1,4,https://doi.org/10.1007/BF03375463
Contemporary Architects,Muriel Emanuel,1980,https://link.springer.com/chapter/10.1007/978-1-349-04184-8_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-04184-8_1
Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2012,https://link.springer.com/article/10.1007/s00125-012-2688-9,https://link.springer.com/content/pdf/10.1007%2Fs00125-012-2688-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s00125-012-2688-9
Abstracts from the 35th Annual Meeting of the Society of General Internal Medicine,No author available,2012,https://link.springer.com/article/10.1007/s11606-012-2038-0,No PDF available,,,1,1,https://doi.org/10.1007/s11606-012-2038-0
Abstracts Scientific Papers Honorary Lectures Categorical Courses Workshops State-of-the-Art Symposia,No author available,1999,https://link.springer.com/article/10.1007/BF03323585,No PDF available,,,1,No cite count available,https://doi.org/10.1007/BF03323585
ECR 2013 Book of Abstracts - B - Scientific Sessions,No author available,2013,https://link.springer.com/article/10.1007/s13244-013-0228-x,https://link.springer.com/content/pdf/10.1007%2Fs13244-013-0228-x.pdf,,,1,No cite count available,https://doi.org/10.1007/s13244-013-0228-x
Scientific and Educational Exhibits,No author available,2009,https://link.springer.com/article/10.1007/s00330-009-1376-8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00330-009-1376-8
"Healthy Living: The European Congress of Epidemiology, 2015","Esther Bols,    Luc Smits,    Matty Weijenberg",2015,https://link.springer.com/article/10.1007/s10654-015-0072-z,No PDF available,,,1,3,https://doi.org/10.1007/s10654-015-0072-z
38th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2002,https://link.springer.com/article/10.1007/BF03375460,No PDF available,,,1,1,https://doi.org/10.1007/BF03375460
B scientific sessions (SS),No author available,2002,https://link.springer.com/article/10.1007/s00330-002-0002-9,No PDF available,,,1,6,https://doi.org/10.1007/s00330-002-0002-9
Meeting abstracts from International Conference on Prevention & Infection Control (ICPIC 2017),No author available,2017,https://link.springer.com/article/10.1186/s13756-017-0201-4,https://link.springer.com/content/pdf/10.1186%2Fs13756-017-0201-4.pdf,,,1,2,https://doi.org/10.1186/s13756-017-0201-4
ECR 2011 Book of Abstracts - B - Scientific Sessions,No author available,2011,https://link.springer.com/article/10.1007/s13244-011-0077-4,https://link.springer.com/content/pdf/10.1007%2Fs13244-011-0077-4.pdf,,,1,No cite count available,https://doi.org/10.1007/s13244-011-0077-4
Abstracts,No author available,2018,https://link.springer.com/article/10.1007/s00292-018-0442-x,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00292-018-0442-x
Scientific Sessions,No author available,2008,https://link.springer.com/article/10.1007/s10406-008-0002-1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s10406-008-0002-1
Introduction: Human and Computational Mind,No author available,2007,https://link.springer.com/chapter/10.1007/978-3-540-71561-0_1,No PDF available,,,1,4,https://doi.org/10.1007/978-3-540-71561-0_1
A software architecture centric engineering approach for Internetware,"Hong Mei,    Gang Huang,    Haiyan Zhao…",2006,https://link.springer.com/article/10.1007/s11432-006-2027-1,No PDF available,,,1,21,https://doi.org/10.1007/s11432-006-2027-1
Abstracts,No author available,2017,https://link.springer.com/article/10.1007/s00292-017-0295-8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00292-017-0295-8
Scientific and Educational Exhibits,No author available,2008,https://link.springer.com/article/10.1007/s10406-008-0003-0,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s10406-008-0003-0
Abstracts,No author available,2012,https://link.springer.com/article/10.1007/s12291-013-0298-z,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s12291-013-0298-z
2D decision-making for multicriteria design optimization,"Alexander Engau,    Margaret M. Wiecek",2007,https://link.springer.com/article/10.1007/s00158-006-0078-y,No PDF available,,,1,19,https://doi.org/10.1007/s00158-006-0078-y
International Surgical Week ISW 2011,No author available,2011,https://link.springer.com/article/10.1007/s00268-011-1190-8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00268-011-1190-8
"More than Cleggmania? The Celebrity Politician, Presidentialization and the UK 2010 Televised Leader Debates",Neil Washbourne,2013,https://link.springer.com/chapter/10.1057/9781137273321_6,No PDF available,,,1,1,https://doi.org/10.1057/9781137273321_6
Dynamic Imputation of Agent Cognition,"H. Van Dyke Parunak,    Sven A. Brueckner",2004,https://link.springer.com/chapter/10.1007/978-3-540-25928-2_17,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-25928-2_17
Dictionary of pharmaceutical medicine,Dr. med. Dr. phil. Gerhard Nahler,1994,https://link.springer.com/chapter/10.1007/978-3-7091-4016-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-7091-4016-1_1
Governance and its Emergence in the OECD,Leslie A. Pal,2012,https://link.springer.com/chapter/10.1057/9780230369016_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230369016_2
Data Privacy: the UK Experience,"Chris Edwards,    Nigel Savage",1990,https://link.springer.com/chapter/10.1007/978-1-349-11768-0_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-11768-0_5
Centennial Representations in Fiction and Film,Ludmilla A. Trigos,2009,https://link.springer.com/chapter/10.1057/9780230104716_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230104716_5
Scientific Sessions (SS),No author available,2000,https://link.springer.com/article/10.1007/BF03355051,No PDF available,,,1,No cite count available,https://doi.org/10.1007/BF03355051
Is All Corruption Bad? Understanding Individual and Organisational Vested Self-Interest,"Graham Brooks,    David Walsh,    Chris Lewis,    Hakkyong Kim",2013,https://link.springer.com/chapter/10.1057/9781137023865_10,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137023865_10
"Inequality, Security and Violence",Gjermund Sæther,2001,https://link.springer.com/article/10.1080/09578810108426787,No PDF available,,,1,No cite count available,https://doi.org/10.1080/09578810108426787
S,Stewart Fist,1996,https://link.springer.com/chapter/10.1007/978-1-4615-2093-1_20,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-2093-1_20
