title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A Decentralized Approach to Network-Aware Service Composition,"Valeria Cardellini,    Mirko D’Angelo,    Vincenzo Grassi…",2015,https://link.springer.com/chapter/10.1007/978-3-319-24072-5_3,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-24072-5_3
Decentralized service discovery and selection in Internet of Things applications based on artificial potential fields,"Elli Rapti,    Anthony Karageorgos…",2017,https://link.springer.com/article/10.1007/s11761-016-0198-1,No PDF available,,,1,6,https://doi.org/10.1007/s11761-016-0198-1
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
Decentralized Dynamic Adaptation for Service-Based Collective Adaptive Systems,"Antonio Bucchiarone,    Martina De Sanctis…",2017,https://link.springer.com/chapter/10.1007/978-3-319-68136-8_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68136-8_1
A peer-to-peer-based multi-agent framework for decentralized grid workflow management in collaborative design,"J. W. Yin,    W. Y. Zhang,    Y. Li,    H. W. Chen",2009,https://link.springer.com/article/10.1007/s00170-008-1482-9,No PDF available,,,1,10,https://doi.org/10.1007/s00170-008-1482-9
An Agent-Based Approach for the Dynamic and Decentralized Service Reconfiguration in Collaborative Production Scenarios,"Nelson Rodrigues,    Paulo Leitão…",2017,https://link.springer.com/chapter/10.1007/978-3-319-64635-0_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-64635-0_11
"
DEPAS: a decentralized probabilistic algorithm for auto-scaling","Nicolò M. Calcavecchia,    Bogdan A. Caprarescu,    Elisabetta Di Nitto…",2012,https://link.springer.com/article/10.1007/s00607-012-0198-8,No PDF available,,,1,17,https://doi.org/10.1007/s00607-012-0198-8
A survey of autonomic computing methods in digital service ecosystems,"Dhaminda B. Abeywickrama,    Eila Ovaska",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/content/pdf/10.1007%2Fs11761-016-0203-8.pdf,,,1,1,https://doi.org/10.1007/s11761-016-0203-8
Abstracts of Documents in This Supplement,No author available,1997,https://link.springer.com/chapter/10.1007/978-1-4615-5971-9_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-5971-9_1
Strategies and Concepts to Promote Sustainability,"Wolf-Rüdiger Bretzke,    Karim Barkawi",2013,https://link.springer.com/chapter/10.1007/978-3-642-34375-9_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-34375-9_2
A Self-organizing Sensing System for Structural Health Monitoring of Aerospace Vehicles,"N. Hoschke,    C. J. Lewis,    D. C. Price…",2008,https://link.springer.com/chapter/10.1007/978-1-84628-982-8_4,No PDF available,,,1,3,https://doi.org/10.1007/978-1-84628-982-8_4
Entries,"Harry Liebersohn,    Martin Klimke…",2009,https://link.springer.com/chapter/10.1007/978-1-349-74030-7_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74030-7_1
On Patterns for Decentralized Control in Self-Adaptive Systems,"Danny Weyns,    Bradley Schmerl…",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_4,No PDF available,,,1,69,https://doi.org/10.1007/978-3-642-35813-5_4
A Dynamic Service Composition Model for Adaptive Systems in Mobile Computing Environments,"Nanxi Chen,    Siobhán Clarke",2014,https://link.springer.com/chapter/10.1007/978-3-662-45391-9_7,No PDF available,,,1,2,https://doi.org/10.1007/978-3-662-45391-9_7
A Decentralized Access Control Model for Dynamic Collaboration of Autonomous Peers,"Stefan Craß,    Gerson Joskowicz,    Eva Kühn",2015,https://link.springer.com/chapter/10.1007/978-3-319-28865-9_28,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28865-9_28
Decentralized Business Process Modeling and Enactment: ICT Architecture Topologies and Decision Methods,"Bernhard Bauer,    Jörg P. Müller,    Stephan Roser",2008,https://link.springer.com/chapter/10.1007/978-3-540-79043-3_1,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-79043-3_1
QoS aware descriptions for RESTful service composition: security domain,"Cristian Sepulveda,    Rosa Alarcon,    Jesus Bellido",2015,https://link.springer.com/article/10.1007/s11280-014-0278-0,No PDF available,,,1,8,https://doi.org/10.1007/s11280-014-0278-0
"
iCompose: context-aware physical user interface for application composition","Oleg Davidyuk,    Ekaterina Gilman…",2011,https://link.springer.com/article/10.2478/s13537-011-0031-z,No PDF available,,,1,No cite count available,https://doi.org/10.2478/s13537-011-0031-z
Abstracts of Documents in this Supplement,No author available,1995,https://link.springer.com/chapter/10.1007/978-1-4615-1789-4_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-1789-4_1
Service-oriented middleware for the Future Internet: state of the art and research directions,"Valérie Issarny,    Nikolaos Georgantas…",2011,https://link.springer.com/article/10.1007/s13174-011-0021-3,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0021-3.pdf,,,1,68,https://doi.org/10.1007/s13174-011-0021-3
Environmental tax and productivity in a decentralized context: new findings on the Porter hypothesis,"Anabel Zárate-Marco,    Jaime Vallés-Giménez",2015,https://link.springer.com/article/10.1007/s10657-013-9400-5,No PDF available,,,1,4,https://doi.org/10.1007/s10657-013-9400-5
Middleware Support for Context-Aware Applications,"Patrick Th. Eugster,    Benoît Garbinato…",2009,https://link.springer.com/chapter/10.1007/978-3-540-89707-1_14,No PDF available,,,1,3,https://doi.org/10.1007/978-3-540-89707-1_14
A decentralised service composition approach for peer-to-peer video delivery,"Michael Kleis,    Benoit Radier,    Sanaa Elmoumouhi…",2010,https://link.springer.com/article/10.1007/s12083-009-0057-3,No PDF available,,,1,3,https://doi.org/10.1007/s12083-009-0057-3
Efficient Resource-Aware Hybrid Configuration of Distributed Pervasive Applications,"Stephan Schuhmann,    Klaus Herrmann,    Kurt Rothermel",2010,https://link.springer.com/chapter/10.1007/978-3-642-12654-3_22,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-12654-3_22
Decentralized Cyber-Physical Systems: A Paradigm for Cloud-Based Smart Factory of Industry 4.0,"Zhinan Zhang,    Xiang Li,    Xin Wang,    Hui Cheng",2017,https://link.springer.com/chapter/10.1007/978-3-319-50660-9_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-50660-9_6
A Home-Automation Platform towards Ubiquitous Spaces Based on a Decentralized P2P Architecture,"Sandra S. Rodríguez,    Juan A. Holgado",2009,https://link.springer.com/chapter/10.1007/978-3-540-85863-8_36,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-85863-8_36
Adaptive and Fault-Tolerant Service Composition in Peer-to-Peer Systems,"Vivian Prinz,    Florian Fuchs,    Peter Ruppel…",2008,https://link.springer.com/chapter/10.1007/978-3-540-68642-2_3,https://link.springer.com/content/pdf/10.1007%2F978-3-540-68642-2_3.pdf,,,1,6,https://doi.org/10.1007/978-3-540-68642-2_3
QoS-Aware Service Composition for Large-Scale Peer-to-Peer Systems,"Xiaohui Gu,    Klara Nahrstedt",2004,https://link.springer.com/chapter/10.1007/978-1-4615-0509-9_24,No PDF available,,,1,2,https://doi.org/10.1007/978-1-4615-0509-9_24
Decentralized Movement Analysis,Patrick Laube,2014,https://link.springer.com/chapter/10.1007/978-3-319-10268-9_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-10268-9_4
A decentralized execution model for inter-organizational workflows,"Vijayalakshmi Atluri,    Soon Ae Chun,    Ravi Mukkamala…",2007,https://link.springer.com/article/10.1007/s10619-007-7012-1,No PDF available,,,1,13,https://doi.org/10.1007/s10619-007-7012-1
Synergy: Sharing-Aware Component Composition for Distributed Stream Processing Systems,"Thomas Repantis,    Xiaohui Gu,    Vana Kalogeraki",2006,https://link.springer.com/chapter/10.1007/11925071_17,https://link.springer.com/content/pdf/10.1007%2F11925071_17.pdf,,,1,5,https://doi.org/10.1007/11925071_17
A Decentralized Self-Organized Approach for Wireless Sensor Networks,"Jean-Paul Jamont,    Michel Occello…",2004,https://link.springer.com/chapter/10.1007/1-4020-8149-9_13,https://link.springer.com/content/pdf/10.1007%2F1-4020-8149-9_13.pdf,,,1,No cite count available,https://doi.org/10.1007/1-4020-8149-9_13
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
An Agent-Based Services Composition Framework for Ubiquitous Media,"Hui Wang,    Yuhui Zhao,    Deguo Yang,    Cuirong Wang…",2006,https://link.springer.com/chapter/10.1007/11802372_46,No PDF available,,,1,No cite count available,https://doi.org/10.1007/11802372_46
Decentralized Governance of Distributed Systems via Interaction Control,Naftaly H. Minsky,2012,https://link.springer.com/chapter/10.1007/978-3-642-29414-3_20,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-29414-3_20
Activity Coordination in Decentralized Working Environments,Uwe Busbach,1996,https://link.springer.com/chapter/10.1007/978-1-4471-1496-3_9,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4471-1496-3_9
State of the Art in Architectures for Self-aware Computing Systems,"Holger Giese,    Thomas Vogel,    Ada Diaconescu,    Sebastian Götz…",2017,https://link.springer.com/chapter/10.1007/978-3-319-47474-8_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-47474-8_8
Decentralized Reputation-Based Trust for Assessing Agent Reliability Under Aggregate Feedback,"Tomas B. Klos,    Han La Poutré",2005,https://link.springer.com/chapter/10.1007/11532095_7,No PDF available,,,1,6,https://doi.org/10.1007/11532095_7
