title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Approach and Refinement Strategies for Flexible Choreography Enactment,"Andreas Weiß,    Santiago Gómez Sáez…",2014,https://link.springer.com/chapter/10.1007/978-3-662-45563-0_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-662-45563-0_6
Component-Oriented Approaches to Context-Aware Computing,Simon Dobson,2005,https://link.springer.com/chapter/10.1007/978-3-540-30554-5_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-30554-5_9
A systematic literature review of service choreography adaptation,"Leonardo A. F. Leite,    Gustavo Ansaldi Oliva…",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,No PDF available,,,1,13,https://doi.org/10.1007/s11761-012-0125-z
A context-aware framework for dynamic composition of process fragments in the internet of services,"Antonio Bucchiarone,    Annapaola Marconi…",2017,https://link.springer.com/article/10.1186/s13174-017-0057-0,https://link.springer.com/content/pdf/10.1186%2Fs13174-017-0057-0.pdf,,,1,4,https://doi.org/10.1186/s13174-017-0057-0
Service-oriented middleware for the Future Internet: state of the art and research directions,"Valérie Issarny,    Nikolaos Georgantas…",2011,https://link.springer.com/article/10.1007/s13174-011-0021-3,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0021-3.pdf,,,1,68,https://doi.org/10.1007/s13174-011-0021-3
Towards Modeling and Execution of Collective Adaptive Systems,"Vasilios Andrikopoulos,    Antonio Bucchiarone…",2014,https://link.springer.com/chapter/10.1007/978-3-319-06859-6_7,No PDF available,,,1,5,https://doi.org/10.1007/978-3-319-06859-6_7
A Requirements-Led Approach for Specifying QoS-Aware Service Choreographies: An Experience Report,"Neil Maiden,    James Lockerbie…",2014,https://link.springer.com/chapter/10.1007/978-3-319-05843-6_18,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-05843-6_18
Modeling of Context-Aware Self-Adaptive Applications in Ubiquitous and Service-Oriented Environments,"Kurt Geihs,    Roland Reichle,    Michael Wagner…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02161-9_8,No PDF available,,,1,11,https://doi.org/10.1007/978-3-642-02161-9_8
Toward the use of Petri nets for the formalization of OWL-S choreographies,"Juan C. Vidal,    Manuel Lama,    Alberto Bugarín",2012,https://link.springer.com/article/10.1007/s10115-011-0451-z,No PDF available,,,1,5,https://doi.org/10.1007/s10115-011-0451-z
"A journey to highly dynamic, self-adaptive service-based applications","Elisabetta Di Nitto,    Carlo Ghezzi,    Andreas Metzger…",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,No PDF available,,,1,137,https://doi.org/10.1007/s10515-008-0032-x
A distributed product development architecture for engineering collaborations across ubiquitous virtual enterprises,Jae Yeol Lee…,2007,https://link.springer.com/article/10.1007/s00170-006-0443-4,No PDF available,,,1,12,https://doi.org/10.1007/s00170-006-0443-4
eBusiness,"Christoph Grün,    Christian Huemer,    Philipp Liegl…",2011,https://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_19,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-92913-0_19
Developing highly complex distributed systems: a software engineering perspective,"Marco Autili,    Paola Inverardi…",2012,https://link.springer.com/article/10.1007/s13174-011-0048-5,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0048-5.pdf,,,1,3,https://doi.org/10.1007/s13174-011-0048-5
Formalising Security in Ubiquitous and Cloud Scenarios,"Chiara Bodei,    Pierpaolo Degano…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33260-9_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33260-9_1.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33260-9_1
Research on Mobile Internet Services Personalization Principles,"Anliang Ning,    Xiaojing Li,    Chunxian Wang,    Ping Wang…",2011,https://link.springer.com/chapter/10.1007/978-3-642-21765-4_67,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-21765-4_67
On leveraging the fruits of research efforts in the arena of business process modeling formalisms: a map-driven approach for decision making,"Afef Awadid,    Selmin Nurcan,    Sonia Ayachi Ghannouchi",2018,https://link.springer.com/article/10.1007/s10270-018-0689-y,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s10270-018-0689-y
Semantic Web Services,"Carlos Pedrinaci,    John Domingue,    Amit P. Sheth",2011,https://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_22,No PDF available,,,1,9,https://doi.org/10.1007/978-3-540-92913-0_22
"
AIOCJ: A Choreographic Framework for Safe Adaptive Distributed Applications","Mila Dalla Preda,    Saverio Giallorenzo,    Ivan Lanese…",2014,https://link.springer.com/chapter/10.1007/978-3-319-11245-9_9,No PDF available,,,1,15,https://doi.org/10.1007/978-3-319-11245-9_9
Highly Available Location-Based Services in Mobile Environments,"Peter Ibach,    Matthias Horbank",2005,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,No PDF available,,,1,3,https://doi.org/10.1007/978-3-540-30225-4_10
Seven Contexts for Service System Design,Robert J. Glushko,2010,https://link.springer.com/chapter/10.1007/978-1-4419-1628-0_11,No PDF available,,,1,27,https://doi.org/10.1007/978-1-4419-1628-0_11
DAMASCo: A Framework for the Automatic Composition of Component-Based and Service-Oriented Architectures,"Javier Cubo,    Ernesto Pimentel",2011,https://link.springer.com/chapter/10.1007/978-3-642-23798-0_41,No PDF available,,,1,8,https://doi.org/10.1007/978-3-642-23798-0_41
A monitoring approach for runtime service discovery,"K. Mahbub,    G. Spanoudakis,    A. Zisman",2011,https://link.springer.com/article/10.1007/s10515-010-0077-5,No PDF available,,,1,9,https://doi.org/10.1007/s10515-010-0077-5
Analytical Quality Assurance,"Andreas Metzger,    Salima Benbernou…",2010,https://link.springer.com/chapter/10.1007/978-3-642-17599-2_7,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-17599-2_7
Engineering of Software-Intensive Systems: State of the Art and Research Challenges,"Matthias Hölzl,    Axel Rauschmayer…",2008,https://link.springer.com/chapter/10.1007/978-3-540-89437-7_1,No PDF available,,,1,13,https://doi.org/10.1007/978-3-540-89437-7_1
Mobile Process Description and Execution,"Christian P. Kunze,    Sonja Zaplata…",2006,https://link.springer.com/chapter/10.1007/11773887_3,https://link.springer.com/content/pdf/10.1007%2F11773887_3.pdf,,,1,4,https://doi.org/10.1007/11773887_3
DRAAS: Dynamically Reconfigurable Architecture for Autonomic Services,"Emna Mezghani,    Riadh Ben Halima,    Khalil Drira",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7518-7_19,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7518-7_19
Pattern-based e-service modelling for virtual service enterprises,"Christian Zirpins,    Wolfgang Emmerich",2009,https://link.springer.com/article/10.1007/s11761-009-0039-6,No PDF available,,,1,1,https://doi.org/10.1007/s11761-009-0039-6
Personalized Service Creation and Provision for the Mobile Web,"Quan Z. Sheng,    Jian Yu,    José M. del Álamo…",2009,https://link.springer.com/chapter/10.1007/978-3-642-00570-1_6,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-00570-1_6
Designing Web Applications with Webml and Webratio,"Marco Brambilla,    Sara Comai…",2008,https://link.springer.com/chapter/10.1007/978-1-84628-923-1_9,No PDF available,,,1,2,https://doi.org/10.1007/978-1-84628-923-1_9
