title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Approach and Refinement Strategies for Flexible Choreography Enactment,"Andreas Weiß,    Santiago Gómez Sáez…",2014,https://link.springer.com/chapter/10.1007/978-3-662-45563-0_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-662-45563-0_6
Towards a Decision-Support System for Selecting the Appropriate Business Process Modeling Formalism: A Context-Aware Roadmap,"Afef Awadid,    Selmin Nurcan…",2017,https://link.springer.com/chapter/10.1007/978-3-319-59466-8_15,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-59466-8_15
Component-Oriented Approaches to Context-Aware Computing,Simon Dobson,2005,https://link.springer.com/chapter/10.1007/978-3-540-30554-5_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-30554-5_9
A context-aware framework for dynamic composition of process fragments in the internet of services,"Antonio Bucchiarone,    Annapaola Marconi…",2017,https://link.springer.com/article/10.1186/s13174-017-0057-0,https://link.springer.com/content/pdf/10.1186%2Fs13174-017-0057-0.pdf,,,1,4,https://doi.org/10.1186/s13174-017-0057-0
A systematic literature review of service choreography adaptation,"Leonardo A. F. Leite,    Gustavo Ansaldi Oliva…",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,No PDF available,,,1,13,https://doi.org/10.1007/s11761-012-0125-z
Service-oriented middleware for the Future Internet: state of the art and research directions,"Valérie Issarny,    Nikolaos Georgantas…",2011,https://link.springer.com/article/10.1007/s13174-011-0021-3,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0021-3.pdf,,,1,68,https://doi.org/10.1007/s13174-011-0021-3
Towards Modeling and Execution of Collective Adaptive Systems,"Vasilios Andrikopoulos,    Antonio Bucchiarone…",2014,https://link.springer.com/chapter/10.1007/978-3-319-06859-6_7,No PDF available,,,1,5,https://doi.org/10.1007/978-3-319-06859-6_7
Modeling of Context-Aware Self-Adaptive Applications in Ubiquitous and Service-Oriented Environments,"Kurt Geihs,    Roland Reichle,    Michael Wagner…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02161-9_8,No PDF available,,,1,11,https://doi.org/10.1007/978-3-642-02161-9_8
Requirements to Services: A Model to Automate Service Discovery and Dynamic Choreography from Service Version Database,"Swapan Bhattacharya,    Ananya Kanjilal…",2017,https://link.springer.com/chapter/10.1007/978-3-319-51310-2_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-51310-2_7
A Requirements-Led Approach for Specifying QoS-Aware Service Choreographies: An Experience Report,"Neil Maiden,    James Lockerbie…",2014,https://link.springer.com/chapter/10.1007/978-3-319-05843-6_18,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-05843-6_18
