title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A systematic literature review of service choreography adaptation,"Leonardo A. F. Leite,    Gustavo Ansaldi Oliva…",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,No PDF available,,,1,13,https://doi.org/10.1007/s11761-012-0125-z
Modeling of Context-Aware Self-Adaptive Applications in Ubiquitous and Service-Oriented Environments,"Kurt Geihs,    Roland Reichle,    Michael Wagner…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02161-9_8,No PDF available,,,1,11,https://doi.org/10.1007/978-3-642-02161-9_8
DRAAS: Dynamically Reconfigurable Architecture for Autonomic Services,"Emna Mezghani,    Riadh Ben Halima,    Khalil Drira",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7518-7_19,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7518-7_19
Engineering Reconfigurable Distributed Software Systems: Issues Arising for Pervasive Computing,"Apostolos Zarras,    Manel Fredj…",2006,https://link.springer.com/chapter/10.1007/11916246_19,No PDF available,,,1,5,https://doi.org/10.1007/11916246_19
Self-configuration in MANETs: Different Perspectives,"Jing Wang,    R. Venkatesha Prasad,    Ignas Niemegeers",2007,https://link.springer.com/chapter/10.1007/978-3-540-74917-2_18,No PDF available,,,1,5,https://doi.org/10.1007/978-3-540-74917-2_18
Modeling Adaptable Business Service for Enterprise Collaboration,"Khouloud Boukadi,    Lucien Vincent…",2009,https://link.springer.com/chapter/10.1007/978-3-642-04568-4_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-04568-4_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-04568-4_6
Enhancing Health-Care Services with Mixed Reality Systems,Vladimir Stantchev,2010,https://link.springer.com/chapter/10.1007/978-1-84882-733-2_17,No PDF available,,,1,1,https://doi.org/10.1007/978-1-84882-733-2_17
ICT Tools for Collaborative Product/Process Design and Innovation Process,No author available,2009,https://link.springer.com/chapter/10.1007/978-1-84882-545-1_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-84882-545-1_5
Towards a Reusable Design of a Positioning System for AAL Environments,"Tomás Ruiz-López,    Carlos Rodríguez-Domínguez…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33533-4_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-33533-4_6
Runtime Adaptability of Ambient Intelligence Systems Based on Component-Oriented Approach,"Muhammed Cagri Kaya,    Alperen Eroglu…",2019,https://link.springer.com/chapter/10.1007/978-3-030-04173-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-04173-1_4
Adaptation Goals for Adaptive Service-Oriented Architectures,"Luciano Baresi,    Liliana Pasquale",2011,https://link.springer.com/chapter/10.1007/978-3-642-21001-3_10,No PDF available,,,1,6,https://doi.org/10.1007/978-3-642-21001-3_10
Thematic series on Verification and Composition for the Internet of Services and Things,"Marco Autili,    Dimitra Giannakopoulou…",2018,https://link.springer.com/article/10.1186/s13174-018-0080-9,https://link.springer.com/content/pdf/10.1186%2Fs13174-018-0080-9.pdf,,,1,No cite count available,https://doi.org/10.1186/s13174-018-0080-9
Run-time architectural modeling for future internet applications,"Marina Mongiello,    Simona Colucci,    Elvis Vogli…",2016,https://link.springer.com/article/10.1007/s40747-016-0020-x,https://link.springer.com/content/pdf/10.1007%2Fs40747-016-0020-x.pdf,,,1,No cite count available,https://doi.org/10.1007/s40747-016-0020-x
Interoperability in Smart Automation of Cyber Physical Systems,"Daniel Schilberg,    Max Hoffmann,    Sebastian Schmitz…",2017,https://link.springer.com/chapter/10.1007/978-3-319-42559-7_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-42559-7_10
Robot UI,"Curime Batliner,    Michael Jake Newsum…",2016,https://link.springer.com/chapter/10.1007/978-3-319-26378-6_30,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-26378-6_30
