title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware Support for Context-Aware Applications,"Patrick Th. Eugster,    Benoît Garbinato…",2009,https://link.springer.com/chapter/10.1007/978-3-540-89707-1_14,No PDF available,,,1,3,https://doi.org/10.1007/978-3-540-89707-1_14
"
iCompose: context-aware physical user interface for application composition","Oleg Davidyuk,    Ekaterina Gilman…",2011,https://link.springer.com/article/10.2478/s13537-011-0031-z,No PDF available,,,1,No cite count available,https://doi.org/10.2478/s13537-011-0031-z
Decentralized Dynamic Adaptation for Service-Based Collective Adaptive Systems,"Antonio Bucchiarone,    Martina De Sanctis…",2017,https://link.springer.com/chapter/10.1007/978-3-319-68136-8_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68136-8_1
A peer-to-peer-based multi-agent framework for decentralized grid workflow management in collaborative design,"J. W. Yin,    W. Y. Zhang,    Y. Li,    H. W. Chen",2009,https://link.springer.com/article/10.1007/s00170-008-1482-9,No PDF available,,,1,10,https://doi.org/10.1007/s00170-008-1482-9
Enabling context-aware multimedia annotation by a novel generic semantic problem-solving platform,"Ruben Verborgh,    Davy Van Deursen,    Erik Mannens…",2012,https://link.springer.com/article/10.1007/s11042-010-0709-6,No PDF available,,,1,7,https://doi.org/10.1007/s11042-010-0709-6
A Context-Aware Trust Model for Service-Oriented Multi-Agent Systems,"Kaiyu Wan,    Vasu Alagar",2009,https://link.springer.com/chapter/10.1007/978-3-642-01247-1_23,https://link.springer.com/content/pdf/10.1007%2F978-3-642-01247-1_23.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-01247-1_23
Lightweight Composition of Ad-Hoc Enterprise-Class Applications with Context-Aware Enterprise Mashups,"Florian Gilles,    Volker Hoyer,    Till Janner…",2010,https://link.springer.com/chapter/10.1007/978-3-642-16132-2_48,https://link.springer.com/content/pdf/10.1007%2F978-3-642-16132-2_48.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-16132-2_48
Pervaho: A specialized middleware for mobile context-aware applications,"Patrick Eugster,    Benoît Garbinato,    Adrian Holzer",2009,https://link.springer.com/article/10.1007/s10660-009-9042-4,No PDF available,,,1,7,https://doi.org/10.1007/s10660-009-9042-4
A Decentralized Access Control Model for Dynamic Collaboration of Autonomous Peers,"Stefan Craß,    Gerson Joskowicz,    Eva Kühn",2015,https://link.springer.com/chapter/10.1007/978-3-319-28865-9_28,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28865-9_28
An adaptively emerging mechanism for context-aware service selections regulated by feedback distributions,"Yishui Zhu,    Qun Jin",2012,https://link.springer.com/article/10.1186/2192-1962-2-15,https://link.springer.com/content/pdf/10.1186%2F2192-1962-2-15.pdf,,,1,9,https://doi.org/10.1186/2192-1962-2-15
Trust Management Model and Architecture for Context-Aware Service Platforms,"Ricardo Neisse,    Maarten Wegdam…",2007,https://link.springer.com/chapter/10.1007/978-3-540-76843-2_47,No PDF available,,,1,7,https://doi.org/10.1007/978-3-540-76843-2_47
A Trust-Based Context-Aware Access Control Model for Web-Services,"Rafae Bhatti,    Elisa Bertino,    Arif Ghafoor",2005,https://link.springer.com/article/10.1007/s10619-005-1075-7,No PDF available,,,1,66,https://doi.org/10.1007/s10619-005-1075-7
A survey of autonomic computing methods in digital service ecosystems,"Dhaminda B. Abeywickrama,    Eila Ovaska",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/content/pdf/10.1007%2Fs11761-016-0203-8.pdf,,,1,1,https://doi.org/10.1007/s11761-016-0203-8
A context-aware convention formation framework for large-scale networks,"Mohammad Rashedul Hasan,    Anita Raja…",2019,https://link.springer.com/article/10.1007/s10458-018-9397-9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s10458-018-9397-9
A Home-Automation Platform towards Ubiquitous Spaces Based on a Decentralized P2P Architecture,"Sandra S. Rodríguez,    Juan A. Holgado",2009,https://link.springer.com/chapter/10.1007/978-3-540-85863-8_36,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-85863-8_36
A breadboard architecture for pervasive context-aware services in smart spaces: middleware components and prototype applications,"John Soldatos,    Nikolaos Dimakis,    Kostas Stamatis…",2007,https://link.springer.com/article/10.1007/s00779-006-0102-7,No PDF available,,,1,19,https://doi.org/10.1007/s00779-006-0102-7
Context-Aware Decision Support in Dynamic Environments: Theoretical and Technological Foundations,"Alexander Smirnov,    Tatiana Levashova…",2015,https://link.springer.com/chapter/10.1007/978-3-319-11457-6_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-11457-6_1
Service-oriented middleware for the Future Internet: state of the art and research directions,"Valérie Issarny,    Nikolaos Georgantas…",2011,https://link.springer.com/article/10.1007/s13174-011-0021-3,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0021-3.pdf,,,1,68,https://doi.org/10.1007/s13174-011-0021-3
Privacy in Georeferenced Context-Aware Services: A Survey,"Daniele Riboni,    Linda Pareschi,    Claudio Bettini",2009,https://link.springer.com/chapter/10.1007/978-3-642-03511-1_7,No PDF available,,,1,8,https://doi.org/10.1007/978-3-642-03511-1_7
"Big Data Analytics and Context-Aware Computing: Core Enabling Technologies, Techniques, Processes, and Systems",Simon Elias Bibri,2018,https://link.springer.com/chapter/10.1007/978-3-319-73981-6_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73981-6_3
On Patterns for Decentralized Control in Self-Adaptive Systems,"Danny Weyns,    Bradley Schmerl…",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_4,No PDF available,,,1,69,https://doi.org/10.1007/978-3-642-35813-5_4
MoCoA: Customisable Middleware for Context-Aware Mobile Applications,"Aline Senart,    Raymond Cunningham…",2006,https://link.springer.com/chapter/10.1007/11914952_47,No PDF available,,,1,6,https://doi.org/10.1007/11914952_47
AutoMate: Enabling Autonomic Applications on the Grid,"M. Parashar,    H. Liu,    Z. Li,    V. Matossian,    C. Schmidt,    G. Zhang…",2006,https://link.springer.com/article/10.1007/s10586-006-7561-5,No PDF available,,,1,36,https://doi.org/10.1007/s10586-006-7561-5
Spatial Footprints of Context-Aware Digital Services. Eventual Self-regulated Alignments of Dating Apps with the Urban Shape,"Iñigo Lorente-Riverola,    Javier Ruiz-Sánchez",2018,https://link.springer.com/chapter/10.1007/978-3-319-75774-2_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-75774-2_10
Semantic Web Service Execution,"Luis M. Botelho,    António L. Lopes…",2008,https://link.springer.com/chapter/10.1007/978-3-7643-8575-0_12,No PDF available,,,1,1,https://doi.org/10.1007/978-3-7643-8575-0_12
Autonomic Pervasive and Context-Aware Systems,"David Lewis,    Simon Dobson",2007,https://link.springer.com/article/10.1007/s10922-006-9055-4,No PDF available,,,1,1,https://doi.org/10.1007/s10922-006-9055-4
Multi-Agent Based Flexible Deployment of Context Management in Ambient Intelligence Applications,"Alexandru Sorici,    Gauthier Picard…",2015,https://link.springer.com/chapter/10.1007/978-3-319-18944-4_19,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-18944-4_19
Autonomic Nature-Inspired Eco-systems,"Antonio Manzalini,    Nermin Brgulja…",2012,https://link.springer.com/chapter/10.1007/978-3-642-28525-7_6,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-28525-7_6
Context-based caching and routing for P2P web service discovery,"Christos Doulkeridis,    Vassilis Zafeiris…",2007,https://link.springer.com/article/10.1007/s10619-006-7000-x,No PDF available,,,1,9,https://doi.org/10.1007/s10619-006-7000-x
A Semantic-Based Fully Visual Application for Context-Aware Matchmaking and Request Refinement in Ubiquitous Computing,"Michele Ruta,    Tommaso Di Noia…",2008,https://link.springer.com/chapter/10.1007/978-3-540-69848-7_22,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-69848-7_22
Interacting with a Context-Aware Personal Information Sharing System,"Simon Scerri,    Andreas Schuller…",2013,https://link.springer.com/chapter/10.1007/978-3-642-39342-6_14,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-39342-6_14
