title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A survey of autonomic computing methods in digital service ecosystems,"Dhaminda B. Abeywickrama,    Eila Ovaska",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/content/pdf/10.1007%2Fs11761-016-0203-8.pdf,,,1,1,https://doi.org/10.1007/s11761-016-0203-8
DRAAS: Dynamically Reconfigurable Architecture for Autonomic Services,"Emna Mezghani,    Riadh Ben Halima,    Khalil Drira",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7518-7_19,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7518-7_19
Trust Management Model and Architecture for Context-Aware Service Platforms,"Ricardo Neisse,    Maarten Wegdam…",2007,https://link.springer.com/chapter/10.1007/978-3-540-76843-2_47,No PDF available,,,1,7,https://doi.org/10.1007/978-3-540-76843-2_47
Autonomic Pervasive and Context-Aware Systems,"David Lewis,    Simon Dobson",2007,https://link.springer.com/article/10.1007/s10922-006-9055-4,No PDF available,,,1,1,https://doi.org/10.1007/s10922-006-9055-4
Context-Aware Decentralization Approach for Adaptive BPEL Process in Cloud,"Molka Rekik,    Khouloud Boukadi…",2015,https://link.springer.com/chapter/10.1007/978-3-319-14886-1_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-14886-1_6
Integrating SDN and NFV with QoS-Aware Service Composition,"Valeria Cardellini,    Tihana Galinac Grbac…",2018,https://link.springer.com/chapter/10.1007/978-3-319-90415-3_9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-90415-3_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-90415-3_9
Appraisal and Analysis of Various Self-Adaptive Web Service Composition Approaches,"Doaa H. Elsayed,    Eman S. Nasr…",2017,https://link.springer.com/chapter/10.1007/978-3-319-51310-2_10,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-51310-2_10
Adaptive and Fault-Tolerant Service Composition in Peer-to-Peer Systems,"Vivian Prinz,    Florian Fuchs,    Peter Ruppel…",2008,https://link.springer.com/chapter/10.1007/978-3-540-68642-2_3,https://link.springer.com/content/pdf/10.1007%2F978-3-540-68642-2_3.pdf,,,1,6,https://doi.org/10.1007/978-3-540-68642-2_3
Towards a self-adaptive service-oriented methodology based on extended SOMA,"Alireza Parvizi-Mosaed,    Shahrouz Moaven…",2015,https://link.springer.com/article/10.1631/FITEE.1400040,No PDF available,,,1,2,https://doi.org/10.1631/FITEE.1400040
A next-generation service overlay architecture,"Emmanuel Lavinal,    Noëmie Simoni,    Meng Song…",2009,https://link.springer.com/article/10.1007/s12243-008-0082-x,No PDF available,,,1,12,https://doi.org/10.1007/s12243-008-0082-x
