title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Leveraging the Model-Driven Architecture for Service Choreography in Ubiquitous Systems,"Carlos Rodríguez-Domínguez,    Tomás Ruiz-López…",2013,https://link.springer.com/chapter/10.1007/978-3-319-03176-7_39,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-03176-7_39
How to Create a WSMO-Based Semantic Service Without Knowing WSML,"Gennady Agre,    Ivan Dilov",2007,https://link.springer.com/chapter/10.1007/978-3-540-77010-7_22,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-77010-7_22
"A journey to highly dynamic, self-adaptive service-based applications","Elisabetta Di Nitto,    Carlo Ghezzi,    Andreas Metzger…",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,No PDF available,,,1,137,https://doi.org/10.1007/s10515-008-0032-x
A Gallery of Hanging Thoughts: Reflections on a Choreographic Practice (12 Frames),Mary Nunan,2018,https://link.springer.com/chapter/10.1007/978-3-319-66739-3_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-66739-3_10
Partial Connector Colouring,"Dave Clarke,    José Proença",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_5.pdf,,,1,3,https://doi.org/10.1007/978-3-642-30829-1_5
INFRAWEBS Designer – A Graphical Tool for Designing Semantic Web Services,Gennady Agre,2006,https://link.springer.com/chapter/10.1007/11861461_29,No PDF available,,,1,2,https://doi.org/10.1007/11861461_29
The visual ecology of fiddler crabs,"Jochen Zeil,    Jan M. Hemmi",2006,https://link.springer.com/article/10.1007/s00359-005-0048-7,No PDF available,,,1,107,https://doi.org/10.1007/s00359-005-0048-7
A Semantic Rule and Event Driven Approach for Agile Decision-Centric Business Process Management,Adrian Paschke,2011,https://link.springer.com/chapter/10.1007/978-3-642-24755-2_24,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-24755-2_24
Analysis and Control of Hybrid Diagrammatical Workflows,"Alexander Afanasyev,    Nikolay Voit…",2018,https://link.springer.com/chapter/10.1007/978-3-319-68321-8_13,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68321-8_13
"Web Services for Negotiation and Bargaining in Electronic Markets: Design Requirements, Proof-of-Concepts, and Potential Applications to e-Procurement","Tung Bui,    Alexandre Gachet,    Hans-Juergen Sebastian",2006,https://link.springer.com/article/10.1007/s10726-006-9039-5,No PDF available,,,1,10,https://doi.org/10.1007/s10726-006-9039-5
Formalising Security in Ubiquitous and Cloud Scenarios,"Chiara Bodei,    Pierpaolo Degano…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33260-9_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33260-9_1.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33260-9_1
Quality Driven Web Service Composition Modeling Framework,"Georgiana Stegaru,    Cristian Danila…",2012,https://link.springer.com/chapter/10.1007/978-3-642-32775-9_9,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32775-9_9.pdf,,,1,1,https://doi.org/10.1007/978-3-642-32775-9_9
Collapsing the Wave Function of Meaning: The Epistemological Matrix of Talk-in-Interaction,Donald Favareau,2008,https://link.springer.com/chapter/10.1007/978-1-4020-6706-8_12,No PDF available,,,1,4,https://doi.org/10.1007/978-1-4020-6706-8_12
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
Towards a Decision-Support System for Selecting the Appropriate Business Process Modeling Formalism: A Context-Aware Roadmap,"Afef Awadid,    Selmin Nurcan…",2017,https://link.springer.com/chapter/10.1007/978-3-319-59466-8_15,No PDF available,,,1,2,https://doi.org/10.1007/978-3-319-59466-8_15
Developing highly complex distributed systems: a software engineering perspective,"Marco Autili,    Paola Inverardi…",2012,https://link.springer.com/article/10.1007/s13174-011-0048-5,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0048-5.pdf,,,1,3,https://doi.org/10.1007/s13174-011-0048-5
Reo + mCRL2 : A framework for model-checking dataflow in service compositions,"Natallia Kokash,    Christian Krause,    Erik de Vink",2012,https://link.springer.com/article/10.1007/s00165-011-0191-6,No PDF available,,,1,24,https://doi.org/10.1007/s00165-011-0191-6
Dynamic Methods for Research in Education,"Alexander Wettstein,    Beat Thommen",2009,https://link.springer.com/chapter/10.1007/978-0-387-95922-1_16,No PDF available,,,1,2,https://doi.org/10.1007/978-0-387-95922-1_16
Coordination and Adaptation Techniques: Bridging the Gap Between Design and Implementation,"Steffen Becker,    Carlos Canal,    Nikolay Diakov…",2007,https://link.springer.com/chapter/10.1007/978-3-540-71774-4_9,No PDF available,,,1,2,https://doi.org/10.1007/978-3-540-71774-4_9
Analysis of Web Services Composition and Substitution Via CCS,"Fangfang Liu,    Yuliang Shi,    Liang Zhang…",2006,https://link.springer.com/chapter/10.1007/11780397_19,No PDF available,,,1,4,https://doi.org/10.1007/11780397_19
Event-Driven Scientific Workflow Execution,"Zhili Zhao,    Adrian Paschke",2013,https://link.springer.com/chapter/10.1007/978-3-642-36285-9_42,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-36285-9_42
Doing Affect Around National Days: Mundane/Banal Practice or the Call of ‘Another Space’?,"T. McCreanor,    E. Muriwai,    M. Wetherell,    H. Moewaka Barnes…",2017,https://link.springer.com/chapter/10.1057/978-1-137-57098-7_11,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-57098-7_11
A Framework for Responsive Environments,"Ben Salem,    Jorge Alves Lino,    Jan Simons",2017,https://link.springer.com/chapter/10.1007/978-3-319-56997-0_21,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-56997-0_21
Lightweight Ontologies,John Davies,2010,https://link.springer.com/chapter/10.1007/978-90-481-8847-5_9,No PDF available,,,1,2,https://doi.org/10.1007/978-90-481-8847-5_9
Bodies as Knowledge,Beatrice Allegranti,2011,https://link.springer.com/chapter/10.1057/9780230306561_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230306561_2
Multimodal Learning Hub: A Tool for Capturing Customizable Multimodal Learning Experiences,"Jan Schneider,    Daniele Di Mitri,    Bibeg Limbu…",2018,https://link.springer.com/chapter/10.1007/978-3-319-98572-5_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-98572-5_4
Model-Based Architecture for Learning in Complex Organization,"Francesco Basciani,    Gianni Rosa",2017,https://link.springer.com/chapter/10.1007/978-3-319-66302-9_15,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-66302-9_15
Signaling Pathways in Cancer,Daniel Kalderon PhD,2008,https://link.springer.com/chapter/10.1007/978-1-59745-470-4_8,No PDF available,,,1,1,https://doi.org/10.1007/978-1-59745-470-4_8
When are Two Web Services Compatible?,"Lucas Bordeaux,    Gwen Salaün,    Daniela Berardi…",2005,https://link.springer.com/chapter/10.1007/978-3-540-31811-8_2,No PDF available,,,1,25,https://doi.org/10.1007/978-3-540-31811-8_2
Gestalt-based composition and performance in multimodal environments,"Antonio Camurri,    Marc Leman",1997,https://link.springer.com/chapter/10.1007/BFb0034136,No PDF available,,,1,1,https://doi.org/10.1007/BFb0034136
Geospatial Data Integration with Semantic Web Services: The eMerges Approach,"Vlad Tanasescu BA MSc,    Alessio Gugliotta Dr,    John Domingue Dr…",2007,https://link.springer.com/chapter/10.1007/978-1-84628-827-2_25,No PDF available,,,1,2,https://doi.org/10.1007/978-1-84628-827-2_25
Evolution of Development,Ken Richardson,2010,https://link.springer.com/chapter/10.1057/9780230299245_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230299245_5
STORYPLY: Designing for User Experiences Using Storycraft,"Berke Atasoy,    Jean-Bernard Martens",2016,https://link.springer.com/chapter/10.1007/978-3-319-29155-0_9,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-29155-0_9
A Process for Generating Concrete Architectures,"Mathieu Boussard,    Stefan Meissner,    Andreas Nettsträter…",2013,https://link.springer.com/chapter/10.1007/978-3-642-40403-0_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40403-0_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-40403-0_6
Rule Agent-Oriented Scientific Workflow Execution,"Zhili Zhao,    Adrian Paschke",2013,https://link.springer.com/chapter/10.1007/978-3-642-36754-0_7,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-36754-0_7
Efficient Security Policy Reconciliation in Tactical Service Oriented Architectures,"Vasileios Gkioulos,    Stephen D. Wolthusen",2016,https://link.springer.com/chapter/10.1007/978-3-319-48021-3_4,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-48021-3_4
