title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Leveraging the Model-Driven Architecture for Service Choreography in Ubiquitous Systems,"Carlos Rodríguez-Domínguez,    Tomás Ruiz-López…",2013,https://link.springer.com/chapter/10.1007/978-3-319-03176-7_39,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-03176-7_39
Partial Connector Colouring,"Dave Clarke,    José Proença",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_5.pdf,,,1,3,https://doi.org/10.1007/978-3-642-30829-1_5
How to Create a WSMO-Based Semantic Service Without Knowing WSML,"Gennady Agre,    Ivan Dilov",2007,https://link.springer.com/chapter/10.1007/978-3-540-77010-7_22,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-77010-7_22
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
The visual ecology of fiddler crabs,"Jochen Zeil,    Jan M. Hemmi",2006,https://link.springer.com/article/10.1007/s00359-005-0048-7,No PDF available,,,1,107,https://doi.org/10.1007/s00359-005-0048-7
A Gallery of Hanging Thoughts: Reflections on a Choreographic Practice (12 Frames),Mary Nunan,2018,https://link.springer.com/chapter/10.1007/978-3-319-66739-3_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-66739-3_10
Formalising Security in Ubiquitous and Cloud Scenarios,"Chiara Bodei,    Pierpaolo Degano…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33260-9_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33260-9_1.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33260-9_1
C. S. Peirce and Intersemiotic Translation,"João Queiroz,    Daniella Aguiar",2015,https://link.springer.com/chapter/10.1007/978-94-017-9404-6_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-017-9404-6_7
Analysis and Control of Hybrid Diagrammatical Workflows,"Alexander Afanasyev,    Nikolay Voit…",2018,https://link.springer.com/chapter/10.1007/978-3-319-68321-8_13,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68321-8_13
"A journey to highly dynamic, self-adaptive service-based applications","Elisabetta Di Nitto,    Carlo Ghezzi,    Andreas Metzger…",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,No PDF available,,,1,137,https://doi.org/10.1007/s10515-008-0032-x
