title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Implementing ReGreT in a Decentralized Multi-agent Environment,"Stefan König,    Sven Kaffille,    Guido Wirtz",2007,https://link.springer.com/chapter/10.1007/978-3-540-74949-3_17,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-74949-3_17
A Decentralized Access Control Model for Dynamic Collaboration of Autonomous Peers,"Stefan Craß,    Gerson Joskowicz,    Eva Kühn",2015,https://link.springer.com/chapter/10.1007/978-3-319-28865-9_28,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28865-9_28
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,Markus Wutzler,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-55961-2_31
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
Towards a Common Framework for Peer-to-Peer Web Retrieval,"Karl Aberer,    Jie Wu",2005,https://link.springer.com/chapter/10.1007/978-3-540-31842-2_15,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-31842-2_15
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
Software Engineering for Self-Adaptive Systems: A Second Research Roadmap,"Rogério de Lemos,    Holger Giese…",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,No PDF available,,,1,137,https://doi.org/10.1007/978-3-642-35813-5_1
A qualitative model for the simulation of traffic behaviours in a multi-lane environment,"Christophe Claramunt,    Bin Jiang",2001,https://link.springer.com/article/10.1007/BF02837442,No PDF available,,,1,4,https://doi.org/10.1007/BF02837442
Abstracting Context in Event-Based Software,"Adrian Holzer,    Lukasz Ziarek,    K. R. Jayaram…",2012,https://link.springer.com/chapter/10.1007/978-3-642-35551-6_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-35551-6_4
Pervasive Context Sharing in Magpie: Adaptive Trust-Based Privacy Protection,"Chenguang Liu,    Christine Julien",2015,https://link.springer.com/chapter/10.1007/978-3-319-29003-4_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-29003-4_8
Knowledge Services,"Ronald Maier,    Thomas Hädrich,    René Peinl",2009,https://link.springer.com/chapter/10.1007/978-3-540-89768-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-89768-2_4
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Applications,"Christian Müller-Schloer,    Sven Tomforde",2017,https://link.springer.com/chapter/10.1007/978-3-319-68477-2_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68477-2_8
"A journey to highly dynamic, self-adaptive service-based applications","Elisabetta Di Nitto,    Carlo Ghezzi,    Andreas Metzger…",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,No PDF available,,,1,137,https://doi.org/10.1007/s10515-008-0032-x
Stepwise refinement of action systems,"R. J. R. Back,    K. Sere",1989,https://link.springer.com/chapter/10.1007/3-540-51305-1_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/3-540-51305-1_7
Software Engineering for Self-Adaptive Systems: A Research Roadmap,"Betty H. C. Cheng,    Rogério de Lemos…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02161-9_1,No PDF available,,,1,273,https://doi.org/10.1007/978-3-642-02161-9_1
A review of morphogenetic engineering,"René Doursat,    Hiroki Sayama,    Olivier Michel",2013,https://link.springer.com/article/10.1007/s11047-013-9398-1,No PDF available,,,1,38,https://doi.org/10.1007/s11047-013-9398-1
Empirical test of the content allocation model,No author available,2006,https://link.springer.com/chapter/10.1007/3-8350-5700-6_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/3-8350-5700-6_4
Introduction to Fusion Based Systems — Contributions of Soft Computing Techniques and Application to Robotics,M. Oussalah,2003,https://link.springer.com/chapter/10.1007/978-3-7908-1767-6_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-7908-1767-6_2
A White Box Perspective on Behavioural Adaptation,"Roberto Bruni,    Andrea Corradini,    Fabio Gadducci…",2015,https://link.springer.com/chapter/10.1007/978-3-319-15545-6_32,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-15545-6_32
Engineering infrastructures for mobile organizations,"Giacomo Cabri,    Letizia Leonardi,    Marco Mamei…",2001,https://link.springer.com/chapter/10.1007/3-540-45584-1_4,No PDF available,,,1,1,https://doi.org/10.1007/3-540-45584-1_4
Extending In-Home User and Context Models to Provide Ubiquitous Adaptive Support Outside the Home,"Amaia Aizpurua,    Idoia Cearreta…",2013,https://link.springer.com/chapter/10.1007/978-1-4471-4778-7_2,No PDF available,,,1,2,https://doi.org/10.1007/978-1-4471-4778-7_2
Distributed Service Co-evolution Based on Domain Objects,"Martina De Sanctis,    Kurt Geihs…",2016,https://link.springer.com/chapter/10.1007/978-3-662-50539-7_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-662-50539-7_5
Decentralization and Capacity in Public Governance,Evrim Tan,2019,https://link.springer.com/chapter/10.1007/978-3-030-02047-7_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-02047-7_2
Implementing Collective Obligations in Human-Agent Teams Using KAoS Policies ,"Jurriaan van Diggelen,    Jeffrey M. Bradshaw…",2010,https://link.springer.com/chapter/10.1007/978-3-642-14962-7_3,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-14962-7_3
"What the Design Theory of Social-Cyber-Physical Systems Must Describe, Explain and Predict?",Imre Horváth,2014,https://link.springer.com/chapter/10.1007/978-1-4471-6338-1_5,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4471-6338-1_5
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"Jean-Yves Tigli,    Stéphane Lavirotte…",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,No PDF available,,,1,28,https://doi.org/10.1007/s12243-008-0081-y
Building Organic Computing Systems,"Christian Müller-Schloer,    Sven Tomforde",2017,https://link.springer.com/chapter/10.1007/978-3-319-68477-2_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68477-2_5
EINSTein: A Multiagent-based Model of Combat,Andrew Ilachinski,2005,https://link.springer.com/chapter/10.1007/1-84628-214-4_7,No PDF available,,,1,2,https://doi.org/10.1007/1-84628-214-4_7
A Cultural Analysis of Shared Governance: The Challenges Ahead,William G. Tierney,2005,https://link.springer.com/chapter/10.1007/1-4020-2456-8_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/1-4020-2456-8_3
"Implementation of CIM: 
 Information Management",Professor Dr. August-Wilhelm Scheer,1994,https://link.springer.com/chapter/10.1007/978-3-642-78988-5_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-78988-5_4
Implementation of CIM: Information Management,Dipl.-Wirtsch.-Ing. Dieter Steinmann…,1991,https://link.springer.com/chapter/10.1007/978-3-642-97314-7_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-97314-7_4
Information and Collaboration from a Social/Organizational Perspective,Les Gasser,1994,https://link.springer.com/chapter/10.1007/978-94-011-1132-4_15,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-011-1132-4_15
Toward Distributed Context-Mediated Behavior for Multiagent Systems,"Roy M. Turner,    Sonia Rode,    David Gagne",2013,https://link.springer.com/chapter/10.1007/978-3-642-40972-1_17,No PDF available,,,1,2,https://doi.org/10.1007/978-3-642-40972-1_17
Sustaining Indigenous Identity Through Language Development: Comparing Indigenous Language Instruction in Two Contexts,"Carol J. Ward,    David B. Braudt",2015,https://link.springer.com/chapter/10.1007/978-94-017-9355-1_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-017-9355-1_8
TATA: Towards Anonymous Trusted Authentication,"Daniele Quercia,    Stephen Hailes,    Licia Capra",2006,https://link.springer.com/chapter/10.1007/11755593_23,No PDF available,,,1,2,https://doi.org/10.1007/11755593_23
EINSTein,Andrew Ilachinski,2009,https://link.springer.com/chapter/10.1007/978-1-84882-285-6_9,No PDF available,,,1,2,https://doi.org/10.1007/978-1-84882-285-6_9
