title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Implementing ReGreT in a Decentralized Multi-agent Environment,"Stefan König,    Sven Kaffille,    Guido Wirtz",2007,https://link.springer.com/chapter/10.1007/978-3-540-74949-3_17,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-74949-3_17
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
A Decentralized Access Control Model for Dynamic Collaboration of Autonomous Peers,"Stefan Craß,    Gerson Joskowicz,    Eva Kühn",2015,https://link.springer.com/chapter/10.1007/978-3-319-28865-9_28,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28865-9_28
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,Markus Wutzler,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-55961-2_31
Enhancing Web Service Composition by Means of Diagnosis,"Liliana Ardissono,    Stefano Bocconi,    Luca Console…",2009,https://link.springer.com/chapter/10.1007/978-3-642-00328-8_47,No PDF available,,,1,4,https://doi.org/10.1007/978-3-642-00328-8_47
A qualitative model for the simulation of traffic behaviours in a multi-lane environment,"Christophe Claramunt,    Bin Jiang",2001,https://link.springer.com/article/10.1007/BF02837442,No PDF available,,,1,4,https://doi.org/10.1007/BF02837442
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Towards a Common Framework for Peer-to-Peer Web Retrieval,"Karl Aberer,    Jie Wu",2005,https://link.springer.com/chapter/10.1007/978-3-540-31842-2_15,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-31842-2_15
Applications,"Christian Müller-Schloer,    Sven Tomforde",2017,https://link.springer.com/chapter/10.1007/978-3-319-68477-2_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68477-2_8
Software Engineering for Self-Adaptive Systems: A Second Research Roadmap,"Rogério de Lemos,    Holger Giese…",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,No PDF available,,,1,137,https://doi.org/10.1007/978-3-642-35813-5_1
Stepwise refinement of action systems,"R. J. R. Back,    K. Sere",1989,https://link.springer.com/chapter/10.1007/3-540-51305-1_7,No PDF available,,,1,15,https://doi.org/10.1007/3-540-51305-1_7
Knowledge Services,"Ronald Maier,    Thomas Hädrich,    René Peinl",2009,https://link.springer.com/chapter/10.1007/978-3-540-89768-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-89768-2_4
Abstracting Context in Event-Based Software,"Adrian Holzer,    Lukasz Ziarek,    K. R. Jayaram…",2012,https://link.springer.com/chapter/10.1007/978-3-642-35551-6_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-35551-6_4
Pervasive Context Sharing in Magpie: Adaptive Trust-Based Privacy Protection,"Chenguang Liu,    Christine Julien",2015,https://link.springer.com/chapter/10.1007/978-3-319-29003-4_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-29003-4_8
Building Organic Computing Systems,"Christian Müller-Schloer,    Sven Tomforde",2017,https://link.springer.com/chapter/10.1007/978-3-319-68477-2_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68477-2_5
