title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Implementing ReGreT in a Decentralized Multi-agent Environment,"Stefan König,    Sven Kaffille,    Guido Wirtz",2007,https://link.springer.com/chapter/10.1007/978-3-540-74949-3_17,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-74949-3_17
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
A Decentralized Access Control Model for Dynamic Collaboration of Autonomous Peers,"Stefan Craß,    Gerson Joskowicz,    Eva Kühn",2015,https://link.springer.com/chapter/10.1007/978-3-319-28865-9_28,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28865-9_28
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,Markus Wutzler,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-55961-2_31
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
"A journey to highly dynamic, self-adaptive service-based applications","Elisabetta Di Nitto,    Carlo Ghezzi,    Andreas Metzger…",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,No PDF available,,,1,137,https://doi.org/10.1007/s10515-008-0032-x
Knowledge Services,"Ronald Maier,    Thomas Hädrich,    René Peinl",2009,https://link.springer.com/chapter/10.1007/978-3-540-89768-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-89768-2_4
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Towards a Common Framework for Peer-to-Peer Web Retrieval,"Karl Aberer,    Jie Wu",2005,https://link.springer.com/chapter/10.1007/978-3-540-31842-2_15,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-31842-2_15
Distributed Service Co-evolution Based on Domain Objects,"Martina De Sanctis,    Kurt Geihs…",2016,https://link.springer.com/chapter/10.1007/978-3-662-50539-7_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-662-50539-7_5
Software Engineering for Self-Adaptive Systems: A Second Research Roadmap,"Rogério de Lemos,    Holger Giese…",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,No PDF available,,,1,137,https://doi.org/10.1007/978-3-642-35813-5_1
Abstracting Context in Event-Based Software,"Adrian Holzer,    Lukasz Ziarek,    K. R. Jayaram…",2012,https://link.springer.com/chapter/10.1007/978-3-642-35551-6_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-35551-6_4
Decentralization and Capacity in Public Governance,Evrim Tan,2019,https://link.springer.com/chapter/10.1007/978-3-030-02047-7_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-02047-7_2
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"Jean-Yves Tigli,    Stéphane Lavirotte…",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,No PDF available,,,1,28,https://doi.org/10.1007/s12243-008-0081-y
Towards customer-induced service orchestration - requirements for the next step of customer orientation,"Rainer Alt,    Jan Fabian Ehmke,    Reinhold Haux,    Tino Henke…",2019,https://link.springer.com/article/10.1007/s12525-019-00340-3,No PDF available,,,1,1,https://doi.org/10.1007/s12525-019-00340-3
