title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,Markus Wutzler,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-55961-2_31
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"Jean-Yves Tigli,    Stéphane Lavirotte…",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,No PDF available,,,1,28,https://doi.org/10.1007/s12243-008-0081-y
Towards customer-induced service orchestration - requirements for the next step of customer orientation,"Rainer Alt,    Jan Fabian Ehmke,    Reinhold Haux,    Tino Henke…",2019,https://link.springer.com/article/10.1007/s12525-019-00340-3,No PDF available,,,1,1,https://doi.org/10.1007/s12525-019-00340-3
A review of morphogenetic engineering,"René Doursat,    Hiroki Sayama,    Olivier Michel",2013,https://link.springer.com/article/10.1007/s11047-013-9398-1,No PDF available,,,1,38,https://doi.org/10.1007/s11047-013-9398-1
The Activity of Resource Allocation,"Flávia C. Delicato,    Paulo F. Pires…",2017,https://link.springer.com/chapter/10.1007/978-3-319-54247-8_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-54247-8_5
Applications,"Christian Müller-Schloer,    Sven Tomforde",2017,https://link.springer.com/chapter/10.1007/978-3-319-68477-2_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68477-2_8
An Architecture for Requirements-Driven Self-reconfiguration,"Fabiano Dalpiaz,    Paolo Giorgini…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02144-2_22,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02144-2_22.pdf,,,1,7,https://doi.org/10.1007/978-3-642-02144-2_22
Data Plane Programmability Beyond OpenFlow: Opportunities and Challenges for Network and Service Operations and Management,Weverton Luis da Costa Cordeiro…,2017,https://link.springer.com/article/10.1007/s10922-017-9423-2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s10922-017-9423-2
Building Organic Computing Systems,"Christian Müller-Schloer,    Sven Tomforde",2017,https://link.springer.com/chapter/10.1007/978-3-319-68477-2_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-68477-2_5
A framework for enabling trust requirements in social cloud applications,"Francisco Moyano,    Carmen Fernandez-Gago,    Javier Lopez",2013,https://link.springer.com/article/10.1007/s00766-013-0171-x,No PDF available,,,1,11,https://doi.org/10.1007/s00766-013-0171-x
Mobility-aware Management of Internet Connectivity in Always Best Served Wireless Scenarios,"Paolo Bellavista,    Antonio Corradi,    Carlo Giannelli",2008,https://link.springer.com/article/10.1007/s11036-008-0106-9,No PDF available,,,1,10,https://doi.org/10.1007/s11036-008-0106-9
Active Software,Robert Laddaga,2001,https://link.springer.com/chapter/10.1007/3-540-44584-6_2,No PDF available,,,1,14,https://doi.org/10.1007/3-540-44584-6_2
Automatically composing reusable software components for mobile devices,"Jules White,    Douglas C. Schmidt,    Egon Wuchner…",2008,https://link.springer.com/article/10.1007/BF03192550,https://link.springer.com/content/pdf/10.1007%2FBF03192550.pdf,,,1,8,https://doi.org/10.1007/BF03192550
Interaction-Driven Self-adaptation of Service Ensembles,"Christoph Dorn,    Schahram Dustdar",2010,https://link.springer.com/chapter/10.1007/978-3-642-13094-6_31,https://link.springer.com/content/pdf/10.1007%2F978-3-642-13094-6_31.pdf,,,1,3,https://doi.org/10.1007/978-3-642-13094-6_31
"What the Design Theory of Social-Cyber-Physical Systems Must Describe, Explain and Predict?",Imre Horváth,2014,https://link.springer.com/chapter/10.1007/978-1-4471-6338-1_5,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4471-6338-1_5
Theory,"Nigel Shadbolt,    Kieron O’Hara,    David De Roure…",2019,https://link.springer.com/chapter/10.1007/978-3-030-10889-2_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-10889-2_2
A common approach to intelligent energy and mobility services in a smart city environment,"Marco Lützenberger,    Nils Masuch…",2015,https://link.springer.com/article/10.1007/s12652-015-0263-1,No PDF available,,,1,4,https://doi.org/10.1007/s12652-015-0263-1
An ontology-driven personalized food recommendation in IoT-based healthcare system,"V. Subramaniyaswamy,    Gunasekaran Manogaran,    R. Logesh…",2018,https://link.springer.com/article/10.1007/s11227-018-2331-8,No PDF available,,,1,3,https://doi.org/10.1007/s11227-018-2331-8
A generic framework for simulation of supply networks with bargaining agents,"N. B. Szirbik,    G. R. Wagner,    J. A. La Poutré",2003,https://link.springer.com/chapter/10.1007/978-0-387-35698-3_23,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35698-3_23.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-35698-3_23
Multi-mode interaction middleware for software services,"XianPing Tao,    XiaoXing Ma,    Jian Lu,    Ping Yu…",2008,https://link.springer.com/article/10.1007/s11432-008-0095-0,No PDF available,,,1,1,https://doi.org/10.1007/s11432-008-0095-0
Survey on evolutionary computation methods for cybersecurity of mobile ad hoc networks,"Janusz Kusyk,    M. Umit Uyar,    Cem Safak Sahin",2018,https://link.springer.com/article/10.1007/s12065-018-0154-4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s12065-018-0154-4
IEC 61499 in Factory Automation,…,2006,https://link.springer.com/chapter/10.1007/1-4020-5261-8_20,No PDF available,,,1,15,https://doi.org/10.1007/1-4020-5261-8_20
Equality and Democratic Control,Paul Auerbach,2016,https://link.springer.com/chapter/10.1007/978-1-137-56396-5_13,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-137-56396-5_13
"Genetic algorithms in wireless networking: techniques, applications, and issues","Usama Mehboob,    Junaid Qadir,    Salman Ali,    Athanasios Vasilakos",2016,https://link.springer.com/article/10.1007/s00500-016-2070-9,No PDF available,,,1,15,https://doi.org/10.1007/s00500-016-2070-9
Architectural Issues,No author available,2006,https://link.springer.com/chapter/10.1007/978-0-387-35417-0_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-387-35417-0_4
The Rise of Global Governance: Transformations in Sites of Political Authority,Angela M. Crack,2008,https://link.springer.com/chapter/10.1057/9780230610552_5,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230610552_5
Modeling Enterprise Capabilities with i*: Reasoning on Alternatives,"Mohammad Hossein Danesh,    Eric Yu",2014,https://link.springer.com/chapter/10.1007/978-3-319-07869-4_10,No PDF available,,,1,10,https://doi.org/10.1007/978-3-319-07869-4_10
Toward an execution system for self-healing workflows in cyber-physical systems,"Ronny Seiger,    Steffen Huber,    Thomas Schlegel",2018,https://link.springer.com/article/10.1007/s10270-016-0551-z,No PDF available,,,1,13,https://doi.org/10.1007/s10270-016-0551-z
Rigorous Engineering of Collective Adaptive Systems Introduction to the 2nd Track Edition,"Rocco De Nicola,    Stefan Jähnichen…",2018,https://link.springer.com/chapter/10.1007/978-3-030-03424-5_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-03424-5_1
Wörterverzeichnis Deutsch — Englisch,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_1
