title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Benefits of Dynamically Reconfigurable Activity Recognition in Distributed Sensing Environments,"Clemens Lombriser,    Oliver Amft,    Piero Zappi…",2011,https://link.springer.com/chapter/10.2991/978-94-91216-05-3_12,No PDF available,,,1,No cite count available,https://doi.org/10.2991/978-94-91216-05-3_12
"Context-dependent regulation of feeding behaviour by the insulin receptor, DAF-2, in Caenorhabditis elegans
","James Dillon,    Lindy Holden-Dye,    Vincent O’Connor…",2016,https://link.springer.com/article/10.1007/s10158-016-0187-2,https://link.springer.com/content/pdf/10.1007%2Fs10158-016-0187-2.pdf,,,1,5,https://doi.org/10.1007/s10158-016-0187-2
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,Markus Wutzler,2017,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,3,https://doi.org/10.1007/978-3-319-55961-2_31
Towards the Adaptive Organization: Formation and Conservative Reconfiguration of Agents Coalitions,Krzysztof Ciesielski,2005,https://link.springer.com/chapter/10.1007/11492870_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/11492870_7
Supporting Reconfigurable Object Distribution for Customizable Web Applications,"Po-Hao Chang,    Gul Agha",2006,https://link.springer.com/chapter/10.1007/11915034_15,No PDF available,,,1,No cite count available,https://doi.org/10.1007/11915034_15
Automated Fast-Track Reconfiguration of Group Communication Systems,Christoph Kreitz,1999,https://link.springer.com/chapter/10.1007/3-540-49059-0_8,https://link.springer.com/content/pdf/10.1007%2F3-540-49059-0_8.pdf,,,1,1,https://doi.org/10.1007/3-540-49059-0_8
The Dictionary A-D,Peter Newman,2002,https://link.springer.com/chapter/10.1007/978-1-349-74173-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-74173-1_1
C,"Justin R. Davis,    Andrew C. Giles,    Catharine H. Rankin…",2009,https://link.springer.com/referenceworkentry/10.1007/978-3-540-29678-2_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-29678-2
The Activity of Resource Allocation,"Flávia C. Delicato,    Paulo F. Pires…",2017,https://link.springer.com/chapter/10.1007/978-3-319-54247-8_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-54247-8_5
Vulnerabilities and Threats in Distributed Systems,"Bharat Bhargava,    Leszek Lilien",2005,https://link.springer.com/chapter/10.1007/978-3-540-30555-2_18,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-30555-2_18
