title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2012,https://link.springer.com/article/10.1007/s00125-012-2688-9,https://link.springer.com/content/pdf/10.1007%2Fs00125-012-2688-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s00125-012-2688-9
Abstracts,No author available,2005,https://link.springer.com/article/10.1007/s00125-005-1909-x,https://link.springer.com/content/pdf/10.1007%2Fs00125-005-1909-x.pdf,,,1,1,https://doi.org/10.1007/s00125-005-1909-x
"Abstracts of the EASD, Stockholm 2010",No author available,2010,https://link.springer.com/article/10.1007/s00125-010-1872-z,https://link.springer.com/content/pdf/10.1007%2Fs00125-010-1872-z.pdf,,,1,1,https://doi.org/10.1007/s00125-010-1872-z
"Society of general internal medicine 29th Annual meeting Los Angeles, California April 26–29, 2006
",No author available,2006,https://link.springer.com/article/10.1111/j.1525-1497.2006.00469.x,No PDF available,,,1,3,https://doi.org/10.1111/j.1525-1497.2006.00469.x
Abstracts,No author available,2017,https://link.springer.com/article/10.1007/s00249-017-1222-x,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00249-017-1222-x
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2
Behavioural Pharmacology and Neurobiology of Nicotine Reward and Dependence,G. Di Chiara,2000,https://link.springer.com/chapter/10.1007/978-3-642-57079-7_24,No PDF available,,,1,13,https://doi.org/10.1007/978-3-642-57079-7_24
ESP Abstracts 2014,No author available,2014,https://link.springer.com/article/10.1007/s00428-014-1618-2,No PDF available,,,1,1,https://doi.org/10.1007/s00428-014-1618-2
Branching Morphogenesis in Vertebrate Neurons,"Katherine M. Kollins,    Roger W. Davenport",2006,https://link.springer.com/chapter/10.1007/0-387-30873-3_2,No PDF available,,,1,3,https://doi.org/10.1007/0-387-30873-3_2
"Deutsche Gesellschaft für Psychiatrie, Psychotherapie und Nervenheilkunde
      Kongress 2008, 26.–29. November in Berlin. Abstracts",No author available,2008,https://link.springer.com/article/10.1007/s00115-008-2606-z,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00115-008-2606-z
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Posters P788 - P999,No author available,2005,https://link.springer.com/article/10.1007/s00249-005-0504-x,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00249-005-0504-x
XXXIII Congress the Spanish Society of Physiological Society a Sponsored Symposia in Association with the Physiological Society (UK and Eire) and the Dutch Society of Physiology,No author available,2005,https://link.springer.com/article/10.1007/BF03166724,No PDF available,,,1,No cite count available,https://doi.org/10.1007/BF03166724
Society of Surgical Oncology 71st Annual Cancer Symposium,No author available,2018,https://link.springer.com/article/10.1245/s10434-018-6349-1,No PDF available,,,1,No cite count available,https://doi.org/10.1245/s10434-018-6349-1
Main List (by authors),"Prof. Dr. Karl Mosler,    Prof. Dr. Marco Scarsini",1993,https://link.springer.com/chapter/10.1007/978-3-642-49972-2_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-49972-2_2
Meeting abstracts from the 4th International Clinical Trials Methodology Conference (ICTMC) and the 38th Annual Meeting of the Society for Clinical Trials,No author available,2017,https://link.springer.com/article/10.1186/s13063-017-1902-y,https://link.springer.com/content/pdf/10.1186%2Fs13063-017-1902-y.pdf,,,1,2,https://doi.org/10.1186/s13063-017-1902-y
Physiological Representations of Speech,"Alan Palmer,    Shihab Shamma",2004,https://link.springer.com/chapter/10.1007/0-387-21575-1_4,No PDF available,,,1,6,https://doi.org/10.1007/0-387-21575-1_4
Abstracts DGPPN 2007,No author available,2006,https://link.springer.com/article/10.1007/s00115-006-2216-6,No PDF available,,,1,1,https://doi.org/10.1007/s00115-006-2216-6
