title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Collaborative Choreography: A Critical Inquiry into Designing Creative Interactive Systems,"Kristin Carlson,    Thecla Schiphorst…",2014,https://link.springer.com/chapter/10.1007/978-3-319-08189-2_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-08189-2_6
Examining context-specific perceptions of risk: exploring the utility of “human-in-the-loop” simulation models for criminology,"Andrew Park,    Joseph Clare,    Valerie Spicer…",2012,https://link.springer.com/article/10.1007/s11292-011-9132-x,No PDF available,,,1,11,https://doi.org/10.1007/s11292-011-9132-x
Highly Available Location-Based Services in Mobile Environments,"Peter Ibach,    Matthias Horbank",2005,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,No PDF available,,,1,3,https://doi.org/10.1007/978-3-540-30225-4_10
Modeling Business Collaborations in Context,"Birgit Hofreiter,    Christian Huemer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39962-9_82,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-39962-9_82
eBusiness,"Christoph Grün,    Christian Huemer,    Philipp Liegl…",2011,https://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_19,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-92913-0_19
Scaling for agility: A reference model for hybrid traditional-agile software development methodologies,"Asif Qumer Gill,    Brian Henderson-Sellers,    Mahmood Niazi",2018,https://link.springer.com/article/10.1007/s10796-016-9672-8,No PDF available,,,1,4,https://doi.org/10.1007/s10796-016-9672-8
Shanti Bardhan and Dance as Protest,Prarthana Purkayastha,2014,https://link.springer.com/chapter/10.1057/9781137375179_4,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137375179_4
On the Contribution of Reference Modeling to e-Business Standardization – How to Apply Design Techniques of Reference Modeling to UN/CEFACT’s Modeling Methodology,"Birgit Hofreiter,    Jan vom Brocke",2010,https://link.springer.com/chapter/10.1007/978-3-642-12186-9_65,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-12186-9_65
Meta-model for Data Harmonization and Business Process Compliance in Service Procurement,"Maik Herfurth,    Thomas Schuster,    Peter Weiß",2012,https://link.springer.com/chapter/10.1007/978-3-642-32775-9_11,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32775-9_11.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-32775-9_11
The Kung Fu Hero in the Digital Age: Stephen Chow’s ‘Glocal’ Strategies,Vivian P. Y. Lee,2009,https://link.springer.com/chapter/10.1057/9780230245433_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230245433_6
Dynamic Methods for Research in Education,"Alexander Wettstein,    Beat Thommen",2009,https://link.springer.com/chapter/10.1007/978-0-387-95922-1_16,No PDF available,,,1,2,https://doi.org/10.1007/978-0-387-95922-1_16
Dance on Campus,Karen N. Barbour,2017,https://link.springer.com/chapter/10.1007/978-94-6351-062-2_21,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-6351-062-2_21
Business Process Families Using Model-Driven Techniques,"Vinay Kulkarni,    Souvik Barat",2011,https://link.springer.com/chapter/10.1007/978-3-642-20511-8_30,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-20511-8_30
Phoenix: Employing Smart Logic to a New Generation of Semantically Driven Information Systems,"Aggelos Liapis,    Nasos Mixas,    Nikitas Tsopelas",2011,https://link.springer.com/chapter/10.1007/978-0-85729-676-4_10,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-85729-676-4_10
Comparative Analysis of SOA and Cloud Computing Architectures Using Fact Based Modeling,"Baba Piprani,    Don Sheppard,    Abbie Barbir",2013,https://link.springer.com/chapter/10.1007/978-3-642-41033-8_66,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-41033-8_66
Biochemistry of eukaryotic homologous recombination,Wolf-Dietrich Heyer,2007,https://link.springer.com/chapter/10.1007/978-3-540-71021-9_4,No PDF available,,,1,14,https://doi.org/10.1007/978-3-540-71021-9_4
Biochemistry of Eukaryotic Homologous Recombination,Wolf-Dietrich Heyer,2007,https://link.springer.com/chapter/10.1007/4735_2006_0209,No PDF available,,,1,7,https://doi.org/10.1007/4735_2006_0209
Robot Opera: A Gesamtkunstwerk for the 21st Century,"Wade Marynowsky,    Julian Knowles,    Andrew Frost",2016,https://link.springer.com/chapter/10.1007/978-3-319-42945-8_12,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-42945-8_12
Approach to Methods of Network Services Exploitation,"Katarzyna Nowak,    Jacek Mazurkiewicz",2012,https://link.springer.com/chapter/10.1007/978-3-642-30662-4_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-30662-4_11
Reacting to and Tackling Social Problems: Moral Panic and Perseverance,Dag Leonardsen,2010,https://link.springer.com/chapter/10.1057/9780230290310_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230290310_2
Motor Patterns in Development,"John C. Fentress,    Peter J. McLeod",1986,https://link.springer.com/chapter/10.1007/978-1-4613-2113-2_2,No PDF available,,,1,5,https://doi.org/10.1007/978-1-4613-2113-2_2
Geospatial Visualization of Automotive Sensor Data: A Conceptual and Implementational Framework for Environment and Traffic-Related Applications,"Patrick Voland,    Hartmut Asche",2017,https://link.springer.com/chapter/10.1007/978-3-319-62401-3_45,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-62401-3_45
Coordination Dynamics and Synergetics: From Finger Movements to Brain Patterns and Ballet Dancing,"Armin Fuchs,    J. A. Scott Kelso",2018,https://link.springer.com/chapter/10.1007/978-3-319-64334-2_23,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-64334-2_23
Conceptual Modeling Approaches for Dynamic Web Service Composition,"Georg Grossmann,    Rajesh Thiagarajan…",2011,https://link.springer.com/chapter/10.1007/978-3-642-17505-3_9,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-17505-3_9
Dynamic Adaptive Service Architecture – Towards Coordinated Service Composition,Claus Pahl,2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-15114-9_43
A Methodology and Implementing Tool for Semantic Business Process Annotation,"Beniamino Di Martino,    Antonio Esposito…",2016,https://link.springer.com/chapter/10.1007/978-3-319-39429-9_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-39429-9_6
Twitter and Participatory Citizenship: #FeesMustFall in South Africa,Tanja Bosch,2016,https://link.springer.com/chapter/10.1007/978-3-319-40949-8_8,No PDF available,,,1,4,https://doi.org/10.1007/978-3-319-40949-8_8
Privacy-enhanced BPMN: enabling data privacy analysis in business processes models,"Pille Pullonen,    Jake Tom,    Raimundas Matulevičius,    Aivo Toots",2019,https://link.springer.com/article/10.1007/s10270-019-00718-z,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s10270-019-00718-z
Robust Coordinated Aerial Deployments for Theatrical Applications Given Online User Interaction via Behavior Composition,"Ellen A. Cappo,    Arjav Desai,    Nathan Michael",2018,https://link.springer.com/chapter/10.1007/978-3-319-73008-0_46,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73008-0_46
An Approach to Support Learning from International Experience with Water Policy,Leon M. Hermans,2011,https://link.springer.com/article/10.1007/s11269-010-9705-x,https://link.springer.com/content/pdf/10.1007%2Fs11269-010-9705-x.pdf,,,1,5,https://doi.org/10.1007/s11269-010-9705-x
Outside the Nation: The Pan-Asian Trajectory of Applause Pictures,Vivian P. Y. Lee,2009,https://link.springer.com/chapter/10.1057/9780230245433_9,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230245433_9
Stewarding Sustainability Transformations in Multi-stakeholder Collaboration,Petra Kuenkel,2019,https://link.springer.com/chapter/10.1007/978-3-030-03691-1_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-03691-1_6
An Integrated BPM-SOA Framework for Agile Enterprises,"Nan Wang,    Vincent Lee",2011,https://link.springer.com/chapter/10.1007/978-3-642-20039-7_56,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-20039-7_56
The Integrated View on Competence,Paul Hager,2017,https://link.springer.com/chapter/10.1007/978-3-319-41713-4_10,No PDF available,,,1,5,https://doi.org/10.1007/978-3-319-41713-4_10
The Agile Way,Sergey V. Zykov,2018,https://link.springer.com/chapter/10.1007/978-3-319-77917-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-77917-1_1
Legacy and Adaptation: The Orff Approach in the New Zealand School Setting,Linda Locke,2016,https://link.springer.com/chapter/10.1007/978-3-319-28989-2_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28989-2_7
Hepatic Immune System: Adaptations to Alcohol,"Adam Kim,    Rebecca L. McCullough,    Kyle L. Poulsen…",2018,https://link.springer.com/chapter/10.1007/164_2017_88,No PDF available,,,1,No cite count available,https://doi.org/10.1007/164_2017_88
IoT Reference Model,"Martin Bauer,    Nicola Bui,    Jourik De Loof,    Carsten Magerkurth…",2013,https://link.springer.com/chapter/10.1007/978-3-642-40403-0_7,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40403-0_7.pdf,,,1,14,https://doi.org/10.1007/978-3-642-40403-0_7
Towards Flexible Process Support on Mobile Devices,"Rüdiger Pryss,    Julian Tiedeken,    Ulrich Kreher…",2011,https://link.springer.com/chapter/10.1007/978-3-642-17722-4_11,https://link.springer.com/content/pdf/10.1007%2F978-3-642-17722-4_11.pdf,,,1,9,https://doi.org/10.1007/978-3-642-17722-4_11
The Magic of Place: Players in the Nakpil Revival,Dana Collins,2016,https://link.springer.com/chapter/10.1057/978-1-137-57961-4_3,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-57961-4_3
A Coordination Space Architecture for Service Collaboration and Cooperation,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_39,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_39.pdf,,,1,2,https://doi.org/10.1007/978-3-642-22056-2_39
Leading Ourselves: Cultivating Personal Practices for Emergent Learning,Marilyn M. Taylor,2011,https://link.springer.com/chapter/10.1057/9780230118546_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230118546_6
Rethinking Standards and Assessment in Dance Education (2015),Susan W. Stinson,2016,https://link.springer.com/chapter/10.1007/978-3-319-20786-5_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-20786-5_11
Programmatic Management of Human Coordination and Collaboration Activities,"Schahram Dustdar,    Stefan Nastić,    Ognjen Šćekić",2017,https://link.springer.com/chapter/10.1007/978-3-319-60030-7_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-60030-7_7
