title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Examining context-specific perceptions of risk: exploring the utility of “human-in-the-loop” simulation models for criminology,"Andrew Park,    Joseph Clare,    Valerie Spicer…",2012,https://link.springer.com/article/10.1007/s11292-011-9132-x,No PDF available,,,1,11,https://doi.org/10.1007/s11292-011-9132-x
Dissonant Choreographies: Performativity and Method in Socio-cultural Research,"Joost van Loon,    Hannah Rockwell",2001,https://link.springer.com/chapter/10.1057/9780230501966_3,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230501966_3
Lateral occipitotemporal cortex (LOTC) activity is greatest while viewing dance compared to visualization and movement: learning and expertise effects,"Paula M. Di Nota,    Gabriella Levkov,    Rachel Bar…",2016,https://link.springer.com/article/10.1007/s00221-016-4607-7,No PDF available,,,1,5,https://doi.org/10.1007/s00221-016-4607-7
eBusiness,"Christoph Grün,    Christian Huemer,    Philipp Liegl…",2011,https://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_19,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-92913-0_19
Highly Available Location-Based Services in Mobile Environments,"Peter Ibach,    Matthias Horbank",2005,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,No PDF available,,,1,3,https://doi.org/10.1007/978-3-540-30225-4_10
Scaling for agility: A reference model for hybrid traditional-agile software development methodologies,"Asif Qumer Gill,    Brian Henderson-Sellers,    Mahmood Niazi",2018,https://link.springer.com/article/10.1007/s10796-016-9672-8,No PDF available,,,1,4,https://doi.org/10.1007/s10796-016-9672-8
Motor Patterns in Development,"John C. Fentress,    Peter J. McLeod",1986,https://link.springer.com/chapter/10.1007/978-1-4613-2113-2_2,No PDF available,,,1,5,https://doi.org/10.1007/978-1-4613-2113-2_2
On the Contribution of Reference Modeling to e-Business Standardization – How to Apply Design Techniques of Reference Modeling to UN/CEFACT’s Modeling Methodology,"Birgit Hofreiter,    Jan vom Brocke",2010,https://link.springer.com/chapter/10.1007/978-3-642-12186-9_65,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-12186-9_65
Foregrounding the Imagination: Re-reflecting on Dancers’ Engagement with Video Self-recordings,Shantel Ehrenberg,2019,https://link.springer.com/chapter/10.1007/978-3-319-98059-1_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-98059-1_7
Robot Opera: A Gesamtkunstwerk for the 21st Century,"Wade Marynowsky,    Julian Knowles,    Andrew Frost",2016,https://link.springer.com/chapter/10.1007/978-3-319-42945-8_12,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-42945-8_12
Approach to Methods of Network Services Exploitation,"Katarzyna Nowak,    Jacek Mazurkiewicz",2012,https://link.springer.com/chapter/10.1007/978-3-642-30662-4_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-30662-4_11
Dynamic Methods for Research in Education,"Alexander Wettstein,    Beat Thommen",2009,https://link.springer.com/chapter/10.1007/978-0-387-95922-1_16,No PDF available,,,1,2,https://doi.org/10.1007/978-0-387-95922-1_16
Meta-model for Data Harmonization and Business Process Compliance in Service Procurement,"Maik Herfurth,    Thomas Schuster,    Peter Weiß",2012,https://link.springer.com/chapter/10.1007/978-3-642-32775-9_11,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32775-9_11.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-32775-9_11
Reacting to and Tackling Social Problems: Moral Panic and Perseverance,Dag Leonardsen,2010,https://link.springer.com/chapter/10.1057/9780230290310_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230290310_2
Business Process Families Using Model-Driven Techniques,"Vinay Kulkarni,    Souvik Barat",2011,https://link.springer.com/chapter/10.1007/978-3-642-20511-8_30,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-20511-8_30
Coordination Dynamics and Synergetics: From Finger Movements to Brain Patterns and Ballet Dancing,"Armin Fuchs,    J. A. Scott Kelso",2018,https://link.springer.com/chapter/10.1007/978-3-319-64334-2_23,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-64334-2_23
Comparative Analysis of SOA and Cloud Computing Architectures Using Fact Based Modeling,"Baba Piprani,    Don Sheppard,    Abbie Barbir",2013,https://link.springer.com/chapter/10.1007/978-3-642-41033-8_66,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-41033-8_66
Conceptual Modeling Approaches for Dynamic Web Service Composition,"Georg Grossmann,    Rajesh Thiagarajan…",2011,https://link.springer.com/chapter/10.1007/978-3-642-17505-3_9,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-17505-3_9
Robust Coordinated Aerial Deployments for Theatrical Applications Given Online User Interaction via Behavior Composition,"Ellen A. Cappo,    Arjav Desai,    Nathan Michael",2018,https://link.springer.com/chapter/10.1007/978-3-319-73008-0_46,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-73008-0_46
Biochemistry of eukaryotic homologous recombination,Wolf-Dietrich Heyer,2007,https://link.springer.com/chapter/10.1007/978-3-540-71021-9_4,No PDF available,,,1,14,https://doi.org/10.1007/978-3-540-71021-9_4
Biochemistry of Eukaryotic Homologous Recombination,Wolf-Dietrich Heyer,2007,https://link.springer.com/chapter/10.1007/4735_2006_0209,No PDF available,,,1,7,https://doi.org/10.1007/4735_2006_0209
IoT Reference Model,"Martin Bauer,    Nicola Bui,    Jourik De Loof,    Carsten Magerkurth…",2013,https://link.springer.com/chapter/10.1007/978-3-642-40403-0_7,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40403-0_7.pdf,,,1,14,https://doi.org/10.1007/978-3-642-40403-0_7
Geospatial Visualization of Automotive Sensor Data: A Conceptual and Implementational Framework for Environment and Traffic-Related Applications,"Patrick Voland,    Hartmut Asche",2017,https://link.springer.com/chapter/10.1007/978-3-319-62401-3_45,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-62401-3_45
Abjected and Silenced Bodies,Tarja Väyrynen,2019,https://link.springer.com/chapter/10.1007/978-3-319-97259-6_5,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-97259-6_5
"‘Trust my doctor, trust my pancreas’: trust as an emergent quality of social practice",Simon Cohn,2015,https://link.springer.com/article/10.1186/s13010-015-0029-6,https://link.springer.com/content/pdf/10.1186%2Fs13010-015-0029-6.pdf,,,1,5,https://doi.org/10.1186/s13010-015-0029-6
Leading Ourselves: Cultivating Personal Practices for Emergent Learning,Marilyn M. Taylor,2011,https://link.springer.com/chapter/10.1057/9780230118546_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230118546_6
The Integrated View on Competence,Paul Hager,2017,https://link.springer.com/chapter/10.1007/978-3-319-41713-4_10,No PDF available,,,1,5,https://doi.org/10.1007/978-3-319-41713-4_10
Looking and Acting the Part: Gays in the Armed Forces — A Case of Passing Masculinity,Derek McGhee,1998,https://link.springer.com/article/10.1007/BF03359630,No PDF available,,,1,4,https://doi.org/10.1007/BF03359630
Dynamic Adaptive Service Architecture – Towards Coordinated Service Composition,Claus Pahl,2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-15114-9_43
Stewarding Sustainability Transformations in Multi-stakeholder Collaboration,Petra Kuenkel,2019,https://link.springer.com/chapter/10.1007/978-3-030-03691-1_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-03691-1_6
BPMN-E2: a BPMN extension for an enhanced workflow description,"Mateo Ramos-Merino,    Juan M. Santos-Gago…",2018,https://link.springer.com/article/10.1007/s10270-018-0669-2,No PDF available,,,1,1,https://doi.org/10.1007/s10270-018-0669-2
Comparable Approaches to IVE,"Nikolay Mehandjiev,    Hamideh Afsarmanesh…",2010,https://link.springer.com/chapter/10.1007/978-1-84882-691-5_12,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-84882-691-5_12
Rethinking Standards and Assessment in Dance Education (2015),Susan W. Stinson,2016,https://link.springer.com/chapter/10.1007/978-3-319-20786-5_11,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-20786-5_11
Kenneth Gergen’s concept of multi-being: an application to the nurse–patient relationship,"Mareike Hechinger,    Hanna Mayer,    André Fringer",2019,https://link.springer.com/article/10.1007/s11019-019-09897-4,https://link.springer.com/content/pdf/10.1007%2Fs11019-019-09897-4.pdf,,,1,No cite count available,https://doi.org/10.1007/s11019-019-09897-4
A Coordination Space Architecture for Service Collaboration and Cooperation,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_39,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_39.pdf,,,1,2,https://doi.org/10.1007/978-3-642-22056-2_39
Capabilities for market-shaping: triggering and facilitating increased value creation,"Suvi Nenonen,    Kaj Storbacka…",2019,https://link.springer.com/article/10.1007/s11747-019-00643-z,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s11747-019-00643-z
The indeterminacy of race: The dilemma of difference in medicine and health care,Jamie P. Ross,2017,https://link.springer.com/article/10.1057/s41285-016-0001-6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/s41285-016-0001-6
A Formal Model for Classifying Trusted Semantic Web Services,"Stefania Galizia,    Alessio Gugliotta,    Carlos Pedrinaci",2008,https://link.springer.com/chapter/10.1007/978-3-540-89704-0_37,No PDF available,,,1,1,https://doi.org/10.1007/978-3-540-89704-0_37
Toward a Situated and Dynamic Understanding of Doping Behaviors,Denis Hauw,2013,https://link.springer.com/chapter/10.1007/978-94-007-5101-9_12,No PDF available,,,1,1,https://doi.org/10.1007/978-94-007-5101-9_12
The Agile Way,Sergey V. Zykov,2018,https://link.springer.com/chapter/10.1007/978-3-319-77917-1_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-77917-1_1
Destigmatizing Infrastructure: Design of Community-Friendly Facilities,Hillary Brown,2014,https://link.springer.com/chapter/10.5822/978-1-61091-202-0_5,No PDF available,,,1,No cite count available,https://doi.org/10.5822/978-1-61091-202-0_5
Theories and Techniques of Marital and Family Therapy,"Nadine J. Kaslow,    Florence W. Kaslow…",1999,https://link.springer.com/chapter/10.1007/978-1-4757-5367-7_29,No PDF available,,,1,10,https://doi.org/10.1007/978-1-4757-5367-7_29
Legacy and Adaptation: The Orff Approach in the New Zealand School Setting,Linda Locke,2016,https://link.springer.com/chapter/10.1007/978-3-319-28989-2_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28989-2_7
Practice,"Nigel Shadbolt,    Kieron O’Hara,    David De Roure…",2019,https://link.springer.com/chapter/10.1007/978-3-030-10889-2_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-030-10889-2_3
"Dancing Against the Tide: Reconstructing Irish Cultural Identity in Ken Loach’s Jimmy’s Hall
",Katarzyna Ojrzyńska,2018,https://link.springer.com/chapter/10.1007/978-3-319-74567-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-74567-1_4
"A Glossary of People, Paths and Ideas",Dario Martinelli,2010,https://link.springer.com/chapter/10.1007/978-90-481-9249-6_4,No PDF available,,,1,2,https://doi.org/10.1007/978-90-481-9249-6_4
Drama as Process in L2 Education,Erika Piazzoli,2018,https://link.springer.com/chapter/10.1007/978-3-319-77962-1_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-77962-1_2
Towards Flexible Process Support on Mobile Devices,"Rüdiger Pryss,    Julian Tiedeken,    Ulrich Kreher…",2011,https://link.springer.com/chapter/10.1007/978-3-642-17722-4_11,https://link.springer.com/content/pdf/10.1007%2F978-3-642-17722-4_11.pdf,,,1,9,https://doi.org/10.1007/978-3-642-17722-4_11
The Arts — Unifying Principles in Education,Lindy Joubert,2008,https://link.springer.com/chapter/10.1007/978-1-4020-6387-9_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-6387-9_1
Defining Work Analysis,Ronald L. Jacobs,2019,https://link.springer.com/chapter/10.1007/978-3-319-94448-7_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-94448-7_1
Trends and Challenges for Cloud-Based Industrial Cyber-Physical Systems,"Stamatis Karnouskos,    Armando W. Colombo…",2014,https://link.springer.com/chapter/10.1007/978-3-319-05624-1_11,No PDF available,,,1,9,https://doi.org/10.1007/978-3-319-05624-1_11
"Risking Intimacy: Strategies of Vulnerability in Vertical City’s All Good Things and Trace
","Bruce Barton,    Pil Hansen",2017,https://link.springer.com/chapter/10.1007/978-3-319-63242-1_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-63242-1_6
