title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Decentralized Governance and Climate Change Adaptation: Working Locally to Address Community Resilience Priorities,"Erin Martin,    Christopher Perine,    Veronique Lee…",2018,https://link.springer.com/chapter/10.1007/978-3-319-72874-2_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-72874-2_1
Extending trust management with cooperation incentives: a fully decentralized framework for user-centric network environments,"Carlos Ballester Lafuente,    Jean-Marc Seigneur",2015,https://link.springer.com/article/10.1186/s40493-015-0018-0,https://link.springer.com/content/pdf/10.1186%2Fs40493-015-0018-0.pdf,,,1,No cite count available,https://doi.org/10.1186/s40493-015-0018-0
Threads of local continuity between centralized and decentralized causality: Transitional explanations for the behavior of a complex system,Lauren Barth-Cohen,2018,https://link.springer.com/article/10.1007/s11251-018-9454-4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s11251-018-9454-4
A formal context specific trust model (FTM) for multimedia and ubiquitous computing environment,"Sheikh I. Ahamed,    Munirul M. Haque,    Nilothpal Talukder",2010,https://link.springer.com/article/10.1007/s11235-009-9261-y,No PDF available,,,1,2,https://doi.org/10.1007/s11235-009-9261-y
Constructing Cross-Context Scholarly Conversations,David A. Whetten,2002,https://link.springer.com/chapter/10.1007/978-1-4615-1095-6_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-1095-6_2
Cloud Logistics Systems: Reference Architecture Design,Falco Jaekel,2019,https://link.springer.com/chapter/10.1007/978-3-658-22837-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-22837-8_6
Meeting Future Energy Needs in the Hindu Kush Himalaya,"Shobhakar Dhakal,    Leena Srivastava,    Bikash Sharma…",2019,https://link.springer.com/chapter/10.1007/978-3-319-92288-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-92288-1_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-92288-1_6
S,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_4
Dynamic Policy Adaptation for Collaborative Groups,"Madhumita Chatterjee,    G. Sivakumar",2010,https://link.springer.com/chapter/10.1007/978-3-642-14478-3_38,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-14478-3_38
Modelling Business Relationships in a Non-Centralised Systems Environment,"I. G. Macdonald,    R. A. Veryard",1995,https://link.springer.com/chapter/10.1007/978-0-387-34871-1_9,https://link.springer.com/content/pdf/10.1007%2F978-0-387-34871-1_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-34871-1_9
Knowledge Services,"Ronald Maier,    Thomas Hädrich,    René Peinl",2009,https://link.springer.com/chapter/10.1007/978-3-540-89768-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-89768-2_4
Structured decision-making for sustainable water infrastructure planning and four future scenarios,"Judit Lienert,    Lisa Scholten,    Christoph Egger…",2015,https://link.springer.com/article/10.1007/s40070-014-0030-0,No PDF available,,,1,26,https://doi.org/10.1007/s40070-014-0030-0
Evolution of Economic Systems: The Case of Japan,"Tetsuji Okazaki,    Masahiro Okuno-Fujiwara…",1998,https://link.springer.com/chapter/10.1007/978-1-349-26928-0_15,No PDF available,,,1,1,https://doi.org/10.1007/978-1-349-26928-0_15
Abstracting Context in Event-Based Software,"Adrian Holzer,    Lukasz Ziarek,    K. R. Jayaram…",2012,https://link.springer.com/chapter/10.1007/978-3-642-35551-6_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-35551-6_4
The ILO and compliance,Lars Thomann,2012,https://link.springer.com/chapter/10.1007/978-3-531-93124-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-531-93124-1_4
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Situative governance and energy transitions in a spatial context: case studies from Germany,"Gerhard Fuchs,    Nele Hinderer",2014,https://link.springer.com/article/10.1186/s13705-014-0016-6,https://link.springer.com/content/pdf/10.1186%2Fs13705-014-0016-6.pdf,,,1,18,https://doi.org/10.1186/s13705-014-0016-6
Pervasive Context Sharing in Magpie: Adaptive Trust-Based Privacy Protection,"Chenguang Liu,    Christine Julien",2015,https://link.springer.com/chapter/10.1007/978-3-319-29003-4_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-29003-4_8
Abstracts of the 85th Annual Meeting of the German Society for Experimental and Clinical Pharmacology and Toxicology (DGPT) and the 21th Annual Meeting of the Association of the Clinical Pharmacology Germany (VKliPha) With contribution of the Arbeitsgemeinschaft für Angewandte Humanpharmakologie e. V. (AGAH),No author available,2019,https://link.springer.com/article/10.1007/s00210-019-01621-6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00210-019-01621-6
"Politics, Territory, and Nationalism: A Conceptual Framework",Dejan Stjepanović,2018,https://link.springer.com/chapter/10.1057/978-1-137-58585-1_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-58585-1_2
"Juggling Administrative Institutions: Local State Actors and the Management of Urban Space in Kumasi, Ghana","Matthew Sabbi,    Collins Adjei Mensah",2016,https://link.springer.com/article/10.1007/s12132-015-9262-8,No PDF available,,,1,2,https://doi.org/10.1007/s12132-015-9262-8
"The Review of Sustainable Development Goals (SDGs): People, Perspective and Planning","Ali Cheshmehzangi,    Ayotunde Dawodu",2019,https://link.springer.com/chapter/10.1007/978-981-13-1388-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-981-13-1388-2_4
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
A Framework for the Design of Alliance Governance Systems,Sascha Albers,2005,https://link.springer.com/chapter/10.1007/978-3-658-24711-9_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-24711-9_4
P,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_1
Towards Eco-Factories of the Future,"Denis Kurle,    Sebastian Thiede,    Christoph Herrmann",2019,https://link.springer.com/chapter/10.1007/978-3-319-93730-4_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-93730-4_1
Trust as a facilitator in cloud computing: a survey,"Sheikh Mahbub Habib,    Sascha Hauke…",2012,https://link.springer.com/article/10.1186/2192-113X-1-19,https://link.springer.com/content/pdf/10.1186%2F2192-113X-1-19.pdf,,,1,35,https://doi.org/10.1186/2192-113X-1-19
Assessing the Structural Fluidity of Virtual Organizations and Its Effects,"Sean P. Goggins,    Giuseppe Valetto",2014,https://link.springer.com/chapter/10.1007/978-3-319-09378-9_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-09378-9_8
Scientific Evaluations in the DRD: A Case of Asymmetries and Uncertainties,Mihalis Kritikos,2018,https://link.springer.com/chapter/10.1057/978-1-137-31446-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-31446-8_6
Explaining Intersubsidiary Relationships,Julia Mauer,2011,https://link.springer.com/chapter/10.1007/978-3-8349-7040-4_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-8349-7040-4_3
Improving the implementation of health workforce policies through governance: a review of case studies,"Marjolein Dieleman,    Daniel MP Shaw,    Prisca Zwanikken",2011,https://link.springer.com/article/10.1186/1478-4491-9-10,https://link.springer.com/content/pdf/10.1186%2F1478-4491-9-10.pdf,,,1,34,https://doi.org/10.1186/1478-4491-9-10
The Roadmap of Trust and Trust Evaluation in Web Applications and Web Services,"Lei Li,    Yan Wang",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7535-4_4,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7535-4_4
The Recruitment and Selection of School Leaders – First Findings of an International Comparison,"Stephan Gerhard Huber,    Maren Hiltmann",2010,https://link.springer.com/chapter/10.1007/978-90-481-3501-1_16,No PDF available,,,1,5,https://doi.org/10.1007/978-90-481-3501-1_16
