title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Threads of local continuity between centralized and decentralized causality: Transitional explanations for the behavior of a complex system,Lauren Barth-Cohen,2018,https://link.springer.com/article/10.1007/s11251-018-9454-4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s11251-018-9454-4
Extending trust management with cooperation incentives: a fully decentralized framework for user-centric network environments,"Carlos Ballester Lafuente,    Jean-Marc Seigneur",2015,https://link.springer.com/article/10.1186/s40493-015-0018-0,https://link.springer.com/content/pdf/10.1186%2Fs40493-015-0018-0.pdf,,,1,No cite count available,https://doi.org/10.1186/s40493-015-0018-0
A formal context specific trust model (FTM) for multimedia and ubiquitous computing environment,"Sheikh I. Ahamed,    Munirul M. Haque,    Nilothpal Talukder",2010,https://link.springer.com/article/10.1007/s11235-009-9261-y,No PDF available,,,1,2,https://doi.org/10.1007/s11235-009-9261-y
Constructing Cross-Context Scholarly Conversations,David A. Whetten,2002,https://link.springer.com/chapter/10.1007/978-1-4615-1095-6_2,No PDF available,,,1,6,https://doi.org/10.1007/978-1-4615-1095-6_2
S,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_4
Cloud Logistics Systems: Reference Architecture Design,Falco Jaekel,2019,https://link.springer.com/chapter/10.1007/978-3-658-22837-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-22837-8_6
Meeting Future Energy Needs in the Hindu Kush Himalaya,"Shobhakar Dhakal,    Leena Srivastava,    Bikash Sharma…",2019,https://link.springer.com/chapter/10.1007/978-3-319-92288-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-92288-1_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-92288-1_6
Evolution of Economic Systems: The Case of Japan,"Tetsuji Okazaki,    Masahiro Okuno-Fujiwara…",1998,https://link.springer.com/chapter/10.1007/978-1-349-26928-0_15,No PDF available,,,1,1,https://doi.org/10.1007/978-1-349-26928-0_15
The ILO and compliance,Lars Thomann,2012,https://link.springer.com/chapter/10.1007/978-3-531-93124-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-531-93124-1_4
P,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_1
Social and Ritual Organization,Christopher Carr,2008,https://link.springer.com/chapter/10.1007/978-0-387-77387-2_4,No PDF available,,,1,6,https://doi.org/10.1007/978-0-387-77387-2_4
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Modelling Business Relationships in a Non-Centralised Systems Environment,"I. G. Macdonald,    R. A. Veryard",1995,https://link.springer.com/chapter/10.1007/978-0-387-34871-1_9,https://link.springer.com/content/pdf/10.1007%2F978-0-387-34871-1_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-34871-1_9
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
Knowledge Services,"Ronald Maier,    Thomas Hädrich,    René Peinl",2009,https://link.springer.com/chapter/10.1007/978-3-540-89768-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-89768-2_4
Dynamic Policy Adaptation for Collaborative Groups,"Madhumita Chatterjee,    G. Sivakumar",2010,https://link.springer.com/chapter/10.1007/978-3-642-14478-3_38,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-14478-3_38
Abstracts of the 85th Annual Meeting of the German Society for Experimental and Clinical Pharmacology and Toxicology (DGPT) and the 21th Annual Meeting of the Association of the Clinical Pharmacology Germany (VKliPha) With contribution of the Arbeitsgemeinschaft für Angewandte Humanpharmakologie e. V. (AGAH),No author available,2019,https://link.springer.com/article/10.1007/s00210-019-01621-6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s00210-019-01621-6
"The Review of Sustainable Development Goals (SDGs): People, Perspective and Planning","Ali Cheshmehzangi,    Ayotunde Dawodu",2019,https://link.springer.com/chapter/10.1007/978-981-13-1388-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-981-13-1388-2_4
Trust as a facilitator in cloud computing: a survey,"Sheikh Mahbub Habib,    Sascha Hauke…",2012,https://link.springer.com/article/10.1186/2192-113X-1-19,https://link.springer.com/content/pdf/10.1186%2F2192-113X-1-19.pdf,,,1,35,https://doi.org/10.1186/2192-113X-1-19
Scientific Evaluations in the DRD: A Case of Asymmetries and Uncertainties,Mihalis Kritikos,2018,https://link.springer.com/chapter/10.1057/978-1-137-31446-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-31446-8_6
"Politics, Territory, and Nationalism: A Conceptual Framework",Dejan Stjepanović,2018,https://link.springer.com/chapter/10.1057/978-1-137-58585-1_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/978-1-137-58585-1_2
Situative governance and energy transitions in a spatial context: case studies from Germany,"Gerhard Fuchs,    Nele Hinderer",2014,https://link.springer.com/article/10.1186/s13705-014-0016-6,https://link.springer.com/content/pdf/10.1186%2Fs13705-014-0016-6.pdf,,,1,18,https://doi.org/10.1186/s13705-014-0016-6
Operation-Level Composition: A Case in (Join) Point,"Harold L. Ossher,    Peri L. Tarr",1998,https://link.springer.com/chapter/10.1007/3-540-49255-0_121,No PDF available,,,1,2,https://doi.org/10.1007/3-540-49255-0_121
Abstracting Context in Event-Based Software,"Adrian Holzer,    Lukasz Ziarek,    K. R. Jayaram…",2012,https://link.springer.com/chapter/10.1007/978-3-642-35551-6_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-35551-6_4
"Juggling Administrative Institutions: Local State Actors and the Management of Urban Space in Kumasi, Ghana","Matthew Sabbi,    Collins Adjei Mensah",2016,https://link.springer.com/article/10.1007/s12132-015-9262-8,No PDF available,,,1,2,https://doi.org/10.1007/s12132-015-9262-8
Virtual Persons and Identities,David-Olivier Jaquet-Chiffelle…,2009,https://link.springer.com/chapter/10.1007/978-3-642-01820-6_3,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-01820-6_3
A Framework for the Design of Alliance Governance Systems,Sascha Albers,2005,https://link.springer.com/chapter/10.1007/978-3-658-24711-9_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-24711-9_4
Abstracts from the ICBM 2012 Meeting,No author available,2012,https://link.springer.com/article/10.1007/s12529-012-9247-0,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s12529-012-9247-0
The Role of Institutions in Shaping the Opportunities and Constraints on Actors’ Behaviour,Pontus Odmalm,2005,https://link.springer.com/chapter/10.1057/9780230512382_3,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9780230512382_3
The Role of Institutions in Shaping the Opportunities and Constraints on Actors’ Behaviour,Pontus Odmalm,2005,https://link.springer.com/chapter/10.1007/978-0-230-51238-2_3,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-0-230-51238-2_3
Contextual analysis of team productivity in the R & D industry,"Y. A. Shenhav,    Y. Haberfeld,    B. P. Cohen",1989,https://link.springer.com/article/10.1007/BF02017460,No PDF available,,,1,3,https://doi.org/10.1007/BF02017460
The Recruitment and Selection of School Leaders – First Findings of an International Comparison,"Stephan Gerhard Huber,    Maren Hiltmann",2010,https://link.springer.com/chapter/10.1007/978-90-481-3501-1_16,No PDF available,,,1,5,https://doi.org/10.1007/978-90-481-3501-1_16
Ontology-Based Composition and Matching for Dynamic Service Coordination,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_49,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_49.pdf,,,1,1,https://doi.org/10.1007/978-3-642-22056-2_49
"Healthy Living: The European Congress of Epidemiology, 2015","Esther Bols,    Luc Smits,    Matty Weijenberg",2015,https://link.springer.com/article/10.1007/s10654-015-0072-z,No PDF available,,,1,3,https://doi.org/10.1007/s10654-015-0072-z
