title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Extending trust management with cooperation incentives: a fully decentralized framework for user-centric network environments,"Carlos Ballester Lafuente,    Jean-Marc Seigneur",2015,https://link.springer.com/article/10.1186/s40493-015-0018-0,https://link.springer.com/content/pdf/10.1186%2Fs40493-015-0018-0.pdf,,,1,No cite count available,https://doi.org/10.1186/s40493-015-0018-0
Decentralized Governance and Climate Change Adaptation: Working Locally to Address Community Resilience Priorities,"Erin Martin,    Christopher Perine,    Veronique Lee…",2018,https://link.springer.com/chapter/10.1007/978-3-319-72874-2_1,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-72874-2_1
A formal context specific trust model (FTM) for multimedia and ubiquitous computing environment,"Sheikh I. Ahamed,    Munirul M. Haque,    Nilothpal Talukder",2010,https://link.springer.com/article/10.1007/s11235-009-9261-y,No PDF available,,,1,2,https://doi.org/10.1007/s11235-009-9261-y
Cloud Logistics Systems: Reference Architecture Design,Falco Jaekel,2019,https://link.springer.com/chapter/10.1007/978-3-658-22837-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-22837-8_6
Constructing Cross-Context Scholarly Conversations,David A. Whetten,2002,https://link.springer.com/chapter/10.1007/978-1-4615-1095-6_2,No PDF available,,,1,6,https://doi.org/10.1007/978-1-4615-1095-6_2
Meeting Future Energy Needs in the Hindu Kush Himalaya,"Shobhakar Dhakal,    Leena Srivastava,    Bikash Sharma…",2019,https://link.springer.com/chapter/10.1007/978-3-319-92288-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-319-92288-1_6.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-92288-1_6
Knowledge Services,"Ronald Maier,    Thomas Hädrich,    René Peinl",2009,https://link.springer.com/chapter/10.1007/978-3-540-89768-2_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-89768-2_4
Modelling Business Relationships in a Non-Centralised Systems Environment,"I. G. Macdonald,    R. A. Veryard",1995,https://link.springer.com/chapter/10.1007/978-0-387-34871-1_9,https://link.springer.com/content/pdf/10.1007%2F978-0-387-34871-1_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-34871-1_9
S,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_4
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
Areas of TVET Research,"Felix Rauner,    Rupert Maclean",2008,https://link.springer.com/chapter/10.1007/978-1-4020-8347-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4020-8347-1_4
Dynamic Policy Adaptation for Collaborative Groups,"Madhumita Chatterjee,    G. Sivakumar",2010,https://link.springer.com/chapter/10.1007/978-3-642-14478-3_38,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-14478-3_38
Dynamic Adaptive Service Architecture – Towards Coordinated Service Composition,Claus Pahl,2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-15114-9_43
Structured decision-making for sustainable water infrastructure planning and four future scenarios,"Judit Lienert,    Lisa Scholten,    Christoph Egger…",2015,https://link.springer.com/article/10.1007/s40070-014-0030-0,No PDF available,,,1,26,https://doi.org/10.1007/s40070-014-0030-0
Trust as a facilitator in cloud computing: a survey,"Sheikh Mahbub Habib,    Sascha Hauke…",2012,https://link.springer.com/article/10.1186/2192-113X-1-19,https://link.springer.com/content/pdf/10.1186%2F2192-113X-1-19.pdf,,,1,35,https://doi.org/10.1186/2192-113X-1-19
The Roadmap of Trust and Trust Evaluation in Web Applications and Web Services,"Lei Li,    Yan Wang",2014,https://link.springer.com/chapter/10.1007/978-1-4614-7535-4_4,No PDF available,,,1,1,https://doi.org/10.1007/978-1-4614-7535-4_4
Ontology-Based Composition and Matching for Dynamic Service Coordination,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_49,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_49.pdf,,,1,1,https://doi.org/10.1007/978-3-642-22056-2_49
Abstracting Context in Event-Based Software,"Adrian Holzer,    Lukasz Ziarek,    K. R. Jayaram…",2012,https://link.springer.com/chapter/10.1007/978-3-642-35551-6_4,No PDF available,,,1,1,https://doi.org/10.1007/978-3-642-35551-6_4
P,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_1
The ILO and compliance,Lars Thomann,2012,https://link.springer.com/chapter/10.1007/978-3-531-93124-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-531-93124-1_4
Systems,No author available,2007,https://link.springer.com/chapter/10.1007/978-3-540-71408-8_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-540-71408-8_7
Evolution of Economic Systems: The Case of Japan,"Tetsuji Okazaki,    Masahiro Okuno-Fujiwara…",1998,https://link.springer.com/chapter/10.1007/978-1-349-26928-0_15,No PDF available,,,1,1,https://doi.org/10.1007/978-1-349-26928-0_15
Emergent Semantics Systems,"Karl Aberer,    Tiziana Catarci…",2004,https://link.springer.com/chapter/10.1007/978-3-540-30145-5_2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-30145-5_2.pdf,,,1,2,https://doi.org/10.1007/978-3-540-30145-5_2
"Juggling Administrative Institutions: Local State Actors and the Management of Urban Space in Kumasi, Ghana","Matthew Sabbi,    Collins Adjei Mensah",2016,https://link.springer.com/article/10.1007/s12132-015-9262-8,No PDF available,,,1,2,https://doi.org/10.1007/s12132-015-9262-8
Towards a framework for the development of adaptable service-based applications,"Stephen Lane,    Qing Gu,    Patricia Lago…",2014,https://link.springer.com/article/10.1007/s11761-013-0136-4,No PDF available,,,1,5,https://doi.org/10.1007/s11761-013-0136-4
Countering Service Information Challenges in the Internet of Services,"Dr. Daniel Oberle,    Dipl.-Ing. Nadeem Bhatti…",2009,https://link.springer.com/article/10.1007/s12599-009-0069-9,https://link.springer.com/content/pdf/10.1007%2Fs12599-009-0069-9.pdf,,,1,16,https://doi.org/10.1007/s12599-009-0069-9
"Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management","María Agustina Cibrán,    Bart Verheecke,    Wim Vanderperren,    Davy Suvée…",2007,https://link.springer.com/article/10.1007/s11280-006-0017-2,No PDF available,,,1,12,https://doi.org/10.1007/s11280-006-0017-2
Improving the implementation of health workforce policies through governance: a review of case studies,"Marjolein Dieleman,    Daniel MP Shaw,    Prisca Zwanikken",2011,https://link.springer.com/article/10.1186/1478-4491-9-10,https://link.springer.com/content/pdf/10.1186%2F1478-4491-9-10.pdf,,,1,34,https://doi.org/10.1186/1478-4491-9-10
Achieving Coordination through Dynamic Construction of Open Workflows,"Louis Thomas,    Justin Wilson,    Gruia-Catalin Roman,    Christopher Gill",2009,https://link.springer.com/chapter/10.1007/978-3-642-10445-9_14,https://link.springer.com/content/pdf/10.1007%2F978-3-642-10445-9_14.pdf,,,1,6,https://doi.org/10.1007/978-3-642-10445-9_14
The Risks Involved upon the Use of Biometric Data and Biometric Systems,Els J. Kindt,2013,https://link.springer.com/chapter/10.1007/978-94-007-7522-0_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-94-007-7522-0_4
A Framework for the Design of Alliance Governance Systems,Sascha Albers,2005,https://link.springer.com/chapter/10.1007/978-3-658-24711-9_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-24711-9_4
Pervasive Context Sharing in Magpie: Adaptive Trust-Based Privacy Protection,"Chenguang Liu,    Christine Julien",2015,https://link.springer.com/chapter/10.1007/978-3-319-29003-4_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-29003-4_8
Secure interoperability with O2O contracts,"Céline Coma,    Nora Cuppens-Boulahia…",2010,https://link.springer.com/chapter/10.2991/978-94-91216-32-9_11,No PDF available,,,1,No cite count available,https://doi.org/10.2991/978-94-91216-32-9_11
