title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Decentralized Governance and Climate Change Adaptation: Working Locally to Address Community Resilience Priorities,"Erin Martin,    Christopher Perine,    Veronique Lee…",2018,https://link.springer.com/chapter/10.1007/978-3-319-72874-2_1,No PDF available,,,1,1,https://doi.org/10.1007/978-3-319-72874-2_1
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
P,Peter Newman,1998,https://link.springer.com/chapter/10.1007/978-1-349-14286-6_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-349-14286-6_1
Situative governance and energy transitions in a spatial context: case studies from Germany,"Gerhard Fuchs,    Nele Hinderer",2014,https://link.springer.com/article/10.1186/s13705-014-0016-6,https://link.springer.com/content/pdf/10.1186%2Fs13705-014-0016-6.pdf,,,1,18,https://doi.org/10.1186/s13705-014-0016-6
Towards a framework for the development of adaptable service-based applications,"Stephen Lane,    Qing Gu,    Patricia Lago…",2014,https://link.springer.com/article/10.1007/s11761-013-0136-4,No PDF available,,,1,5,https://doi.org/10.1007/s11761-013-0136-4
Towards Eco-Factories of the Future,"Denis Kurle,    Sebastian Thiede,    Christoph Herrmann",2019,https://link.springer.com/chapter/10.1007/978-3-319-93730-4_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-93730-4_1
ICT Tools and Systems Supporting Innovation in Product/Process Development,No author available,2009,https://link.springer.com/chapter/10.1007/978-1-84882-545-1_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-84882-545-1_4
Medical termination of pregnancy service delivery in the context of decentralization: social and structural influences,"Alana Hulme-Chambers,    Samantha Clune…",2018,https://link.springer.com/article/10.1186/s12939-018-0888-8,https://link.springer.com/content/pdf/10.1186%2Fs12939-018-0888-8.pdf,,,1,No cite count available,https://doi.org/10.1186/s12939-018-0888-8
"Implementation and diffusion of innovative water infrastructures: obstacles, stakeholder networks and strategic opportunities for utilities","Jan Hendrik Trapp,    Heide Kerber,    Engelbert Schramm",2017,https://link.springer.com/article/10.1007/s12665-017-6461-8,No PDF available,,,1,2,https://doi.org/10.1007/s12665-017-6461-8
Public Service Organizations: Social Networks and Social Capital,Ewan Ferlie,1999,https://link.springer.com/chapter/10.1007/978-1-4615-5027-3_16,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4615-5027-3_16
Focusing on Older Residents Views,"Belinda Yuen,    Sue Wei Cheong",2019,https://link.springer.com/chapter/10.1007/978-3-319-92444-1_2,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-92444-1_2
Characterisation of Recent Energy System Analyses,"Bert Droste-Franke,    Martin Carrier,    Matthias Kaiser…",2015,https://link.springer.com/chapter/10.1007/978-3-319-11346-3_4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-11346-3_4
