title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Soil Inoculation with Bacillus spp. Modifies Root Endophytic Bacterial Diversity, Evenness, and Community Composition in a Context-Specific Manner","Kiran R. Gadhave,    Paul F. Devlin,    Andreas Ebertz,    Arabella Ross…",2018,https://link.springer.com/article/10.1007/s00248-018-1160-x,https://link.springer.com/content/pdf/10.1007%2Fs00248-018-1160-x.pdf,,,1,4,https://doi.org/10.1007/s00248-018-1160-x
Collective Information Extraction with Context-Specific Consistencies,"Peter Kluegl,    Martin Toepfer…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33460-3_52,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33460-3_52.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-33460-3_52
A formal context specific trust model (FTM) for multimedia and ubiquitous computing environment,"Sheikh I. Ahamed,    Munirul M. Haque,    Nilothpal Talukder",2010,https://link.springer.com/article/10.1007/s11235-009-9261-y,No PDF available,,,1,2,https://doi.org/10.1007/s11235-009-9261-y
"Context, Specific Features and Potential Evolution of the Italian Banking and Financial Law",Domenico Siclari,2015,https://link.springer.com/chapter/10.1057/9781137507532_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137507532_2
ACCADA: A Framework for Continuous Context-Aware Deployment and Adaptation,"Ning Gui,    Vincenzo De Florio,    Hong Sun…",2009,https://link.springer.com/chapter/10.1007/978-3-642-05118-0_23,No PDF available,,,1,9,https://doi.org/10.1007/978-3-642-05118-0_23
"Automatic, context-specific generation of Gene Ontology slims","Melissa J Davis,    Muhammad Shoaib B Sehgal,    Mark A Ragan",2010,https://link.springer.com/article/10.1186/1471-2105-11-498,https://link.springer.com/content/pdf/10.1186%2F1471-2105-11-498.pdf,,,1,23,https://doi.org/10.1186/1471-2105-11-498
Context-Specific Bioturbation Mediates Changes to Ecosystem Functioning,"Hazel R. Needham,    Conrad A. Pilditch,    Andrew M. Lohrer,    Simon F. Thrush",2011,https://link.springer.com/article/10.1007/s10021-011-9468-0,No PDF available,,,1,41,https://doi.org/10.1007/s10021-011-9468-0
Deregulation upon DNA damage revealed by joint analysis of context-specific perturbation data,"Ewa Szczurek,    Florian Markowetz,    Irit Gat-Viks,    Przemysław Biecek…",2011,https://link.springer.com/article/10.1186/1471-2105-12-249,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-249.pdf,,,1,No cite count available,https://doi.org/10.1186/1471-2105-12-249
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
A Unified Middle-Range Theory of Artifact Design,Christopher Carr,1995,https://link.springer.com/chapter/10.1007/978-1-4899-1097-4_7,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4899-1097-4_7
A best practice advice system to support automotive engineering analysis processes,"C. A. McMahon,    Y. Liu,    R. Crossland,    D. Brown,    D. Leal…",2004,https://link.springer.com/article/10.1007/s00366-003-0267-x,No PDF available,,,1,9,https://doi.org/10.1007/s00366-003-0267-x
A middleware platform for the dynamic evolution of distributed component-based systems,"Yu Zhou,    Xiaoxing Ma,    Harald Gall",2014,https://link.springer.com/article/10.1007/s00607-014-0396-7,No PDF available,,,1,2,https://doi.org/10.1007/s00607-014-0396-7
"THE “NUTS AND BOLTS” OF BEHAVIORAL INTERVENTION DEVELOPMENT: STUDY DESIGNS, METHODS AND FUNDING OPPORTUNITIES",No author available,2017,https://link.springer.com/article/10.1007/s12160-017-9903-3,No PDF available,,,1,2,https://doi.org/10.1007/s12160-017-9903-3
Event-based Distributed Workflow Execution with EVE,"Andreas Geppert,    Dimitrios Tombros",1998,https://link.springer.com/chapter/10.1007/978-1-4471-1283-9_26,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-1-4471-1283-9_26
Run-Time and Atomic Weaving of Distributed Aspects,"Eddy Truyen,    Wouter Joosen",2006,https://link.springer.com/chapter/10.1007/11922827_6,No PDF available,,,1,2,https://doi.org/10.1007/11922827_6
"Workshop on Aspects and Dimensions of Concern: Requirements on, and Challenge Problems for, Advanced Separation of Concerns","Peri Tarr,    Maja D’Hondt,    Lodewijk Bergmans…",2000,https://link.springer.com/chapter/10.1007/3-540-44555-2_16,No PDF available,,,1,2,https://doi.org/10.1007/3-540-44555-2_16
Cloud Logistics Systems: Reference Architecture Design,Falco Jaekel,2019,https://link.springer.com/chapter/10.1007/978-3-658-22837-8_6,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-658-22837-8_6
