title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A formal context specific trust model (FTM) for multimedia and ubiquitous computing environment,"Sheikh I. Ahamed,    Munirul M. Haque,    Nilothpal Talukder",2010,https://link.springer.com/article/10.1007/s11235-009-9261-y,No PDF available,,,1,2,https://doi.org/10.1007/s11235-009-9261-y
"Context, Specific Features and Potential Evolution of the Italian Banking and Financial Law",Domenico Siclari,2015,https://link.springer.com/chapter/10.1057/9781137507532_2,No PDF available,,,1,No cite count available,https://doi.org/10.1057/9781137507532_2
Context-Specific Bioturbation Mediates Changes to Ecosystem Functioning,"Hazel R. Needham,    Conrad A. Pilditch,    Andrew M. Lohrer,    Simon F. Thrush",2011,https://link.springer.com/article/10.1007/s10021-011-9468-0,No PDF available,,,1,41,https://doi.org/10.1007/s10021-011-9468-0
ACCADA: A Framework for Continuous Context-Aware Deployment and Adaptation,"Ning Gui,    Vincenzo De Florio,    Hong Sun…",2009,https://link.springer.com/chapter/10.1007/978-3-642-05118-0_23,No PDF available,,,1,9,https://doi.org/10.1007/978-3-642-05118-0_23
Context-specific gene regulatory networks subdivide intrinsic subtypes of breast cancer,"Sara Nasser,    Heather E Cunliffe,    Michael A Black,    Seungchan Kim",2011,https://link.springer.com/article/10.1186/1471-2105-12-S2-S3,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-S2-S3.pdf,,,1,3,https://doi.org/10.1186/1471-2105-12-S2-S3
Performance Analysis of UML Models Using Aspect-Oriented Modeling Techniques,"Hui Shen,    Dorina C. Petriu",2005,https://link.springer.com/chapter/10.1007/11557432_12,No PDF available,,,1,No cite count available,https://doi.org/10.1007/11557432_12
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
"THE “NUTS AND BOLTS” OF BEHAVIORAL INTERVENTION DEVELOPMENT: STUDY DESIGNS, METHODS AND FUNDING OPPORTUNITIES",No author available,2017,https://link.springer.com/article/10.1007/s12160-017-9903-3,No PDF available,,,1,2,https://doi.org/10.1007/s12160-017-9903-3
Software Performance Modeling,"Dorina C. Petriu,    Mohammad Alhaj…",2012,https://link.springer.com/chapter/10.1007/978-3-642-30982-3_7,No PDF available,,,1,3,https://doi.org/10.1007/978-3-642-30982-3_7
Performance analysis of aspect-oriented UML models,"Dorina C. Petriu,    Hui Shen,    Antonino Sabetta",2007,https://link.springer.com/article/10.1007/s10270-007-0053-0,No PDF available,,,1,8,https://doi.org/10.1007/s10270-007-0053-0
Abstracts,No author available,2016,https://link.springer.com/article/10.1007/s12160-015-9766-4,No PDF available,,,1,1,https://doi.org/10.1007/s12160-015-9766-4
On the Estimation of Software Reliability of Component-Based Dependable Distributed Systems,"Aleksandar Dimov,    Sasikumar Punnekkat",2005,https://link.springer.com/chapter/10.1007/11558569_13,No PDF available,,,1,No cite count available,https://doi.org/10.1007/11558569_13
Abstracts 2016,No author available,2016,https://link.springer.com/article/10.1007/s12529-016-9586-3,No PDF available,,,1,3,https://doi.org/10.1007/s12529-016-9586-3
Session Abstracts,No author available,2009,https://link.springer.com/article/10.1007/s12160-009-9089-4,No PDF available,,,1,No cite count available,https://doi.org/10.1007/s12160-009-9089-4
8 Formal description techniques,Hartmut König,2012,https://link.springer.com/chapter/10.1007/978-3-642-29145-6_8,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-642-29145-6_8
